Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.1337
0.0200 0.0000 0.1287
0.0400 0.0008 0.1579
0.0600 0.0041 0.1780
0.0800 0.0095 0.1302
0.1000 0.0153 0.1250
0.1200 0.0212 0.1611
0.1400 0.0279 0.1374
0.1600 0.0352 0.1347
0.1800 0.0426 0.1486
0.2000 0.0498 0.1295
0.2200 0.0567 0.1338
0.2400 0.0634 0.1478
0.2600 0.0700 0.1393
0.2800 0.0767 0.1450
0.3000 0.0834 0.1595
0.3200 0.0901 0.1385
0.3400 0.0969 0.1526
0.3600 0.1035 0.1555
0.3800 0.1102 0.1504
0.4000 0.1168 0.1598
0.4200 0.1235 0.1615
0.4400 0.1302 0.1509
0.4600 0.1369 0.1560
0.4800 0.1436 0.1685
0.5000 0.1503 0.1600
0.5200 0.1569 0.1577
0.5400 0.1636 0.1704
0.5600 0.1701 0.1587
0.5800 0.1768 0.1660
0.6000 0.1835 0.1703
0.6200 0.1902 0.1641
0.6400 0.1969 0.1705
0.6600 0.2036 0.1676
0.6800 0.2102 0.1684
0.7000 0.2169 0.1724
0.7200 0.2236 0.1708
0.7400 0.2302 0.1708
0.7600 0.2368 0.1731
0.7800 0.2435 0.1690
0.8000 0.2502 0.1730
0.8200 0.2569 0.1716
0.8400 0.2635 0.1748
0.8600 0.2702 0.1766
0.8800 0.2769 0.1734
0.9000 0.2835 0.1751
0.9200 0.2901 0.1809
0.9400 0.2967 0.1727
0.9600 0.3034 0.1780
0.9800 0.3101 0.1776
1.0000 0.3168 0.1751
1.0200 0.3235 0.1764
1.0400 0.3302 0.1768
1.0600 0.3369 0.1728
1.0800 0.3435 0.1782
1.1000 0.3501 0.1821
1.1200 0.3568 0.1757
1.1400 0.3635 0.1765
1.1600 0.3702 0.1809
1.1800 0.3769 0.1742
1.2000 0.3836 0.1745
1.2200 0.3903 0.1803
1.2400 0.3970 0.1732
1.2600 0.4036 0.1720
1.2800 0.4102 0.1783
1.3000 0.4168 0.1765
1.3200 0.4235 0.1756
1.3400 0.4302 0.1757
1.3600 0.4369 0.1717
1.3800 0.4436 0.1770
1.4000 0.4503 0.1762
1.4200 0.4569 0.1737
1.4400 0.4635 0.1719
1.4600 0.4701 0.1736
1.4800 0.4768 0.1696
1.5000 0.4834 0.1772
1.5200 0.4902 0.1685
1.5400 0.4969 0.1681
1.5600 0.5035 0.1775
1.5800 0.5102 0.1665
1.6000 0.5169 0.1692
1.6200 0.5235 0.1739
1.6400 0.5301 0.1666
1.6600 0.5368 0.1713
1.6800 0.5435 0.1716
1.7000 0.5502 0.1638
1.7200 0.5569 0.1693
1.7400 0.5635 0.1756
1.7600 0.5702 0.1603
1.7800 0.5769 0.1709
1.8000 0.5836 0.1702
1.8200 0.5902 0.1663
1.8400 0.5968 0.1734
1.8600 0.6035 0.1644
1.8800 0.6102 0.1663
1.9000 0.6169 0.1698
1.9200 0.6236 0.1693
1.9400 0.6303 0.1710
1.9600 0.6369 0.1676
1.9800 0.6436 0.1573
2.0000 0.6502 0.1736
2.0200 0.6568 0.1693
2.0400 0.6635 0.1673
2.0600 0.6702 0.1698
2.0800 0.6769 0.1612
2.1000 0.6836 0.1662
2.1200 0.6903 0.1733
2.1400 0.6969 0.1641
2.1600 0.7036 0.1701
2.1800 0.7102 0.1737
2.2000 0.7168 0.1629
2.2200 0.7235 0.1726
2.2400 0.7302 0.1733
2.2600 0.7369 0.1605
2.2800 0.7436 0.1717
2.3000 0.7502 0.1708
2.3200 0.7569 0.1670
2.3400 0.7636 0.1703
2.3600 0.7702 0.1646
2.3800 0.7768 0.1672
2.4000 0.7834 0.1739
2.4200 0.7901 0.1703
2.4400 0.7968 0.1651
2.4600 0.8035 0.1719
2.4800 0.8102 0.1646
2.5000 0.8169 0.1735
2.5200 0.8236 0.1705
2.5400 0.8302 0.1626
2.5600 0.8368 0.1716
2.5800 0.8435 0.1688
2.6000 0.8502 0.1625
2.6200 0.8569 0.1721
2.6400 0.8636 0.1671
2.6600 0.8703 0.1610
2.6800 0.8769 0.1684
2.7000 0.8836 0.1665
2.7200 0.8902 0.1605
2.7400 0.8968 0.1802
2.7600 0.9035 0.1591
2.7800 0.9102 0.1625
2.8000 0.9169 0.1795
2.8200 0.9236 0.1544
2.8400 0.9303 0.1641
2.8600 0.9370 0.1761
2.8800 0.9436 0.1563
2.9000 0.9502 0.1669
2.9200 0.9568 0.1726
2.9400 0.9634 0.1566
2.9600 0.9701 0.1700
2.9800 0.9769 0.1673
3.0000 0.9835 0.1598
3.0200 0.9902 0.1646
3.0400 0.9969 0.1661
3.0600 1.0036 0.1577
3.0800 1.0102 0.1676
3.1000 1.0168 0.1645
3.1200 1.0234 0.1639
3.1400 1.0301 0.1652
3.1600 1.0368 0.1612
3.1800 1.0435 0.1638
3.2000 1.0502 0.1655
3.2200 1.0569 0.1612
3.2400 1.0636 0.1637
3.2600 1.0702 0.1569
3.2800 1.0768 0.1697
3.3000 1.0835 0.1592
3.3200 1.0902 0.1557
3.3400 1.0969 0.1711
3.3600 1.1036 0.1574
3.3800 1.1103 0.1609
3.4000 1.1170 0.1667
3.4200 1.1236 0.1567
3.4400 1.1302 0.1586
3.4600 1.1368 0.1701
3.4800 1.1435 0.1605
3.5000 1.1502 0.1607
3.5200 1.1569 0.1624
3.5400 1.1636 0.1549
3.5600 1.1703 0.1654
3.5800 1.1769 0.1659
3.6000 1.1836 0.1540
3.6200 1.1902 0.1633
3.6400 1.1968 0.1634
3.6600 1.2035 0.1651
3.6800 1.2102 0.1575
3.7000 1.2169 0.1609
3.7200 1.2236 0.1619
3.7400 1.2302 0.1572
3.7600 1.2369 0.1670
3.7800 1.2436 0.1619
3.8000 1.2502 0.1532
3.8200 1.2568 0.1653
3.8400 1.2635 0.1638
3.8600 1.2702 0.1596
3.8800 1.2769 0.1609
3.9000 1.2835 0.1627
3.9200 1.2902 0.1567
3.9400 1.2969 0.1590
3.9600 1.3036 0.1629
3.9800 1.3102 0.1558
4.0000 1.3168 0.1588
4.0200 1.3235 0.1588
4.0400 1.3301 0.1604
4.0600 1.3369 0.1597
4.0800 1.3436 0.1661
4.1000 1.3502 0.1553
4.1200 1.3569 0.1569
4.1400 1.3636 0.1632
4.1600 1.3702 0.1550
4.1800 1.3768 0.1567
4.2000 1.3835 0.1666
4.2200 1.3902 0.1487
4.2400 1.3969 0.1608
4.2600 1.4036 0.1627
4.2800 1.4103 0.1513
4.3000 1.4169 0.1621
4.3200 1.4236 0.1626
4.3400 1.4302 0.1524
4.3600 1.4368 0.1630
4.3800 1.4435 0.1599
4.4000 1.4502 0.1529
4.4200 1.4569 0.1618
4.4400 1.4635 0.1569
4.4600 1.4702 0.1568
4.4800 1.4769 0.1590
4.5000 1.4836 0.1556
4.5200 1.4902 0.1581
4.5400 1.4968 0.1598
4.5600 1.5034 0.1537
4.5800 1.5101 0.1597
4.6000 1.5168 0.1530
4.6200 1.5235 0.1615
4.6400 1.5302 0.1594
4.6600 1.5369 0.1507
4.6800 1.5436 0.1525
4.7000 1.5502 0.1604
4.7200 1.5568 0.1565
4.7400 1.5635 0.1562
4.7600 1.5702 0.1552
4.7800 1.5769 0.1526
4.8000 1.5836 0.1541
4.8200 1.5903 0.1588
4.8400 1.5969 0.1476
4.8600 1.6036 0.1612
4.8800 1.6102 0.1528
4.9000 1.6168 0.1458
4.9200 1.6235 0.1590
4.9400 1.6302 0.1579
4.9600 1.6369 0.1495
4.9800 1.6436 0.1489
5.0000 1.6503 0.1577
5.0200 1.6569 0.1525
5.0400 1.6636 0.1467
5.0600 1.6702 0.1456
5.0800 1.6768 0.1557
5.1000 1.6834 0.1523
5.1200 1.6901 0.1484
5.1400 1.6968 0.1518
5.1600 1.7035 0.1546
5.1800 1.7102 0.1489
5.2000 1.7169 0.1520
5.2200 1.7236 0.1473
5.2400 1.7302 0.1554
5.2600 1.7368 0.1524
5.2800 1.7434 0.1452
5.3000 1.7501 0.1535
5.3200 1.7569 0.1529
5.3400 1.7636 0.1439
5.3600 1.7702 0.1463
5.3800 1.7769 0.1512
5.4000 1.7835 0.1460
5.4200 1.7902 0.1523
5.4400 1.7968 0.1515
5.4600 1.8035 0.1422
5.4800 1.8102 0.1537
5.5000 1.8169 0.1517
5.5200 1.8236 0.1424
5.5400 1.8302 0.1549
5.5600 1.8369 0.1474
5.5800 1.8436 0.1435
5.6000 1.8503 0.1530
5.6200 1.8568 0.1510
