Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.5631
0.0200 0.0000 0.5611
0.0400 0.0008 0.5950
0.0600 0.0040 0.6145
0.0800 0.0095 0.5744
0.1000 0.0152 0.5737
0.1200 0.0211 0.6033
0.1400 0.0277 0.5941
0.1600 0.0350 0.5815
0.1800 0.0425 0.5875
0.2000 0.0497 0.5834
0.2200 0.0565 0.5781
0.2400 0.0632 0.5951
0.2600 0.0699 0.5888
0.2800 0.0766 0.5826
0.3000 0.0833 0.5967
0.3200 0.0900 0.5868
0.3400 0.0967 0.5819
0.3600 0.1034 0.5971
0.3800 0.1100 0.5901
0.4000 0.1167 0.5869
0.4200 0.1234 0.5998
0.4400 0.1301 0.5954
0.4600 0.1367 0.5869
0.4800 0.1434 0.6017
0.5000 0.1501 0.6001
0.5200 0.1568 0.5866
0.5400 0.1634 0.6040
0.5600 0.1700 0.6031
0.5800 0.1766 0.5915
0.6000 0.1833 0.6077
0.6200 0.1900 0.6033
0.6400 0.1968 0.5902
0.6600 0.2034 0.6106
0.6800 0.2101 0.6118
0.7000 0.2168 0.5856
0.7200 0.2234 0.6137
0.7400 0.2300 0.6165
0.7600 0.2366 0.5900
0.7800 0.2433 0.6141
0.8000 0.2500 0.6130
0.8200 0.2567 0.5949
0.8400 0.2634 0.6181
0.8600 0.2701 0.6095
0.8800 0.2768 0.5958
0.9000 0.2834 0.6191
0.9200 0.2900 0.6112
0.9400 0.2966 0.5954
0.9600 0.3033 0.6225
0.9800 0.3100 0.6099
1.0000 0.3167 0.6017
1.0200 0.3234 0.6185
1.0400 0.3300 0.6072
1.0600 0.3367 0.6024
1.0800 0.3434 0.6188
1.1000 0.3500 0.6039
1.1200 0.3566 0.6084
1.1400 0.3633 0.6198
1.1600 0.3700 0.6096
1.1800 0.3767 0.6011
1.2000 0.3834 0.6135
1.2200 0.3901 0.6137
1.2400 0.3968 0.6006
1.2600 0.4035 0.6082
1.2800 0.4101 0.6098
1.3000 0.4167 0.6049
1.3200 0.4234 0.6086
1.3400 0.4300 0.6026
1.3600 0.4367 0.6009
1.3800 0.4434 0.6148
1.4000 0.4501 0.6012
1.4200 0.4567 0.5932
1.4400 0.4634 0.6079
1.4600 0.4700 0.6047
1.4800 0.4766 0.5989
1.5000 0.4833 0.6104
1.5200 0.4900 0.5989
1.5400 0.4967 0.5985
1.5600 0.5034 0.6026
1.5800 0.5101 0.5951
1.6000 0.5168 0.5948
1.6200 0.5234 0.6035
1.6400 0.5300 0.5962
1.6600 0.5366 0.5993
1.6800 0.5433 0.6081
1.7000 0.5500 0.5896
1.7200 0.5567 0.5901
1.7400 0.5634 0.6048
1.7600 0.5700 0.5963
1.7800 0.5767 0.5958
1.8000 0.5834 0.5919
1.8200 0.5900 0.5940
1.8400 0.5967 0.5961
1.8600 0.6033 0.5939
1.8800 0.6100 0.5934
1.9000 0.6167 0.5959
1.9200 0.6234 0.5924
1.9400 0.6301 0.5954
1.9600 0.6368 0.5929
1.9800 0.6434 0.5873
2.0000 0.6500 0.5974
2.0200 0.6566 0.5976
2.0400 0.6633 0.5881
2.0600 0.6700 0.5960
2.0800 0.6767 0.5951
2.1000 0.6834 0.5879
2.1200 0.6901 0.6017
2.1400 0.6968 0.5860
2.1600 0.7034 0.5837
2.1800 0.7100 0.6038
2.2000 0.7166 0.5836
2.2200 0.7233 0.5867
2.2400 0.7300 0.5989
2.2600 0.7367 0.5799
2.2800 0.7434 0.5943
2.3000 0.7501 0.5980
2.3200 0.7567 0.5772
2.3400 0.7634 0.5906
2.3600 0.7700 0.5975
2.3800 0.7766 0.5794
2.4000 0.7833 0.5989
2.4200 0.7900 0.5896
2.4400 0.7967 0.5756
2.4600 0.8034 0.6010
2.4800 0.8101 0.5863
2.5000 0.8168 0.5793
2.5200 0.8234 0.6008
2.5400 0.8300 0.5803
2.5600 0.8366 0.5805
2.5800 0.8433 0.5981
2.6000 0.8500 0.5772
2.6200 0.8568 0.5787
2.6400 0.8635 0.5988
2.6600 0.8701 0.5734
2.6800 0.8768 0.5846
2.7000 0.8834 0.5881
2.7200 0.8900 0.5731
2.7400 0.8967 0.5935
2.7600 0.9033 0.5823
2.7800 0.9100 0.5713
2.8000 0.9168 0.5907
2.8200 0.9234 0.5826
2.8400 0.9301 0.5742
2.8600 0.9368 0.5878
2.8800 0.9434 0.5800
2.9000 0.9500 0.5759
2.9200 0.9567 0.5867
2.9400 0.9633 0.5740
2.9600 0.9700 0.5784
2.9800 0.9767 0.5826
3.0000 0.9834 0.5719
3.0200 0.9901 0.5784
3.0400 0.9968 0.5812
3.0600 1.0034 0.5749
3.0800 1.0100 0.5732
3.1000 1.0166 0.5832
3.1200 1.0233 0.5726
3.1400 1.0300 0.5766
3.1600 1.0367 0.5794
3.1800 1.0434 0.5699
3.2000 1.0500 0.5802
3.2200 1.0567 0.5772
3.2400 1.0634 0.5670
3.2600 1.0700 0.5785
3.2800 1.0766 0.5813
3.3000 1.0833 0.5677
3.3200 1.0900 0.5762
3.3400 1.0967 0.5799
3.3600 1.1034 0.5672
3.3800 1.1101 0.5764
3.4000 1.1168 0.5761
3.4200 1.1235 0.5645
3.4400 1.1301 0.5732
3.4600 1.1367 0.5786
3.4800 1.1433 0.5633
3.5000 1.1500 0.5712
3.5200 1.1567 0.5804
3.5400 1.1634 0.5654
3.5600 1.1701 0.5695
3.5800 1.1768 0.5779
3.6000 1.1834 0.5652
3.6200 1.1900 0.5675
3.6400 1.1966 0.5789
3.6600 1.2033 0.5656
3.6800 1.2100 0.5678
3.7000 1.2167 0.5751
3.7200 1.2234 0.5651
3.7400 1.2301 0.5699
3.7600 1.2367 0.5682
3.7800 1.2434 0.5660
3.8000 1.2500 0.5747
3.8200 1.2567 0.5675
3.8400 1.2633 0.5685
3.8600 1.2700 0.5775
3.8800 1.2767 0.5642
3.9000 1.2834 0.5657
3.9200 1.2900 0.5792
3.9400 1.2967 0.5575
3.9600 1.3034 0.5694
3.9800 1.3101 0.5753
4.0000 1.3167 0.5617
4.0200 1.3233 0.5705
4.0400 1.3300 0.5777
4.0600 1.3367 0.5619
4.0800 1.3434 0.5690
4.1000 1.3501 0.5732
4.1200 1.3568 0.5649
4.1400 1.3634 0.5687
4.1600 1.3701 0.5663
4.1800 1.3767 0.5643
4.2000 1.3833 0.5723
4.2200 1.3900 0.5701
4.2400 1.3967 0.5626
4.2600 1.4034 0.5689
4.2800 1.4101 0.5675
4.3000 1.4168 0.5626
4.3200 1.4235 0.5730
4.3400 1.4301 0.5685
4.3600 1.4367 0.5675
4.3800 1.4433 0.5686
4.4000 1.4500 0.5667
4.4200 1.4567 0.5713
4.4400 1.4634 0.5662
4.4600 1.4701 0.5677
4.4800 1.4768 0.5668
4.5000 1.4834 0.5630
4.5200 1.4901 0.5688
4.5400 1.4967 0.5688
4.5600 1.5033 0.5656
4.5800 1.5100 0.5714
4.6000 1.5167 0.5699
4.6200 1.5234 0.5636
4.6400 1.5301 0.5675
4.6600 1.5368 0.5726
4.6800 1.5434 0.5607
4.7000 1.5501 0.5621
4.7200 1.5566 0.5695
4.7400 1.5633 0.5676
4.7600 1.5700 0.5617
4.7800 1.5768 0.5653
4.8000 1.5835 0.5662
4.8200 1.5901 0.5613
4.8400 1.5968 0.5635
4.8600 1.6035 0.5664
4.8800 1.6101 0.5586
4.9000 1.6166 0.5659
4.9200 1.6233 0.5638
4.9400 1.6300 0.5622
4.9600 1.6367 0.5668
4.9800 1.6434 0.5564
5.0000 1.6501 0.5565
5.0200 1.6568 0.5721
5.0400 1.6635 0.5555
5.0600 1.6701 0.5541
5.0800 1.6767 0.5709
5.1000 1.6833 0.5566
5.1200 1.6900 0.5568
5.1400 1.6967 0.5658
5.1600 1.7034 0.5558
5.1800 1.7101 0.5585
5.2000 1.7168 0.5602
5.2200 1.7235 0.5531
5.2400 1.7301 0.5635
5.2600 1.7367 0.5572
5.2800 1.7433 0.5466
5.3000 1.7500 0.5642
5.3200 1.7567 0.5629
5.3400 1.7634 0.5452
5.3600 1.7700 0.5577
5.3800 1.7767 0.5600
5.4000 1.7834 0.5499
5.4200 1.7900 0.5561
5.4400 1.7967 0.5564
5.4600 1.8033 0.5442
5.4800 1.8100 0.5621
5.5000 1.8167 0.5627
5.5200 1.8234 0.5362
5.5400 1.8301 0.5554
5.5600 1.8368 0.5662
5.5800 1.8435 0.5433
5.6000 1.8501 0.5435
5.6200 1.8567 0.5622
