Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.3452
0.0200 0.0000 0.3613
0.0400 0.0008 0.3752
0.0600 0.0039 0.3888
0.0800 0.0094 0.3551
0.1000 0.0150 0.3420
0.1200 0.0209 0.3732
0.1400 0.0275 0.3681
0.1600 0.0349 0.3480
0.1800 0.0424 0.3597
0.2000 0.0496 0.3543
0.2200 0.0565 0.3523
0.2400 0.0632 0.3628
0.2600 0.0698 0.3641
0.2800 0.0765 0.3627
0.3000 0.0832 0.3678
0.3200 0.0899 0.3575
0.3400 0.0966 0.3665
0.3600 0.1033 0.3647
0.3800 0.1100 0.3682
0.4000 0.1166 0.3689
0.4200 0.1233 0.3656
0.4400 0.1300 0.3731
0.4600 0.1367 0.3749
0.4800 0.1433 0.3685
0.5000 0.1500 0.3754
0.5200 0.1567 0.3751
0.5400 0.1634 0.3719
0.5600 0.1700 0.3811
0.5800 0.1766 0.3860
0.6000 0.1833 0.3790
0.6200 0.1900 0.3813
0.6400 0.1967 0.3830
0.6600 0.2034 0.3835
0.6800 0.2100 0.3900
0.7000 0.2167 0.3840
0.7200 0.2233 0.3836
0.7400 0.2300 0.3899
0.7600 0.2366 0.3943
0.7800 0.2433 0.3896
0.8000 0.2499 0.3931
0.8200 0.2566 0.4037
0.8400 0.2633 0.3891
0.8600 0.2700 0.3940
0.8800 0.2767 0.4011
0.9000 0.2833 0.3916
0.9200 0.2899 0.4036
0.9400 0.2965 0.3996
0.9600 0.3032 0.3973
0.9800 0.3099 0.4056
1.0000 0.3166 0.4034
1.0200 0.3233 0.4024
1.0400 0.3300 0.4070
1.0600 0.3367 0.4049
1.0800 0.3433 0.4023
1.1000 0.3499 0.4063
1.1200 0.3566 0.4051
1.1400 0.3632 0.4091
1.1600 0.3700 0.4080
1.1800 0.3767 0.4082
1.2000 0.3834 0.4103
1.2200 0.3900 0.4066
1.2400 0.3967 0.4097
1.2600 0.4034 0.4069
1.2800 0.4100 0.4054
1.3000 0.4166 0.4136
1.3200 0.4233 0.4084
1.3400 0.4300 0.4047
1.3600 0.4367 0.4103
1.3800 0.4434 0.4116
1.4000 0.4501 0.4056
1.4200 0.4567 0.4115
1.4400 0.4633 0.4070
1.4600 0.4699 0.4070
1.4800 0.4765 0.4128
1.5000 0.4832 0.4097
1.5200 0.4899 0.4069
1.5400 0.4966 0.4138
1.5600 0.5033 0.4058
1.5800 0.5100 0.4050
1.6000 0.5167 0.4089
1.6200 0.5233 0.4063
1.6400 0.5299 0.4036
1.6600 0.5366 0.4089
1.6800 0.5432 0.4054
1.7000 0.5500 0.4077
1.7200 0.5567 0.4057
1.7400 0.5633 0.4052
1.7600 0.5700 0.4061
1.7800 0.5767 0.4046
1.8000 0.5834 0.3999
1.8200 0.5900 0.4091
1.8400 0.5966 0.4056
1.8600 0.6033 0.4066
1.8800 0.6100 0.4078
1.9000 0.6167 0.4039
1.9200 0.6234 0.4071
1.9400 0.6300 0.4029
1.9600 0.6367 0.4021
1.9800 0.6434 0.4044
2.0000 0.6500 0.4086
2.0200 0.6566 0.4055
2.0400 0.6632 0.4058
2.0600 0.6700 0.4030
2.0800 0.6767 0.4055
2.1000 0.6833 0.4072
2.1200 0.6900 0.4053
2.1400 0.6967 0.4059
2.1600 0.7034 0.4086
2.1800 0.7100 0.3994
2.2000 0.7166 0.4151
2.2200 0.7232 0.4016
2.2400 0.7300 0.4007
2.2600 0.7367 0.4101
2.2800 0.7433 0.4028
2.3000 0.7500 0.4031
2.3200 0.7567 0.4074
2.3400 0.7633 0.4055
2.3600 0.7700 0.4061
2.3800 0.7766 0.4041
2.4000 0.7832 0.4094
2.4200 0.7899 0.4077
2.4400 0.7966 0.4086
2.4600 0.8033 0.4090
2.4800 0.8100 0.4066
2.5000 0.8167 0.4047
2.5200 0.8234 0.4131
2.5400 0.8300 0.4025
2.5600 0.8366 0.4047
2.5800 0.8432 0.4205
2.6000 0.8500 0.3959
2.6200 0.8567 0.4057
2.6400 0.8634 0.4182
2.6600 0.8701 0.3968
2.6800 0.8767 0.4073
2.7000 0.8834 0.4209
2.7200 0.8900 0.3905
2.7400 0.8966 0.4117
2.7600 0.9033 0.4189
2.7800 0.9100 0.3897
2.8000 0.9167 0.4156
2.8200 0.9234 0.4198
2.8400 0.9300 0.3840
2.8600 0.9367 0.4168
2.8800 0.9434 0.4135
2.9000 0.9500 0.3901
2.9200 0.9566 0.4200
2.9400 0.9632 0.4097
2.9600 0.9699 0.3920
2.9800 0.9766 0.4231
3.0000 0.9833 0.4053
3.0200 0.9900 0.3943
3.0400 0.9967 0.4203
3.0600 1.0034 0.4037
3.0800 1.0099 0.3946
3.1000 1.0165 0.4244
3.1200 1.0232 0.4092
3.1400 1.0299 0.3959
3.1600 1.0366 0.4133
3.1800 1.0433 0.4029
3.2000 1.0500 0.4011
3.2200 1.0567 0.4140
3.2400 1.0633 0.4043
3.2600 1.0700 0.4006
3.2800 1.0766 0.4146
3.3000 1.0833 0.4041
3.3200 1.0900 0.4018
3.3400 1.0967 0.4120
3.3600 1.1033 0.4081
3.3800 1.1100 0.4042
3.4000 1.1168 0.4060
3.4200 1.1234 0.4025
3.4400 1.1300 0.4043
3.4600 1.1366 0.4052
3.4800 1.1433 0.4069
3.5000 1.1500 0.4051
3.5200 1.1567 0.4107
3.5400 1.1634 0.4077
3.5600 1.1700 0.4052
3.5800 1.1767 0.4076
3.6000 1.1834 0.4100
3.6200 1.1900 0.4032
3.6400 1.1966 0.4086
3.6600 1.2032 0.4145
3.6800 1.2100 0.4062
3.7000 1.2167 0.4075
3.7200 1.2233 0.4178
3.7400 1.2300 0.4060
3.7600 1.2367 0.4064
3.7800 1.2434 0.4171
3.8000 1.2500 0.3998
3.8200 1.2566 0.4121
3.8400 1.2632 0.4159
3.8600 1.2699 0.4013
3.8800 1.2766 0.4131
3.9000 1.2833 0.4168
3.9200 1.2900 0.4001
3.9400 1.2967 0.4141
3.9600 1.3034 0.4131
3.9800 1.3100 0.4051
4.0000 1.3166 0.4152
4.0200 1.3232 0.4111
4.0400 1.3299 0.4067
4.0600 1.3366 0.4186
4.0800 1.3433 0.4101
4.1000 1.3500 0.4092
4.1200 1.3567 0.4180
4.1400 1.3634 0.4122
4.1600 1.3700 0.4098
4.1800 1.3766 0.4179
4.2000 1.3833 0.4113
4.2200 1.3900 0.4119
4.2400 1.3967 0.4138
4.2600 1.4034 0.4080
4.2800 1.4100 0.4110
4.3000 1.4167 0.4173
4.3200 1.4234 0.4135
4.3400 1.4300 0.4090
4.3600 1.4366 0.4183
4.3800 1.4433 0.4132
4.4000 1.4500 0.4073
4.4200 1.4566 0.4134
4.4400 1.4633 0.4130
4.4600 1.4700 0.4075
4.4800 1.4767 0.4167
4.5000 1.4834 0.4129
4.5200 1.4900 0.4090
4.5400 1.4966 0.4174
4.5600 1.5032 0.4164
4.5800 1.5099 0.4059
4.6000 1.5166 0.4125
4.6200 1.5233 0.4134
4.6400 1.5300 0.4098
4.6600 1.5367 0.4054
4.6800 1.5434 0.4126
4.7000 1.5500 0.4008
4.7200 1.5566 0.4128
4.7400 1.5632 0.4122
4.7600 1.5700 0.4055
4.7800 1.5767 0.4133
4.8000 1.5834 0.4139
4.8200 1.5901 0.4026
4.8400 1.5967 0.4120
4.8600 1.6034 0.4126
4.8800 1.6100 0.4002
4.9000 1.6166 0.4146
4.9200 1.6232 0.4078
4.9400 1.6299 0.4049
4.9600 1.6366 0.4159
4.9800 1.6433 0.4039
5.0000 1.6500 0.4070
5.0200 1.6567 0.4106
5.0400 1.6634 0.4029
5.0600 1.6700 0.4068
5.0800 1.6766 0.4082
5.1000 1.6832 0.4054
5.1200 1.6899 0.4059
5.1400 1.6966 0.4092
5.1600 1.7033 0.4061
5.1800 1.7100 0.4095
5.2000 1.7167 0.4073
5.2200 1.7234 0.4074
5.2400 1.7300 0.4078
5.2600 1.7366 0.4065
5.2800 1.7432 0.4062
5.3000 1.7499 0.4100
5.3200 1.7566 0.4081
5.3400 1.7633 0.4044
5.3600 1.7700 0.4029
5.3800 1.7766 0.4080
5.4000 1.7833 0.3998
5.4200 1.7900 0.4061
5.4400 1.7966 0.4064
5.4600 1.8032 0.4047
5.4800 1.8099 0.4053
5.5000 1.8166 0.4027
5.5200 1.8233 0.4037
5.5400 1.8300 0.4072
5.5600 1.8367 0.4043
5.5800 1.8434 0.4011
5.6000 1.8500 0.4029
5.6200 1.8566 0.4044
