Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.2184
0.0200 0.0000 0.2388
0.0400 0.0008 0.2881
0.0600 0.0039 0.3540
0.0800 0.0093 0.3803
0.1000 0.0150 0.4087
0.1200 0.0208 0.4586
0.1400 0.0275 0.4944
0.1600 0.0348 0.5328
0.1800 0.0423 0.5652
0.2000 0.0495 0.6099
0.2200 0.0564 0.6461
0.2400 0.0631 0.6831
0.2600 0.0698 0.7252
0.2800 0.0764 0.7608
0.3000 0.0831 0.7736
0.3200 0.0899 0.7803
0.3400 0.0966 0.7909
0.3600 0.1033 0.7803
0.3800 0.1099 0.7805
0.4000 0.1166 0.7884
0.4200 0.1233 0.7746
0.4400 0.1300 0.7839
0.4600 0.1366 0.7870
0.4800 0.1433 0.7799
0.5000 0.1500 0.7861
0.5200 0.1567 0.7849
0.5400 0.1633 0.7768
0.5600 0.1699 0.7919
0.5800 0.1765 0.7907
0.6000 0.1832 0.7761
0.6200 0.1899 0.7842
0.6400 0.1966 0.7856
0.6600 0.2033 0.7839
0.6800 0.2100 0.7880
0.7000 0.2167 0.7818
0.7200 0.2233 0.7876
0.7400 0.2299 0.7847
0.7600 0.2365 0.7837
0.7800 0.2432 0.7916
0.8000 0.2499 0.7797
0.8200 0.2566 0.7851
0.8400 0.2633 0.7927
0.8600 0.2699 0.7791
0.8800 0.2766 0.7894
0.9000 0.2833 0.7935
0.9200 0.2899 0.7783
0.9400 0.2965 0.7939
0.9600 0.3031 0.7923
0.9800 0.3099 0.7853
1.0000 0.3166 0.7916
1.0200 0.3232 0.7896
1.0400 0.3299 0.7839
1.0600 0.3366 0.7937
1.0800 0.3432 0.7883
1.1000 0.3499 0.7831
1.1200 0.3565 0.7888
1.1400 0.3632 0.7916
1.1600 0.3699 0.7850
1.1800 0.3766 0.7891
1.2000 0.3833 0.7897
1.2200 0.3900 0.7841
1.2400 0.3967 0.7871
1.2600 0.4033 0.7854
1.2800 0.4099 0.7866
1.3000 0.4166 0.7894
1.3200 0.4233 0.7843
1.3400 0.4299 0.7832
1.3600 0.4366 0.7839
1.3800 0.4433 0.7919
1.4000 0.4500 0.7871
1.4200 0.4567 0.7808
1.4400 0.4633 0.7887
1.4600 0.4699 0.7872
1.4800 0.4765 0.7842
1.5000 0.4831 0.7855
1.5200 0.4898 0.7888
1.5400 0.4965 0.7859
1.5600 0.5032 0.7841
1.5800 0.5099 0.7809
1.6000 0.5165 0.7832
1.6200 0.5232 0.7858
1.6400 0.5298 0.7793
1.6600 0.5365 0.7831
1.6800 0.5432 0.7922
1.7000 0.5499 0.7795
1.7200 0.5566 0.7808
1.7400 0.5633 0.7882
1.7600 0.5700 0.7803
1.7800 0.5767 0.7827
1.8000 0.5833 0.7896
1.8200 0.5899 0.7744
1.8400 0.5966 0.7816
1.8600 0.6032 0.7800
1.8800 0.6099 0.7731
1.9000 0.6166 0.7855
1.9200 0.6233 0.7787
1.9400 0.6300 0.7692
1.9600 0.6367 0.7818
1.9800 0.6433 0.7735
2.0000 0.6499 0.7735
2.0200 0.6565 0.7833
2.0400 0.6632 0.7712
2.0600 0.6699 0.7715
2.0800 0.6766 0.7807
2.1000 0.6833 0.7736
2.1200 0.6900 0.7681
2.1400 0.6966 0.7771
2.1600 0.7033 0.7708
2.1800 0.7099 0.7711
2.2000 0.7165 0.7736
2.2200 0.7232 0.7723
2.2400 0.7299 0.7712
2.2600 0.7366 0.7669
2.2800 0.7433 0.7733
2.3000 0.7499 0.7714
2.3200 0.7566 0.7661
2.3400 0.7633 0.7724
2.3600 0.7699 0.7659
2.3800 0.7765 0.7661
2.4000 0.7832 0.7703
2.4200 0.7899 0.7730
2.4400 0.7965 0.7581
2.4600 0.8032 0.7722
2.4800 0.8099 0.7673
2.5000 0.8167 0.7614
2.5200 0.8233 0.7729
2.5400 0.8299 0.7593
2.5600 0.8365 0.7579
2.5800 0.8432 0.7816
2.6000 0.8499 0.7580
2.6200 0.8566 0.7559
2.6400 0.8633 0.7751
2.6600 0.8700 0.7575
2.6800 0.8767 0.7559
2.7000 0.8833 0.7759
2.7200 0.8899 0.7614
2.7400 0.8965 0.7596
2.7600 0.9032 0.7722
2.7800 0.9099 0.7573
2.8000 0.9166 0.7623
2.8200 0.9233 0.7675
2.8400 0.9300 0.7543
2.8600 0.9367 0.7628
2.8800 0.9433 0.7611
2.9000 0.9499 0.7584
2.9200 0.9565 0.7669
2.9400 0.9632 0.7587
2.9600 0.9699 0.7594
2.9800 0.9766 0.7596
3.0000 0.9833 0.7569
3.0200 0.9900 0.7581
3.0400 0.9967 0.7576
3.0600 1.0033 0.7536
3.0800 1.0099 0.7585
3.1000 1.0165 0.7563
3.1200 1.0231 0.7584
3.1400 1.0299 0.7564
3.1600 1.0366 0.7485
3.1800 1.0433 0.7540
3.2000 1.0499 0.7527
3.2200 1.0566 0.7491
3.2400 1.0633 0.7561
3.2600 1.0699 0.7528
3.2800 1.0765 0.7456
3.3000 1.0832 0.7582
3.3200 1.0899 0.7549
3.3400 1.0966 0.7426
3.3600 1.1033 0.7560
3.3800 1.1100 0.7496
3.4000 1.1167 0.7451
3.4200 1.1234 0.7545
3.4400 1.1300 0.7414
3.4600 1.1366 0.7472
3.4800 1.1432 0.7566
3.5000 1.1499 0.7385
3.5200 1.1566 0.7407
3.5400 1.1633 0.7548
3.5600 1.1700 0.7369
3.5800 1.1767 0.7415
3.6000 1.1833 0.7505
3.6200 1.1899 0.7435
3.6400 1.1965 0.7441
3.6600 1.2032 0.7498
3.6800 1.2099 0.7353
3.7000 1.2166 0.7424
3.7200 1.2233 0.7502
3.7400 1.2299 0.7379
3.7600 1.2366 0.7439
3.7800 1.2433 0.7517
3.8000 1.2499 0.7324
3.8200 1.2565 0.7423
3.8400 1.2632 0.7482
3.8600 1.2699 0.7375
3.8800 1.2766 0.7451
3.9000 1.2833 0.7430
3.9200 1.2899 0.7376
3.9400 1.2966 0.7467
3.9600 1.3033 0.7404
3.9800 1.3099 0.7401
4.0000 1.3165 0.7445
4.0200 1.3232 0.7427
4.0400 1.3299 0.7441
4.0600 1.3366 0.7436
4.0800 1.3433 0.7397
4.1000 1.3500 0.7413
4.1200 1.3566 0.7409
4.1400 1.3633 0.7398
4.1600 1.3699 0.7467
4.1800 1.3766 0.7394
4.2000 1.3832 0.7398
4.2200 1.3899 0.7482
4.2400 1.3966 0.7363
4.2600 1.4033 0.7414
4.2800 1.4100 0.7462
4.3000 1.4167 0.7323
4.3200 1.4233 0.7434
4.3400 1.4299 0.7471
4.3600 1.4365 0.7338
4.3800 1.4432 0.7422
4.4000 1.4499 0.7405
4.4200 1.4566 0.7294
4.4400 1.4633 0.7438
4.4600 1.4699 0.7366
4.4800 1.4766 0.7367
4.5000 1.4833 0.7430
4.5200 1.4899 0.7328
4.5400 1.4965 0.7391
4.5600 1.5032 0.7469
4.5800 1.5098 0.7314
4.6000 1.5166 0.7373
4.6200 1.5233 0.7395
4.6400 1.5300 0.7301
4.6600 1.5366 0.7443
4.6800 1.5433 0.7368
4.7000 1.5499 0.7281
4.7200 1.5565 0.7402
4.7400 1.5632 0.7347
4.7600 1.5699 0.7319
4.7800 1.5766 0.7388
4.8000 1.5833 0.7357
4.8200 1.5900 0.7329
4.8400 1.5967 0.7337
4.8600 1.6033 0.7291
4.8800 1.6100 0.7343
4.9000 1.6165 0.7316
4.9200 1.6232 0.7300
4.9400 1.6298 0.7369
4.9600 1.6366 0.7260
4.9800 1.6433 0.7277
5.0000 1.6500 0.7300
5.0200 1.6567 0.7267
5.0400 1.6633 0.7217
5.0600 1.6700 0.7233
5.0800 1.6765 0.7296
5.1000 1.6831 0.7255
5.1200 1.6898 0.7240
5.1400 1.6965 0.7239
5.1600 1.7033 0.7236
5.1800 1.7100 0.7232
5.2000 1.7167 0.7202
5.2200 1.7233 0.7260
5.2400 1.7300 0.7202
5.2600 1.7365 0.7190
5.2800 1.7431 0.7230
5.3000 1.7498 0.7226
5.3200 1.7566 0.7197
5.3400 1.7633 0.7165
5.3600 1.7699 0.7198
5.3800 1.7766 0.7173
5.4000 1.7833 0.7122
5.4200 1.7899 0.7203
5.4400 1.7965 0.7191
5.4600 1.8032 0.7151
5.4800 1.8099 0.7193
5.5000 1.8166 0.7169
5.5200 1.8233 0.7062
5.5400 1.8300 0.7193
5.5600 1.8367 0.7202
5.5800 1.8434 0.7081
5.6000 1.8500 0.7188
5.6200 1.8566 0.7156
