Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.3472
0.0200 0.0000 0.3610
0.0400 0.0008 0.3694
0.0600 0.0040 0.3905
0.0800 0.0094 0.3538
0.1000 0.0152 0.3386
0.1200 0.0211 0.3734
0.1400 0.0277 0.3631
0.1600 0.0350 0.3494
0.1800 0.0425 0.3595
0.2000 0.0497 0.3420
0.2200 0.0566 0.3447
0.2400 0.0632 0.3686
0.2600 0.0698 0.3505
0.2800 0.0765 0.3505
0.3000 0.0832 0.3646
0.3200 0.0899 0.3572
0.3400 0.0966 0.3599
0.3600 0.1034 0.3593
0.3800 0.1100 0.3567
0.4000 0.1167 0.3713
0.4200 0.1233 0.3562
0.4400 0.1300 0.3686
0.4600 0.1366 0.3709
0.4800 0.1433 0.3613
0.5000 0.1500 0.3707
0.5200 0.1567 0.3708
0.5400 0.1634 0.3675
0.5600 0.1701 0.3795
0.5800 0.1767 0.3701
0.6000 0.1833 0.3717
0.6200 0.1899 0.3852
0.6400 0.1966 0.3742
0.6600 0.2034 0.3709
0.6800 0.2101 0.3883
0.7000 0.2167 0.3740
0.7200 0.2234 0.3743
0.7400 0.2301 0.3950
0.7600 0.2367 0.3704
0.7800 0.2433 0.3878
0.8000 0.2499 0.3909
0.8200 0.2566 0.3741
0.8400 0.2633 0.3847
0.8600 0.2700 0.3937
0.8800 0.2767 0.3842
0.9000 0.2834 0.3941
0.9200 0.2901 0.3879
0.9400 0.2967 0.3839
0.9600 0.3033 0.3976
0.9800 0.3099 0.3946
1.0000 0.3166 0.3855
1.0200 0.3233 0.3941
1.0400 0.3300 0.3860
1.0600 0.3367 0.3896
1.0800 0.3434 0.3900
1.1000 0.3500 0.3861
1.1200 0.3566 0.3923
1.1400 0.3633 0.3887
1.1600 0.3699 0.3913
1.1800 0.3766 0.3886
1.2000 0.3834 0.3913
1.2200 0.3901 0.3839
1.2400 0.3967 0.3857
1.2600 0.4034 0.3883
1.2800 0.4101 0.3831
1.3000 0.4167 0.3843
1.3200 0.4233 0.3830
1.3400 0.4300 0.3879
1.3600 0.4367 0.3917
1.3800 0.4434 0.3764
1.4000 0.4501 0.3875
1.4200 0.4567 0.3847
1.4400 0.4634 0.3762
1.4600 0.4701 0.3811
1.4800 0.4767 0.3843
1.5000 0.4833 0.3796
1.5200 0.4899 0.3806
1.5400 0.4966 0.3853
1.5600 0.5033 0.3694
1.5800 0.5100 0.3814
1.6000 0.5167 0.3809
1.6200 0.5234 0.3673
1.6400 0.5300 0.3807
1.6600 0.5366 0.3809
1.6800 0.5433 0.3631
1.7000 0.5499 0.3859
1.7200 0.5566 0.3771
1.7400 0.5633 0.3637
1.7600 0.5700 0.3797
1.7800 0.5767 0.3707
1.8000 0.5834 0.3647
1.8200 0.5900 0.3852
1.8400 0.5967 0.3739
1.8600 0.6033 0.3652
1.8800 0.6100 0.3743
1.9000 0.6167 0.3692
1.9200 0.6233 0.3655
1.9400 0.6300 0.3728
1.9600 0.6367 0.3634
1.9800 0.6434 0.3660
2.0000 0.6501 0.3764
2.0200 0.6567 0.3585
2.0400 0.6633 0.3702
2.0600 0.6699 0.3731
2.0800 0.6766 0.3598
2.1000 0.6834 0.3630
2.1200 0.6901 0.3701
2.1400 0.6967 0.3610
2.1600 0.7034 0.3630
2.1800 0.7101 0.3639
2.2000 0.7167 0.3668
2.2200 0.7233 0.3700
2.2400 0.7299 0.3633
2.2600 0.7366 0.3675
2.2800 0.7434 0.3636
2.3000 0.7500 0.3524
2.3200 0.7567 0.3686
2.3400 0.7634 0.3591
2.3600 0.7700 0.3621
2.3800 0.7767 0.3654
2.4000 0.7833 0.3517
2.4200 0.7899 0.3642
2.4400 0.7966 0.3709
2.4600 0.8033 0.3522
2.4800 0.8100 0.3576
2.5000 0.8167 0.3653
2.5200 0.8234 0.3468
2.5400 0.8301 0.3658
2.5600 0.8367 0.3633
2.5800 0.8433 0.3446
2.6000 0.8499 0.3620
2.6200 0.8566 0.3610
2.6400 0.8634 0.3468
2.6600 0.8701 0.3668
2.6800 0.8768 0.3580
2.7000 0.8834 0.3452
2.7200 0.8901 0.3606
2.7400 0.8967 0.3576
2.7600 0.9033 0.3452
2.7800 0.9099 0.3650
2.8000 0.9166 0.3471
2.8200 0.9234 0.3489
2.8400 0.9301 0.3626
2.8600 0.9367 0.3509
2.8800 0.9434 0.3526
2.9000 0.9501 0.3541
2.9200 0.9567 0.3465
2.9400 0.9633 0.3524
2.9600 0.9699 0.3526
2.9800 0.9766 0.3480
3.0000 0.9833 0.3515
3.0200 0.9900 0.3519
3.0400 0.9967 0.3498
3.0600 1.0034 0.3544
3.0800 1.0101 0.3508
3.1000 1.0167 0.3485
3.1200 1.0233 0.3536
3.1400 1.0299 0.3484
3.1600 1.0366 0.3544
3.1800 1.0433 0.3444
3.2000 1.0500 0.3470
3.2200 1.0567 0.3494
3.2400 1.0634 0.3456
3.2600 1.0700 0.3450
3.2800 1.0767 0.3562
3.3000 1.0833 0.3471
3.3200 1.0899 0.3433
3.3400 1.0966 0.3502
3.3600 1.1033 0.3459
3.3800 1.1100 0.3472
3.4000 1.1167 0.3465
3.4200 1.1234 0.3440
3.4400 1.1301 0.3408
3.4600 1.1368 0.3471
3.4800 1.1434 0.3419
3.5000 1.1500 0.3468
3.5200 1.1566 0.3450
3.5400 1.1633 0.3402
3.5600 1.1700 0.3403
3.5800 1.1767 0.3508
3.6000 1.1834 0.3364
3.6200 1.1901 0.3395
3.6400 1.1967 0.3452
3.6600 1.2033 0.3417
3.6800 1.2099 0.3435
3.7000 1.2166 0.3449
3.7200 1.2233 0.3412
3.7400 1.2300 0.3411
3.7600 1.2367 0.3435
3.7800 1.2434 0.3363
3.8000 1.2501 0.3417
3.8200 1.2567 0.3375
3.8400 1.2633 0.3353
3.8600 1.2700 0.3442
3.8800 1.2766 0.3391
3.9000 1.2833 0.3359
3.9200 1.2900 0.3368
3.9400 1.2967 0.3340
3.9600 1.3033 0.3450
3.9800 1.3100 0.3322
4.0000 1.3167 0.3386
4.0200 1.3233 0.3445
4.0400 1.3300 0.3304
4.0600 1.3366 0.3335
4.0800 1.3433 0.3499
4.1000 1.3500 0.3303
4.1200 1.3567 0.3341
4.1400 1.3634 0.3425
4.1600 1.3701 0.3277
4.1800 1.3767 0.3376
4.2000 1.3833 0.3413
4.2200 1.3899 0.3243
4.2400 1.3966 0.3398
4.2600 1.4034 0.3388
4.2800 1.4101 0.3205
4.3000 1.4168 0.3441
4.3200 1.4234 0.3385
4.3400 1.4301 0.3244
4.3600 1.4367 0.3379
4.3800 1.4434 0.3418
4.4000 1.4500 0.3312
4.4200 1.4566 0.3394
4.4400 1.4633 0.3354
4.4600 1.4700 0.3324
4.4800 1.4767 0.3325
4.5000 1.4834 0.3340
4.5200 1.4900 0.3343
4.5400 1.4967 0.3341
4.5600 1.5033 0.3313
4.5800 1.5099 0.3342
4.6000 1.5166 0.3383
4.6200 1.5233 0.3360
4.6400 1.5300 0.3284
4.6600 1.5367 0.3324
4.6800 1.5434 0.3340
4.7000 1.5501 0.3340
4.7200 1.5567 0.3286
4.7400 1.5633 0.3384
4.7600 1.5700 0.3311
4.7800 1.5766 0.3273
4.8000 1.5833 0.3424
4.8200 1.5901 0.3275
4.8400 1.5968 0.3280
4.8600 1.6034 0.3392
4.8800 1.6101 0.3272
4.9000 1.6168 0.3270
4.9200 1.6234 0.3430
4.9400 1.6300 0.3271
4.9600 1.6366 0.3253
4.9800 1.6433 0.3375
5.0000 1.6501 0.3257
5.0200 1.6567 0.3284
5.0400 1.6634 0.3422
5.0600 1.6701 0.3164
5.0800 1.6768 0.3276
5.1000 1.6834 0.3416
5.1200 1.6900 0.3202
5.1400 1.6966 0.3267
5.1600 1.7033 0.3372
5.1800 1.7100 0.3173
5.2000 1.7167 0.3289
5.2200 1.7234 0.3359
5.2400 1.7301 0.3246
5.2600 1.7367 0.3260
5.2800 1.7434 0.3272
5.3000 1.7499 0.3250
5.3200 1.7566 0.3312
5.3400 1.7633 0.3262
5.3600 1.7700 0.3196
5.3800 1.7767 0.3258
5.4000 1.7834 0.3285
5.4200 1.7900 0.3222
5.4400 1.7967 0.3221
5.4600 1.8033 0.3358
5.4800 1.8100 0.3202
5.5000 1.8166 0.3176
5.5200 1.8233 0.3316
5.5400 1.8300 0.3162
5.5600 1.8367 0.3164
5.5800 1.8434 0.3320
5.6000 1.8501 0.3143
5.6200 1.8568 0.3172
