Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.1089
0.0200 0.0000 -0.1018
0.0400 0.0008 -0.0800
0.0600 0.0039 -0.0424
0.0800 0.0093 -0.0505
0.1000 0.0150 -0.0365
0.1200 0.0209 0.0370
0.1400 0.0275 0.0622
0.1600 0.0349 0.0983
0.1800 0.0424 0.1482
0.2000 0.0496 0.1666
0.2200 0.0564 0.1625
0.2400 0.0631 0.1720
0.2600 0.0698 0.1737
0.2800 0.0765 0.1709
0.3000 0.0832 0.1727
0.3200 0.0899 0.1720
0.3400 0.0966 0.1769
0.3600 0.1033 0.1693
0.3800 0.1099 0.1697
0.4000 0.1166 0.1802
0.4200 0.1233 0.1735
0.4400 0.1300 0.1741
0.4600 0.1367 0.1735
0.4800 0.1433 0.1768
0.5000 0.1500 0.1836
0.5200 0.1567 0.1719
0.5400 0.1633 0.1758
0.5600 0.1699 0.1861
0.5800 0.1766 0.1712
0.6000 0.1832 0.1821
0.6200 0.1900 0.1899
0.6400 0.1967 0.1721
0.6600 0.2033 0.1834
0.6800 0.2100 0.1914
0.7000 0.2167 0.1717
0.7200 0.2233 0.1874
0.7400 0.2299 0.1875
0.7600 0.2366 0.1748
0.7800 0.2432 0.1878
0.8000 0.2499 0.1816
0.8200 0.2566 0.1802
0.8400 0.2633 0.1893
0.8600 0.2700 0.1785
0.8800 0.2767 0.1740
0.9000 0.2833 0.1916
0.9200 0.2899 0.1769
0.9400 0.2965 0.1776
0.9600 0.3032 0.1894
0.9800 0.3099 0.1709
1.0000 0.3166 0.1765
1.0200 0.3233 0.1872
1.0400 0.3299 0.1695
1.0600 0.3366 0.1769
1.0800 0.3433 0.1815
1.1000 0.3499 0.1706
1.1200 0.3565 0.1762
1.1400 0.3632 0.1800
1.1600 0.3700 0.1690
1.1800 0.3767 0.1679
1.2000 0.3833 0.1698
1.2200 0.3900 0.1724
1.2400 0.3967 0.1675
1.2600 0.4034 0.1643
1.2800 0.4100 0.1644
1.3000 0.4166 0.1672
1.3200 0.4233 0.1601
1.3400 0.4300 0.1585
1.3600 0.4367 0.1614
1.3800 0.4433 0.1564
1.4000 0.4500 0.1627
1.4200 0.4567 0.1540
1.4400 0.4633 0.1549
1.4600 0.4699 0.1593
1.4800 0.4765 0.1490
1.5000 0.4832 0.1515
1.5200 0.4899 0.1599
1.5400 0.4966 0.1462
1.5600 0.5033 0.1441
1.5800 0.5100 0.1536
1.6000 0.5167 0.1458
1.6200 0.5233 0.1423
1.6400 0.5299 0.1501
1.6600 0.5365 0.1453
1.6800 0.5432 0.1427
1.7000 0.5499 0.1429
1.7200 0.5566 0.1395
1.7400 0.5633 0.1392
1.7600 0.5700 0.1419
1.7800 0.5767 0.1325
1.8000 0.5833 0.1328
1.8200 0.5899 0.1350
1.8400 0.5966 0.1363
1.8600 0.6033 0.1263
1.8800 0.6099 0.1333
1.9000 0.6166 0.1260
1.9200 0.6233 0.1254
1.9400 0.6300 0.1316
1.9600 0.6367 0.1222
1.9800 0.6434 0.1246
2.0000 0.6499 0.1279
2.0200 0.6565 0.1207
2.0400 0.6632 0.1205
2.0600 0.6699 0.1241
2.0800 0.6767 0.1160
2.1000 0.6833 0.1149
2.1200 0.6900 0.1191
2.1400 0.6967 0.1120
2.1600 0.7033 0.1163
2.1800 0.7099 0.1232
2.2000 0.7165 0.1092
2.2200 0.7232 0.1133
2.2400 0.7299 0.1155
2.2600 0.7366 0.1064
2.2800 0.7433 0.1073
2.3000 0.7500 0.1157
2.3200 0.7567 0.1014
2.3400 0.7633 0.1032
2.3600 0.7699 0.1042
2.3800 0.7765 0.1005
2.4000 0.7832 0.1062
2.4200 0.7899 0.1030
2.4400 0.7966 0.1019
2.4600 0.8033 0.1018
2.4800 0.8100 0.0997
2.5000 0.8167 0.0983
2.5200 0.8233 0.0928
2.5400 0.8300 0.1023
2.5600 0.8366 0.0958
2.5800 0.8432 0.0939
2.6000 0.8500 0.1002
2.6200 0.8567 0.0907
2.6400 0.8634 0.0921
2.6600 0.8700 0.0929
2.6800 0.8767 0.0878
2.7000 0.8833 0.0897
2.7200 0.8899 0.0910
2.7400 0.8966 0.0869
2.7600 0.9032 0.0827
2.7800 0.9100 0.0950
2.8000 0.9167 0.0815
2.8200 0.9234 0.0807
2.8400 0.9300 0.0914
2.8600 0.9367 0.0832
2.8800 0.9433 0.0785
2.9000 0.9499 0.0864
2.9200 0.9565 0.0854
2.9400 0.9632 0.0809
2.9600 0.9699 0.0857
2.9800 0.9766 0.0806
3.0000 0.9833 0.0802
3.0200 0.9900 0.0788
3.0400 0.9967 0.0761
3.0600 1.0033 0.0781
3.0800 1.0099 0.0765
3.1000 1.0165 0.0766
3.1200 1.0232 0.0837
3.1400 1.0299 0.0727
3.1600 1.0366 0.0770
3.1800 1.0433 0.0743
3.2000 1.0500 0.0688
3.2200 1.0567 0.0767
3.2400 1.0633 0.0738
3.2600 1.0699 0.0680
3.2800 1.0766 0.0732
3.3000 1.0832 0.0730
3.3200 1.0899 0.0684
3.3400 1.0967 0.0697
3.3600 1.1033 0.0692
3.3800 1.1100 0.0598
3.4000 1.1167 0.0697
3.4200 1.1234 0.0628
3.4400 1.1300 0.0599
3.4600 1.1366 0.0669
3.4800 1.1433 0.0613
3.5000 1.1499 0.0597
3.5200 1.1566 0.0611
3.5400 1.1633 0.0562
3.5600 1.1700 0.0553
3.5800 1.1767 0.0587
3.6000 1.1834 0.0508
3.6200 1.1900 0.0553
3.6400 1.1966 0.0581
3.6600 1.2032 0.0488
3.6800 1.2099 0.0553
3.7000 1.2166 0.0547
3.7200 1.2233 0.0455
3.7400 1.2300 0.0536
3.7600 1.2367 0.0494
3.7800 1.2433 0.0466
3.8000 1.2499 0.0488
3.8200 1.2565 0.0460
3.8400 1.2632 0.0432
3.8600 1.2699 0.0512
3.8800 1.2766 0.0402
3.9000 1.2833 0.0358
3.9200 1.2900 0.0517
3.9400 1.2967 0.0384
3.9600 1.3033 0.0351
3.9800 1.3100 0.0471
4.0000 1.3166 0.0304
4.0200 1.3232 0.0366
4.0400 1.3299 0.0444
4.0600 1.3366 0.0350
4.0800 1.3433 0.0351
4.1000 1.3500 0.0438
4.1200 1.3567 0.0270
4.1400 1.3633 0.0328
4.1600 1.3700 0.0401
4.1800 1.3766 0.0271
4.2000 1.3832 0.0372
4.2200 1.3899 0.0351
4.2400 1.3967 0.0223
4.2600 1.4034 0.0356
4.2800 1.4100 0.0303
4.3000 1.4167 0.0189
4.3200 1.4234 0.0308
4.3400 1.4300 0.0287
4.3600 1.4366 0.0141
4.3800 1.4432 0.0348
4.4000 1.4499 0.0301
4.4200 1.4566 0.0108
4.4400 1.4633 0.0303
4.4600 1.4700 0.0247
4.4800 1.4767 0.0142
4.5000 1.4833 0.0273
4.5200 1.4900 0.0206
4.5400 1.4966 0.0135
4.5600 1.5032 0.0307
4.5800 1.5099 0.0144
4.6000 1.5166 0.0159
4.6200 1.5233 0.0263
4.6400 1.5300 0.0086
4.6600 1.5367 0.0139
4.6800 1.5433 0.0252
4.7000 1.5500 0.0069
4.7200 1.5566 0.0211
4.7400 1.5632 0.0195
4.7600 1.5699 0.0034
4.7800 1.5767 0.0156
4.8000 1.5834 0.0154
4.8200 1.5900 0.0037
4.8400 1.5967 0.0139
4.8600 1.6034 0.0076
4.8800 1.6100 0.0058
4.9000 1.6166 0.0122
4.9200 1.6232 0.0086
4.9400 1.6299 0.0083
4.9600 1.6366 0.0090
4.9800 1.6433 0.0015
5.0000 1.6500 0.0087
5.0200 1.6567 0.0058
5.0400 1.6634 0.0014
5.0600 1.6700 0.0057
5.0800 1.6766 0.0022
5.1000 1.6832 0.0017
5.1200 1.6899 0.0079
5.1400 1.6966 -0.0022
5.1600 1.7033 0.0006
5.1800 1.7100 0.0042
5.2000 1.7167 -0.0095
5.2200 1.7234 0.0050
5.2400 1.7300 -0.0017
5.2600 1.7366 -0.0157
5.2800 1.7432 0.0058
5.3000 1.7499 -0.0081
5.3200 1.7566 -0.0173
5.3400 1.7633 0.0034
5.3600 1.7700 -0.0151
5.3800 1.7766 -0.0107
5.4000 1.7833 0.0021
5.4200 1.7900 -0.0157
5.4400 1.7966 -0.0158
5.4600 1.8032 0.0007
5.4800 1.8099 -0.0184
5.5000 1.8166 -0.0171
5.5200 1.8233 -0.0041
5.5400 1.8300 -0.0214
5.5600 1.8367 -0.0124
5.5800 1.8434 -0.0070
5.6000 1.8500 -0.0257
