Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0001 -0.1100
0.0200 0.0001 -0.1116
0.0400 0.0009 -0.0733
0.0600 0.0042 -0.0668
0.0800 0.0097 -0.1089
0.1000 0.0154 -0.1157
0.1200 0.0213 -0.0805
0.1400 0.0280 -0.1044
0.1600 0.0353 -0.1131
0.1800 0.0428 -0.0959
0.2000 0.0499 -0.1104
0.2200 0.0568 -0.1114
0.2400 0.0635 -0.0921
0.2600 0.0701 -0.1108
0.2800 0.0768 -0.1013
0.3000 0.0835 -0.0896
0.3200 0.0902 -0.1140
0.3400 0.0969 -0.0937
0.3600 0.1036 -0.0895
0.3800 0.1103 -0.1167
0.4000 0.1169 -0.0901
0.4200 0.1236 -0.0874
0.4400 0.1303 -0.1037
0.4600 0.1370 -0.0875
0.4800 0.1437 -0.0922
0.5000 0.1504 -0.1014
0.5200 0.1571 -0.0866
0.5400 0.1637 -0.0844
0.5600 0.1702 -0.0997
0.5800 0.1769 -0.0822
0.6000 0.1836 -0.0882
0.6200 0.1903 -0.0920
0.6400 0.1970 -0.0817
0.6600 0.2037 -0.0857
0.6800 0.2103 -0.0865
0.7000 0.2170 -0.0791
0.7200 0.2236 -0.0847
0.7400 0.2302 -0.0832
0.7600 0.2369 -0.0741
0.7800 0.2436 -0.0801
0.8000 0.2503 -0.0841
0.8200 0.2569 -0.0740
0.8400 0.2636 -0.0789
0.8600 0.2703 -0.0731
0.8800 0.2770 -0.0732
0.9000 0.2836 -0.0772
0.9200 0.2902 -0.0755
0.9400 0.2968 -0.0716
0.9600 0.3035 -0.0690
0.9800 0.3102 -0.0786
1.0000 0.3169 -0.0742
1.0200 0.3236 -0.0711
1.0400 0.3303 -0.0760
1.0600 0.3370 -0.0657
1.0800 0.3436 -0.0700
1.1000 0.3502 -0.0747
1.1200 0.3569 -0.0683
1.1400 0.3636 -0.0683
1.1600 0.3703 -0.0728
1.1800 0.3770 -0.0668
1.2000 0.3837 -0.0713
1.2200 0.3904 -0.0747
1.2400 0.3970 -0.0685
1.2600 0.4037 -0.0736
1.2800 0.4103 -0.0699
1.3000 0.4169 -0.0684
1.3200 0.4236 -0.0765
1.3400 0.4303 -0.0801
1.3600 0.4370 -0.0695
1.3800 0.4437 -0.0750
1.4000 0.4503 -0.0707
1.4200 0.4570 -0.0751
1.4400 0.4637 -0.0792
1.4600 0.4702 -0.0702
1.4800 0.4769 -0.0751
1.5000 0.4835 -0.0798
1.5200 0.4902 -0.0766
1.5400 0.4969 -0.0816
1.5600 0.5036 -0.0728
1.5800 0.5103 -0.0817
1.6000 0.5170 -0.0872
1.6200 0.5236 -0.0771
1.6400 0.5302 -0.0798
1.6600 0.5368 -0.0870
1.6800 0.5435 -0.0767
1.7000 0.5503 -0.0843
1.7200 0.5570 -0.0901
1.7400 0.5636 -0.0767
1.7600 0.5703 -0.0842
1.7800 0.5770 -0.0928
1.8000 0.5837 -0.0750
1.8200 0.5903 -0.0893
1.8400 0.5969 -0.0932
1.8600 0.6036 -0.0763
1.8800 0.6103 -0.0875
1.9000 0.6170 -0.0902
1.9200 0.6237 -0.0798
1.9400 0.6304 -0.0906
1.9600 0.6370 -0.0918
1.9800 0.6437 -0.0821
2.0000 0.6503 -0.0924
2.0200 0.6569 -0.0843
2.0400 0.6636 -0.0769
2.0600 0.6703 -0.0953
2.0800 0.6770 -0.0912
2.1000 0.6837 -0.0799
2.1200 0.6903 -0.0938
2.1400 0.6970 -0.0872
2.1600 0.7037 -0.0814
2.1800 0.7103 -0.0976
2.2000 0.7169 -0.0879
2.2200 0.7236 -0.0789
2.2400 0.7303 -0.0948
2.2600 0.7370 -0.0837
2.2800 0.7436 -0.0867
2.3000 0.7503 -0.0958
2.3200 0.7570 -0.0836
2.3400 0.7636 -0.0839
2.3600 0.7703 -0.0952
2.3800 0.7769 -0.0807
2.4000 0.7835 -0.0896
2.4200 0.7902 -0.0929
2.4400 0.7969 -0.0839
2.4600 0.8036 -0.0934
2.4800 0.8103 -0.0871
2.5000 0.8170 -0.0858
2.5200 0.8237 -0.0983
2.5400 0.8303 -0.0872
2.5600 0.8369 -0.0857
2.5800 0.8436 -0.0923
2.6000 0.8503 -0.0883
2.6200 0.8570 -0.0887
2.6400 0.8637 -0.0909
2.6600 0.8704 -0.0875
2.6800 0.8770 -0.0902
2.7000 0.8837 -0.0938
2.7200 0.8903 -0.0861
2.7400 0.8969 -0.0910
2.7600 0.9036 -0.0928
2.7800 0.9103 -0.0861
2.8000 0.9170 -0.0960
2.8200 0.9237 -0.0884
2.8400 0.9304 -0.0845
2.8600 0.9370 -0.0952
2.8800 0.9437 -0.0924
2.9000 0.9503 -0.0908
2.9200 0.9569 -0.0931
2.9400 0.9635 -0.0898
2.9600 0.9702 -0.0904
2.9800 0.9770 -0.0959
3.0000 0.9837 -0.0947
3.0200 0.9903 -0.0927
3.0400 0.9970 -0.0913
3.0600 1.0037 -0.0938
3.0800 1.0103 -0.0976
3.1000 1.0168 -0.0894
3.1200 1.0235 -0.0898
3.1400 1.0302 -0.0974
3.1600 1.0370 -0.0920
3.1800 1.0436 -0.0928
3.2000 1.0503 -0.0972
3.2200 1.0570 -0.0944
3.2400 1.0637 -0.0951
3.2600 1.0703 -0.0960
3.2800 1.0769 -0.0931
3.3000 1.0836 -0.0954
3.3200 1.0903 -0.0900
3.3400 1.0970 -0.0923
3.3600 1.1037 -0.0914
3.3800 1.1104 -0.0985
3.4000 1.1171 -0.0955
3.4200 1.1237 -0.0896
3.4400 1.1303 -0.0952
3.4600 1.1369 -0.0956
3.4800 1.1436 -0.0919
3.5000 1.1503 -0.0952
3.5200 1.1570 -0.0941
3.5400 1.1637 -0.0948
3.5600 1.1704 -0.0936
3.5800 1.1770 -0.0986
3.6000 1.1837 -0.0962
3.6200 1.1903 -0.0929
3.6400 1.1969 -0.0967
3.6600 1.2035 -0.0936
3.6800 1.2103 -0.0952
3.7000 1.2170 -0.0937
3.7200 1.2236 -0.0960
3.7400 1.2303 -0.0943
3.7600 1.2370 -0.0939
3.7800 1.2437 -0.0956
3.8000 1.2503 -0.0947
3.8200 1.2569 -0.0966
3.8400 1.2636 -0.0958
3.8600 1.2703 -0.0911
3.8800 1.2770 -0.0942
3.9000 1.2836 -0.0965
3.9200 1.2903 -0.0953
3.9400 1.2970 -0.0966
3.9600 1.3037 -0.0946
3.9800 1.3103 -0.0901
4.0000 1.3169 -0.0960
4.0200 1.3235 -0.0925
4.0400 1.3302 -0.0919
4.0600 1.3369 -0.0969
4.0800 1.3437 -0.0901
4.1000 1.3503 -0.0909
4.1200 1.3570 -0.0953
4.1400 1.3637 -0.0890
4.1600 1.3703 -0.0966
4.1800 1.3769 -0.0953
4.2000 1.3836 -0.0875
4.2200 1.3903 -0.0927
4.2400 1.3970 -0.0985
4.2600 1.4037 -0.0929
4.2800 1.4104 -0.0962
4.3000 1.4170 -0.0916
4.3200 1.4237 -0.0920
4.3400 1.4303 -0.0971
4.3600 1.4369 -0.0912
4.3800 1.4435 -0.0955
4.4000 1.4502 -0.0927
4.4200 1.4570 -0.0901
4.4400 1.4636 -0.0959
4.4600 1.4703 -0.0930
4.4800 1.4770 -0.0924
4.5000 1.4837 -0.1000
4.5200 1.4903 -0.0979
4.5400 1.4969 -0.0898
4.5600 1.5035 -0.0961
4.5800 1.5102 -0.0961
4.6000 1.5169 -0.0948
4.6200 1.5236 -0.0993
4.6400 1.5303 -0.0881
4.6600 1.5370 -0.0980
4.6800 1.5437 -0.1051
4.7000 1.5503 -0.0905
4.7200 1.5569 -0.0977
4.7400 1.5636 -0.1021
4.7600 1.5703 -0.0859
4.7800 1.5770 -0.1026
4.8000 1.5837 -0.1003
4.8200 1.5904 -0.0892
4.8400 1.5971 -0.0991
4.8600 1.6037 -0.0998
4.8800 1.6103 -0.0953
4.9000 1.6169 -0.1024
4.9200 1.6236 -0.1001
4.9400 1.6303 -0.0947
4.9600 1.6370 -0.1042
4.9800 1.6437 -0.1075
5.0000 1.6503 -0.0964
5.0200 1.6570 -0.0982
5.0400 1.6637 -0.1041
5.0600 1.6703 -0.0991
5.0800 1.6769 -0.0964
5.1000 1.6835 -0.1076
5.1200 1.6902 -0.0979
5.1400 1.6969 -0.0981
5.1600 1.7036 -0.1077
5.1800 1.7103 -0.0939
5.2000 1.7170 -0.1033
5.2200 1.7237 -0.1112
5.2400 1.7303 -0.0946
5.2600 1.7369 -0.1003
