Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.5318
0.0200 0.0000 -0.5312
0.0400 0.0008 -0.4824
0.0600 0.0039 -0.3804
0.0800 0.0093 -0.3601
0.1000 0.0150 -0.3480
0.1200 0.0208 -0.3044
0.1400 0.0275 -0.2976
0.1600 0.0349 -0.2654
0.1800 0.0424 -0.2310
0.2000 0.0496 -0.1978
0.2200 0.0564 -0.1642
0.2400 0.0631 -0.1312
0.2600 0.0698 -0.1009
0.2800 0.0764 -0.0672
0.3000 0.0831 -0.0362
0.3200 0.0899 -0.0091
0.3400 0.0966 0.0301
0.3600 0.1033 0.0469
0.3800 0.1099 0.0776
0.4000 0.1166 0.1083
0.4200 0.1233 0.1194
0.4400 0.1300 0.1502
0.4600 0.1366 0.1838
0.4800 0.1433 0.2116
0.5000 0.1500 0.2734
0.5200 0.1567 0.3107
0.5400 0.1633 0.3543
0.5600 0.1699 0.4131
0.5800 0.1765 0.4549
0.6000 0.1832 0.4955
0.6200 0.1899 0.5535
0.6400 0.1966 0.5939
0.6600 0.2033 0.6315
0.6800 0.2100 0.6679
0.7000 0.2167 0.6647
0.7200 0.2233 0.6627
0.7400 0.2299 0.6721
0.7600 0.2365 0.6692
0.7800 0.2432 0.6616
0.8000 0.2499 0.6758
0.8200 0.2566 0.6673
0.8400 0.2633 0.6627
0.8600 0.2700 0.6782
0.8800 0.2766 0.6680
0.9000 0.2833 0.6600
0.9200 0.2899 0.6835
0.9400 0.2965 0.6670
0.9600 0.3032 0.6684
0.9800 0.3099 0.6813
1.0000 0.3166 0.6672
1.0200 0.3233 0.6693
1.0400 0.3299 0.6827
1.0600 0.3366 0.6632
1.0800 0.3432 0.6683
1.1000 0.3499 0.6825
1.1200 0.3565 0.6653
1.1400 0.3632 0.6666
1.1600 0.3699 0.6866
1.1800 0.3766 0.6658
1.2000 0.3833 0.6653
1.2200 0.3900 0.6814
1.2400 0.3967 0.6643
1.2600 0.4033 0.6680
1.2800 0.4100 0.6765
1.3000 0.4166 0.6682
1.3200 0.4233 0.6709
1.3400 0.4300 0.6781
1.3600 0.4366 0.6578
1.3800 0.4433 0.6670
1.4000 0.4500 0.6717
1.4200 0.4567 0.6581
1.4400 0.4633 0.6672
1.4600 0.4699 0.6687
1.4800 0.4765 0.6550
1.5000 0.4832 0.6627
1.5200 0.4899 0.6635
1.5400 0.4966 0.6520
1.5600 0.5033 0.6577
1.5800 0.5099 0.6555
1.6000 0.5166 0.6433
1.6200 0.5233 0.6550
1.6400 0.5299 0.6493
1.6600 0.5365 0.6406
1.6800 0.5432 0.6476
1.7000 0.5499 0.6413
1.7200 0.5566 0.6354
1.7400 0.5633 0.6387
1.7600 0.5699 0.6363
1.7800 0.5766 0.6277
1.8000 0.5833 0.6333
1.8200 0.5899 0.6220
1.8400 0.5966 0.6236
1.8600 0.6032 0.6263
1.8800 0.6099 0.6172
1.9000 0.6166 0.6150
1.9200 0.6233 0.6179
1.9400 0.6300 0.6112
1.9600 0.6367 0.6105
1.9800 0.6433 0.6072
2.0000 0.6499 0.6015
2.0200 0.6565 0.6066
2.0400 0.6632 0.6027
2.0600 0.6699 0.5935
2.0800 0.6766 0.6041
2.1000 0.6833 0.5980
2.1200 0.6900 0.5850
2.1400 0.6967 0.5985
2.1600 0.7033 0.5899
2.1800 0.7099 0.5853
2.2000 0.7165 0.5912
2.2200 0.7232 0.5791
2.2400 0.7299 0.5773
2.2600 0.7366 0.5876
2.2800 0.7433 0.5695
2.3000 0.7499 0.5749
2.3200 0.7566 0.5799
2.3400 0.7633 0.5688
2.3600 0.7699 0.5707
2.3800 0.7765 0.5772
2.4000 0.7832 0.5639
2.4200 0.7899 0.5668
2.4400 0.7966 0.5676
2.4600 0.8032 0.5550
2.4800 0.8099 0.5669
2.5000 0.8167 0.5631
2.5200 0.8233 0.5517
2.5400 0.8299 0.5633
2.5600 0.8365 0.5652
2.5800 0.8432 0.5514
2.6000 0.8499 0.5583
2.6200 0.8566 0.5544
2.6400 0.8633 0.5458
2.6600 0.8700 0.5498
2.6800 0.8767 0.5543
2.7000 0.8833 0.5407
2.7200 0.8899 0.5494
2.7400 0.8965 0.5499
2.7600 0.9032 0.5357
2.7800 0.9099 0.5420
2.8000 0.9166 0.5422
2.8200 0.9233 0.5317
2.8400 0.9300 0.5356
2.8600 0.9367 0.5404
2.8800 0.9433 0.5271
2.9000 0.9499 0.5326
2.9200 0.9565 0.5363
2.9400 0.9632 0.5260
2.9600 0.9699 0.5283
2.9800 0.9766 0.5280
3.0000 0.9833 0.5216
3.0200 0.9900 0.5240
3.0400 0.9967 0.5225
3.0600 1.0033 0.5237
3.0800 1.0099 0.5129
3.1000 1.0164 0.5193
3.1200 1.0231 0.5241
3.1400 1.0298 0.5109
3.1600 1.0366 0.5106
3.1800 1.0433 0.5171
3.2000 1.0500 0.5055
3.2200 1.0566 0.5072
3.2400 1.0633 0.5097
3.2600 1.0699 0.5009
3.2800 1.0766 0.5074
3.3000 1.0832 0.5089
3.3200 1.0899 0.4886
3.3400 1.0966 0.5053
3.3600 1.1033 0.5043
3.3800 1.1100 0.4894
3.4000 1.1167 0.4946
3.4200 1.1234 0.4955
3.4400 1.1300 0.4908
3.4600 1.1366 0.4885
3.4800 1.1432 0.4994
3.5000 1.1499 0.4788
3.5200 1.1566 0.4906
3.5400 1.1633 0.4917
3.5600 1.1700 0.4742
3.5800 1.1767 0.4855
3.6000 1.1833 0.4875
3.6200 1.1899 0.4709
3.6400 1.1965 0.4827
3.6600 1.2032 0.4838
3.6800 1.2099 0.4655
3.7000 1.2166 0.4741
3.7200 1.2233 0.4827
3.7400 1.2300 0.4617
3.7600 1.2366 0.4751
3.7800 1.2433 0.4773
3.8000 1.2499 0.4515
3.8200 1.2565 0.4707
3.8400 1.2632 0.4755
3.8600 1.2699 0.4475
3.8800 1.2766 0.4639
3.9000 1.2833 0.4719
3.9200 1.2899 0.4392
3.9400 1.2966 0.4674
3.9600 1.3033 0.4588
3.9800 1.3100 0.4385
4.0000 1.3166 0.4684
4.0200 1.3232 0.4560
4.0400 1.3299 0.4338
4.0600 1.3366 0.4719
4.0800 1.3433 0.4508
4.1000 1.3500 0.4262
4.1200 1.3567 0.4638
4.1400 1.3633 0.4439
4.1600 1.3699 0.4299
4.1800 1.3765 0.4582
4.2000 1.3832 0.4380
4.2200 1.3899 0.4327
4.2400 1.3966 0.4554
4.2600 1.4033 0.4364
4.2800 1.4100 0.4277
4.3000 1.4167 0.4490
4.3200 1.4233 0.4315
4.3400 1.4300 0.4315
4.3600 1.4366 0.4442
4.3800 1.4432 0.4287
4.4000 1.4499 0.4370
4.4200 1.4566 0.4323
4.4400 1.4633 0.4262
4.4600 1.4700 0.4326
4.4800 1.4766 0.4323
4.5000 1.4833 0.4225
4.5200 1.4900 0.4259
4.5400 1.4966 0.4223
4.5600 1.5032 0.4300
4.5800 1.5099 0.4220
4.6000 1.5166 0.4173
4.6200 1.5233 0.4253
4.6400 1.5300 0.4182
4.6600 1.5367 0.4093
4.6800 1.5433 0.4260
4.7000 1.5499 0.4113
4.7200 1.5565 0.4038
4.7400 1.5632 0.4255
4.7600 1.5699 0.4047
4.7800 1.5766 0.3996
4.8000 1.5833 0.4178
4.8200 1.5900 0.4045
4.8400 1.5967 0.4003
4.8600 1.6034 0.4120
4.8800 1.6100 0.3928
4.9000 1.6166 0.3985
4.9200 1.6232 0.4092
4.9400 1.6299 0.3909
4.9600 1.6366 0.3895
4.9800 1.6433 0.4044
5.0000 1.6500 0.3841
5.0200 1.6567 0.3871
5.0400 1.6633 0.3966
5.0600 1.6700 0.3801
5.0800 1.6766 0.3795
5.1000 1.6832 0.3951
5.1200 1.6898 0.3771
5.1400 1.6965 0.3737
5.1600 1.7032 0.3916
5.1800 1.7100 0.3725
5.2000 1.7167 0.3672
5.2200 1.7234 0.3857
5.2400 1.7300 0.3680
5.2600 1.7366 0.3667
5.2800 1.7432 0.3828
5.3000 1.7498 0.3589
5.3200 1.7566 0.3685
5.3400 1.7633 0.3768
5.3600 1.7699 0.3521
5.3800 1.7766 0.3626
5.4000 1.7833 0.3697
5.4200 1.7899 0.3455
5.4400 1.7966 0.3629
5.4600 1.8032 0.3635
5.4800 1.8099 0.3433
5.5000 1.8166 0.3610
5.5200 1.8233 0.3561
5.5400 1.8300 0.3400
5.5600 1.8367 0.3556
5.5800 1.8434 0.3497
5.6000 1.8500 0.3381
