Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.1859
0.0200 0.0000 0.1813
0.0400 0.0008 0.2391
0.0600 0.0040 0.3160
0.0800 0.0094 0.2997
0.1000 0.0152 0.3286
0.1200 0.0211 0.3990
0.1400 0.0277 0.4180
0.1600 0.0350 0.4680
0.1800 0.0425 0.5300
0.2000 0.0496 0.5655
0.2200 0.0565 0.6132
0.2400 0.0632 0.6779
0.2600 0.0698 0.7133
0.2800 0.0765 0.7647
0.3000 0.0832 0.8116
0.3200 0.0900 0.8532
0.3400 0.0967 0.9089
0.3600 0.1033 0.9549
0.3800 0.1100 0.9925
0.4000 0.1166 1.0509
0.4200 0.1233 1.1061
0.4400 0.1300 1.1441
0.4600 0.1367 1.1879
0.4800 0.1434 1.2435
0.5000 0.1501 1.2761
0.5200 0.1568 1.2898
0.5400 0.1634 1.2919
0.5600 0.1700 1.2918
0.5800 0.1766 1.2947
0.6000 0.1833 1.2985
0.6200 0.1900 1.2934
0.6400 0.1967 1.2924
0.6600 0.2034 1.3024
0.6800 0.2101 1.2985
0.7000 0.2167 1.2930
0.7200 0.2234 1.2979
0.7400 0.2300 1.3048
0.7600 0.2366 1.3016
0.7800 0.2433 1.3060
0.8000 0.2500 1.3030
0.8200 0.2567 1.3067
0.8400 0.2633 1.3160
0.8600 0.2700 1.3046
0.8800 0.2767 1.3022
0.9000 0.2833 1.3242
0.9200 0.2899 1.3071
0.9400 0.2965 1.3079
0.9600 0.3032 1.3294
0.9800 0.3099 1.3071
1.0000 0.3166 1.3065
1.0200 0.3233 1.3305
1.0400 0.3300 1.3103
1.0600 0.3367 1.3184
1.0800 0.3433 1.3298
1.1000 0.3499 1.3073
1.1200 0.3566 1.3189
1.1400 0.3633 1.3290
1.1600 0.3700 1.3130
1.1800 0.3767 1.3185
1.2000 0.3833 1.3260
1.2200 0.3900 1.3131
1.2400 0.3967 1.3243
1.2600 0.4034 1.3242
1.2800 0.4100 1.3121
1.3000 0.4167 1.3205
1.3200 0.4234 1.3217
1.3400 0.4300 1.3098
1.3600 0.4367 1.3176
1.3800 0.4434 1.3153
1.4000 0.4501 1.3109
1.4200 0.4568 1.3099
1.4400 0.4634 1.3112
1.4600 0.4700 1.3120
1.4800 0.4766 1.3129
1.5000 0.4833 1.3033
1.5200 0.4900 1.3042
1.5400 0.4967 1.3042
1.5600 0.5033 1.3033
1.5800 0.5100 1.2981
1.6000 0.5167 1.2925
1.6200 0.5233 1.2948
1.6400 0.5299 1.3064
1.6600 0.5366 1.2911
1.6800 0.5433 1.2945
1.7000 0.5500 1.2984
1.7200 0.5567 1.2760
1.7400 0.5634 1.2878
1.7600 0.5700 1.2954
1.7800 0.5767 1.2780
1.8000 0.5834 1.2776
1.8200 0.5900 1.2851
1.8400 0.5966 1.2680
1.8600 0.6033 1.2795
1.8800 0.6100 1.2812
1.9000 0.6167 1.2613
1.9200 0.6234 1.2736
1.9400 0.6301 1.2740
1.9600 0.6368 1.2519
1.9800 0.6434 1.2690
2.0000 0.6500 1.2658
2.0200 0.6566 1.2510
2.0400 0.6633 1.2610
2.0600 0.6700 1.2595
2.0800 0.6767 1.2492
2.1000 0.6834 1.2651
2.1200 0.6901 1.2484
2.1400 0.6967 1.2383
2.1600 0.7034 1.2522
2.1800 0.7100 1.2438
2.2000 0.7166 1.2380
2.2200 0.7232 1.2496
2.2400 0.7300 1.2357
2.2600 0.7367 1.2341
2.2800 0.7434 1.2454
2.3000 0.7500 1.2378
2.3200 0.7567 1.2333
2.3400 0.7634 1.2370
2.3600 0.7700 1.2261
2.3800 0.7766 1.2283
2.4000 0.7832 1.2410
2.4200 0.7899 1.2229
2.4400 0.7966 1.2230
2.4600 0.8033 1.2280
2.4800 0.8100 1.2247
2.5000 0.8167 1.2217
2.5200 0.8234 1.2255
2.5400 0.8300 1.2210
2.5600 0.8366 1.2161
2.5800 0.8433 1.2162
2.6000 0.8500 1.2151
2.6200 0.8567 1.2132
2.6400 0.8634 1.2153
2.6600 0.8701 1.2090
2.6800 0.8767 1.2123
2.7000 0.8834 1.2085
2.7200 0.8900 1.2129
2.7400 0.8966 1.2063
2.7600 0.9033 1.2036
2.7800 0.9100 1.2035
2.8000 0.9167 1.1998
2.8200 0.9234 1.2052
2.8400 0.9301 1.2001
2.8600 0.9367 1.1940
2.8800 0.9434 1.2025
2.9000 0.9500 1.2028
2.9200 0.9566 1.1919
2.9400 0.9633 1.2032
2.9600 0.9700 1.1934
2.9800 0.9767 1.1899
3.0000 0.9833 1.1964
3.0200 0.9900 1.1913
3.0400 0.9967 1.1882
3.0600 1.0034 1.1951
3.0800 1.0100 1.1833
3.1000 1.0166 1.1947
3.1200 1.0232 1.1962
3.1400 1.0299 1.1830
3.1600 1.0367 1.1891
3.1800 1.0434 1.1876
3.2000 1.0500 1.1826
3.2200 1.0567 1.1901
3.2400 1.0634 1.1831
3.2600 1.0700 1.1801
3.2800 1.0766 1.1892
3.3000 1.0833 1.1865
3.3200 1.0900 1.1821
3.3400 1.0967 1.1884
3.3600 1.1034 1.1777
3.3800 1.1101 1.1851
3.4000 1.1168 1.1821
3.4200 1.1234 1.1700
3.4400 1.1301 1.1818
3.4600 1.1367 1.1788
3.4800 1.1433 1.1676
3.5000 1.1500 1.1846
3.5200 1.1567 1.1775
3.5400 1.1634 1.1686
3.5600 1.1701 1.1803
3.5800 1.1768 1.1650
3.6000 1.1834 1.1709
3.6200 1.1900 1.1774
3.6400 1.1966 1.1580
3.6600 1.2032 1.1648
3.6800 1.2100 1.1787
3.7000 1.2167 1.1523
3.7200 1.2234 1.1602
3.7400 1.2300 1.1749
3.7600 1.2367 1.1551
3.7800 1.2434 1.1570
3.8000 1.2500 1.1674
3.8200 1.2566 1.1537
3.8400 1.2633 1.1550
3.8600 1.2700 1.1574
3.8800 1.2767 1.1522
3.9000 1.2833 1.1474
3.9200 1.2900 1.1580
3.9400 1.2967 1.1480
3.9600 1.3034 1.1469
3.9800 1.3100 1.1522
4.0000 1.3166 1.1489
4.0200 1.3233 1.1386
4.0400 1.3299 1.1404
4.0600 1.3367 1.1467
4.0800 1.3434 1.1381
4.1000 1.3501 1.1344
4.1200 1.3567 1.1415
4.1400 1.3634 1.1324
4.1600 1.3700 1.1387
4.1800 1.3766 1.1383
4.2000 1.3833 1.1241
4.2200 1.3900 1.1346
4.2400 1.3967 1.1328
4.2600 1.4034 1.1197
4.2800 1.4101 1.1331
4.3000 1.4168 1.1320
4.3200 1.4234 1.1091
4.3400 1.4300 1.1302
4.3600 1.4366 1.1339
4.3800 1.4433 1.1136
4.4000 1.4500 1.1303
4.4200 1.4567 1.1286
4.4400 1.4633 1.1075
4.4600 1.4700 1.1256
4.4800 1.4767 1.1215
4.5000 1.4834 1.1094
4.5200 1.4900 1.1154
4.5400 1.4966 1.1189
4.5600 1.5032 1.1060
4.5800 1.5099 1.1150
4.6000 1.5166 1.1146
4.6200 1.5233 1.1081
4.6400 1.5300 1.1115
4.6600 1.5367 1.1074
4.6800 1.5434 1.1024
4.7000 1.5500 1.1096
4.7200 1.5566 1.1094
4.7400 1.5633 1.0987
4.7600 1.5700 1.1054
4.7800 1.5767 1.1056
4.8000 1.5834 1.0982
4.8200 1.5901 1.1018
4.8400 1.5968 1.1010
4.8600 1.6034 1.0955
4.8800 1.6100 1.0953
4.9000 1.6166 1.0949
4.9200 1.6233 1.0982
4.9400 1.6300 1.0929
4.9600 1.6367 1.0949
4.9800 1.6434 1.0900
5.0000 1.6501 1.0959
5.0200 1.6568 1.0956
5.0400 1.6634 1.0868
5.0600 1.6700 1.0802
5.0800 1.6766 1.0936
5.1000 1.6832 1.0863
5.1200 1.6899 1.0831
5.1400 1.6966 1.0902
5.1600 1.7033 1.0803
5.1800 1.7100 1.0781
5.2000 1.7167 1.0921
5.2200 1.7234 1.0789
5.2400 1.7300 1.0834
5.2600 1.7366 1.0834
5.2800 1.7432 1.0693
5.3000 1.7499 1.0773
5.3200 1.7566 1.0869
5.3400 1.7633 1.0645
5.3600 1.7700 1.0672
5.3800 1.7767 1.0836
5.4000 1.7833 1.0664
5.4200 1.7900 1.0701
5.4400 1.7966 1.0763
5.4600 1.8033 1.0616
5.4800 1.8100 1.0683
5.5000 1.8167 1.0737
5.5200 1.8234 1.0581
5.5400 1.8301 1.0712
5.5600 1.8368 1.0656
5.5800 1.8434 1.0528
5.6000 1.8501 1.0656
5.6200 1.8567 1.0707
