Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.0076
0.0200 0.0000 0.0041
0.0400 0.0007 0.0223
0.0600 0.0036 0.0468
0.0800 0.0089 0.0112
0.1000 0.0146 -0.0072
0.1200 0.0205 0.0259
0.1400 0.0270 0.0107
0.1600 0.0343 -0.0103
0.1800 0.0418 0.0165
0.2000 0.0491 0.0067
0.2200 0.0561 -0.0119
0.2400 0.0628 0.0089
0.2600 0.0694 0.0131
0.2800 0.0761 -0.0061
0.3000 0.0828 0.0178
0.3200 0.0894 0.0102
0.3400 0.0961 -0.0063
0.3600 0.1028 0.0152
0.3800 0.1096 0.0079
0.4000 0.1163 -0.0054
0.4200 0.1229 0.0206
0.4400 0.1296 0.0001
0.4600 0.1363 -0.0044
0.4800 0.1429 0.0202
0.5000 0.1495 0.0036
0.5200 0.1561 0.0004
0.5400 0.1628 0.0166
0.5600 0.1696 0.0047
0.5800 0.1763 0.0010
0.6000 0.1829 0.0211
0.6200 0.1896 0.0029
0.6400 0.1963 -0.0005
0.6600 0.2029 0.0202
0.6800 0.2095 0.0079
0.7000 0.2161 0.0028
0.7200 0.2228 0.0167
0.7400 0.2295 0.0069
0.7600 0.2362 0.0060
0.7800 0.2429 0.0194
0.8000 0.2496 0.0096
0.8200 0.2562 0.0044
0.8400 0.2629 0.0194
0.8600 0.2695 0.0078
0.8800 0.2761 0.0056
0.9000 0.2828 0.0203
0.9200 0.2895 0.0098
0.9400 0.2962 0.0035
0.9600 0.3029 0.0182
0.9800 0.3095 0.0119
1.0000 0.3162 0.0097
1.0200 0.3228 0.0147
1.0400 0.3294 0.0072
1.0600 0.3361 0.0121
1.0800 0.3428 0.0177
1.1000 0.3495 0.0082
1.1200 0.3563 0.0130
1.1400 0.3629 0.0163
1.1600 0.3696 0.0068
1.1800 0.3763 0.0115
1.2000 0.3829 0.0118
1.2200 0.3896 0.0184
1.2400 0.3962 0.0184
1.2600 0.4029 0.0086
1.2800 0.4096 0.0115
1.3000 0.4163 0.0136
1.3200 0.4229 0.0140
1.3400 0.4296 0.0140
1.3600 0.4363 0.0116
1.3800 0.4429 0.0123
1.4000 0.4495 0.0122
1.4200 0.4561 0.0174
1.4400 0.4628 0.0129
1.4600 0.4695 0.0156
1.4800 0.4762 0.0167
1.5000 0.4829 0.0079
1.5200 0.4896 0.0222
1.5400 0.4962 0.0138
1.5600 0.5029 0.0124
1.5800 0.5095 0.0205
1.6000 0.5161 0.0150
1.6200 0.5228 0.0135
1.6400 0.5296 0.0240
1.6600 0.5363 0.0101
1.6800 0.5429 0.0112
1.7000 0.5496 0.0187
1.7200 0.5562 0.0128
1.7400 0.5629 0.0142
1.7600 0.5695 0.0189
1.7800 0.5762 0.0089
1.8000 0.5829 0.0149
1.8200 0.5896 0.0191
1.8400 0.5962 0.0119
1.8600 0.6029 0.0192
1.8800 0.6096 0.0161
1.9000 0.6163 0.0098
1.9200 0.6229 0.0134
1.9400 0.6295 0.0204
1.9600 0.6361 0.0132
1.9800 0.6428 0.0163
2.0000 0.6495 0.0173
2.0200 0.6562 0.0092
2.0400 0.6629 0.0126
2.0600 0.6696 0.0253
2.0800 0.6763 0.0131
2.1000 0.6829 0.0028
2.1200 0.6895 0.0202
2.1400 0.6961 0.0227
2.1600 0.7028 0.0052
2.1800 0.7095 0.0192
2.2000 0.7162 0.0166
2.2200 0.7229 0.0038
2.2400 0.7295 0.0193
2.2600 0.7362 0.0211
2.2800 0.7429 0.0123
2.3000 0.7495 0.0139
2.3200 0.7561 0.0165
2.3400 0.7628 0.0082
2.3600 0.7695 0.0197
2.3800 0.7762 0.0146
2.4000 0.7829 0.0069
2.4200 0.7896 0.0169
2.4400 0.7963 0.0108
2.4600 0.8029 0.0096
2.4800 0.8095 0.0226
2.5000 0.8161 0.0089
2.5200 0.8228 0.0114
2.5400 0.8295 0.0157
2.5600 0.8363 0.0097
2.5800 0.8430 0.0167
2.6000 0.8496 0.0155
2.6200 0.8563 0.0124
2.6400 0.8629 0.0121
2.6600 0.8695 0.0201
2.6800 0.8762 0.0120
2.7000 0.8828 0.0163
2.7200 0.8896 0.0175
2.7400 0.8963 0.0104
2.7600 0.9029 0.0115
2.7800 0.9096 0.0099
2.8000 0.9163 0.0137
2.8200 0.9229 0.0155
2.8400 0.9295 0.0076
2.8600 0.9362 0.0218
2.8800 0.9428 0.0088
2.9000 0.9495 0.0088
2.9200 0.9562 0.0199
2.9400 0.9629 0.0112
2.9600 0.9696 0.0061
2.9800 0.9763 0.0138
3.0000 0.9829 0.0087
3.0200 0.9895 0.0033
3.0400 0.9961 0.0219
3.0600 1.0027 0.0112
3.0800 1.0095 0.0070
3.1000 1.0162 0.0149
3.1200 1.0229 0.0010
3.1400 1.0295 0.0115
3.1600 1.0362 0.0194
3.1800 1.0429 0.0024
3.2000 1.0495 0.0130
3.2200 1.0561 0.0179
3.2400 1.0628 -0.0011
3.2600 1.0695 0.0094
3.2800 1.0762 0.0215
3.3000 1.0829 -0.0021
3.3200 1.0896 0.0105
3.3400 1.0963 0.0128
3.3600 1.1030 -0.0023
3.3800 1.1096 0.0129
3.4000 1.1162 0.0121
3.4200 1.1229 0.0042
3.4400 1.1295 0.0127
3.4600 1.1362 0.0084
3.4800 1.1429 0.0020
3.5000 1.1496 0.0126
3.5200 1.1563 0.0203
3.5400 1.1629 -0.0044
3.5600 1.1695 0.0050
3.5800 1.1762 0.0170
3.6000 1.1828 -0.0022
3.6200 1.1895 0.0114
3.6400 1.1962 0.0103
3.6600 1.2029 0.0025
3.6800 1.2096 0.0067
3.7000 1.2162 0.0156
3.7200 1.2229 -0.0003
3.7400 1.2295 0.0057
3.7600 1.2361 0.0151
3.7800 1.2428 0.0024
3.8000 1.2495 0.0112
3.8200 1.2562 0.0132
3.8400 1.2629 0.0020
3.8600 1.2695 0.0110
3.8800 1.2762 0.0173
3.9000 1.2829 0.0090
3.9200 1.2895 0.0060
3.9400 1.2962 0.0145
3.9600 1.3028 0.0055
3.9800 1.3095 0.0075
4.0000 1.3162 0.0225
4.0200 1.3229 0.0039
4.0400 1.3296 0.0058
4.0600 1.3363 0.0156
4.0800 1.3429 0.0098
4.1000 1.3495 0.0071
4.1200 1.3561 0.0197
4.1400 1.3628 0.0074
4.1600 1.3695 0.0048
4.1800 1.3763 0.0175
4.2000 1.3829 0.0054
4.2200 1.3896 0.0116
4.2400 1.3963 0.0193
4.2600 1.4029 0.0012
4.2800 1.4096 0.0134
4.3000 1.4162 0.0187
4.3200 1.4228 0.0104
4.3400 1.4295 0.0135
4.3600 1.4362 0.0144
4.3800 1.4429 0.0090
4.4000 1.4495 0.0154
4.4200 1.4562 0.0142
4.4400 1.4629 0.0069
4.4600 1.4695 0.0186
4.4800 1.4761 0.0151
4.5000 1.4828 0.0088
4.5200 1.4895 0.0114
4.5400 1.4962 0.0143
4.5600 1.5029 0.0074
4.5800 1.5096 0.0123
4.6000 1.5163 0.0117
4.6200 1.5229 0.0103
4.6400 1.5295 0.0051
4.6600 1.5361 0.0138
4.6800 1.5428 0.0158
4.7000 1.5495 0.0125
4.7200 1.5562 0.0097
4.7400 1.5630 0.0103
4.7600 1.5696 0.0111
4.7800 1.5763 0.0126
4.8000 1.5830 0.0121
4.8200 1.5896 0.0072
4.8400 1.5962 0.0152
4.8600 1.6028 0.0128
4.8800 1.6095 0.0069
4.9000 1.6162 0.0099
4.9200 1.6229 0.0116
4.9400 1.6295 0.0073
4.9600 1.6362 0.0169
4.9800 1.6429 0.0100
5.0000 1.6496 0.0060
5.0200 1.6562 0.0152
5.0400 1.6628 0.0116
5.0600 1.6695 0.0031
5.0800 1.6762 0.0181
5.1000 1.6829 0.0102
5.1200 1.6896 0.0032
5.1400 1.6963 0.0197
5.1600 1.7029 0.0081
5.1800 1.7096 0.0031
5.2000 1.7162 0.0210
5.2200 1.7228 0.0099
5.2400 1.7295 0.0039
5.2600 1.7362 0.0206
5.2800 1.7429 0.0065
5.3000 1.7496 0.0079
5.3200 1.7562 0.0218
5.3400 1.7629 0.0042
5.3600 1.7695 0.0072
5.3800 1.7762 0.0260
5.4000 1.7828 0.0030
5.4200 1.7895 0.0114
5.4400 1.7962 0.0203
5.4600 1.8029 0.0049
5.4800 1.8096 0.0085
5.5000 1.8163 0.0211
5.5200 1.8230 0.0074
5.5400 1.8296 0.0084
5.5600 1.8362 0.0166
5.5800 1.8428 0.0119
5.6000 1.8495 0.0113
