Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0456
0.0200 0.0000 -0.0430
0.0400 0.0008 0.0098
0.0600 0.0039 0.0222
0.0800 0.0094 -0.0185
0.1000 0.0151 -0.0198
0.1200 0.0209 0.0131
0.1400 0.0276 0.0127
0.1600 0.0349 0.0060
0.1800 0.0424 0.0151
0.2000 0.0496 0.0281
0.2200 0.0565 0.0338
0.2400 0.0632 0.0443
0.2600 0.0698 0.0708
0.2800 0.0765 0.0849
0.3000 0.0832 0.1029
0.3200 0.0899 0.1285
0.3400 0.0967 0.1537
0.3600 0.1033 0.1671
0.3800 0.1100 0.1877
0.4000 0.1166 0.2003
0.4200 0.1233 0.2041
0.4400 0.1300 0.2055
0.4600 0.1367 0.2007
0.4800 0.1434 0.2060
0.5000 0.1501 0.2110
0.5200 0.1567 0.2084
0.5400 0.1634 0.2141
0.5600 0.1699 0.2448
0.5800 0.1766 0.2741
0.6000 0.1833 0.3009
0.6200 0.1900 0.3261
0.6400 0.1967 0.3473
0.6600 0.2034 0.3534
0.6800 0.2100 0.3487
0.7000 0.2167 0.3582
0.7200 0.2234 0.3599
0.7400 0.2300 0.3492
0.7600 0.2366 0.3651
0.7800 0.2433 0.3615
0.8000 0.2500 0.3516
0.8200 0.2566 0.3739
0.8400 0.2633 0.3668
0.8600 0.2700 0.3547
0.8800 0.2767 0.3776
0.9000 0.2833 0.3715
0.9200 0.2899 0.3635
0.9400 0.2965 0.3885
0.9600 0.3032 0.3764
0.9800 0.3099 0.3668
1.0000 0.3166 0.3880
1.0200 0.3233 0.3777
1.0400 0.3300 0.3689
1.0600 0.3366 0.3954
1.0800 0.3433 0.3791
1.1000 0.3499 0.3736
1.1200 0.3566 0.3952
1.1400 0.3633 0.3822
1.1600 0.3700 0.3778
1.1800 0.3767 0.3928
1.2000 0.3834 0.3824
1.2200 0.3901 0.3835
1.2400 0.3967 0.3951
1.2600 0.4034 0.3831
1.2800 0.4100 0.3877
1.3000 0.4166 0.3977
1.3200 0.4233 0.3839
1.3400 0.4300 0.3835
1.3600 0.4367 0.3968
1.3800 0.4434 0.3884
1.4000 0.4501 0.3848
1.4200 0.4567 0.3942
1.4400 0.4634 0.3860
1.4600 0.4699 0.3905
1.4800 0.4765 0.3933
1.5000 0.4832 0.3857
1.5200 0.4899 0.3920
1.5400 0.4966 0.3921
1.5600 0.5033 0.3864
1.5800 0.5100 0.3885
1.6000 0.5167 0.3882
1.6200 0.5233 0.3911
1.6400 0.5299 0.3842
1.6600 0.5365 0.3874
1.6800 0.5432 0.3947
1.7000 0.5500 0.3828
1.7200 0.5567 0.3822
1.7400 0.5633 0.3929
1.7600 0.5700 0.3837
1.7800 0.5767 0.3817
1.8000 0.5833 0.3943
1.8200 0.5900 0.3771
1.8400 0.5966 0.3824
1.8600 0.6033 0.3907
1.8800 0.6100 0.3770
1.9000 0.6167 0.3851
1.9200 0.6233 0.3908
1.9400 0.6300 0.3721
1.9600 0.6367 0.3869
1.9800 0.6434 0.3906
2.0000 0.6500 0.3749
2.0200 0.6566 0.3850
2.0400 0.6632 0.3875
2.0600 0.6700 0.3743
2.0800 0.6767 0.3856
2.1000 0.6834 0.3862
2.1200 0.6900 0.3787
2.1400 0.6967 0.3870
2.1600 0.7033 0.3854
2.1800 0.7099 0.3779
2.2000 0.7166 0.3863
2.2200 0.7232 0.3865
2.2400 0.7300 0.3758
2.2600 0.7367 0.3852
2.2800 0.7433 0.3847
2.3000 0.7500 0.3794
2.3200 0.7567 0.3854
2.3400 0.7633 0.3880
2.3600 0.7700 0.3794
2.3800 0.7766 0.3821
2.4000 0.7832 0.3908
2.4200 0.7899 0.3771
2.4400 0.7966 0.3791
2.4600 0.8033 0.3909
2.4800 0.8100 0.3779
2.5000 0.8167 0.3812
2.5200 0.8234 0.3855
2.5400 0.8300 0.3793
2.5600 0.8366 0.3831
2.5800 0.8433 0.3920
2.6000 0.8500 0.3809
2.6200 0.8567 0.3769
2.6400 0.8634 0.3923
2.6600 0.8701 0.3736
2.6800 0.8767 0.3802
2.7000 0.8834 0.3916
2.7200 0.8900 0.3763
2.7400 0.8966 0.3845
2.7600 0.9033 0.3900
2.7800 0.9100 0.3718
2.8000 0.9167 0.3837
2.8200 0.9234 0.3930
2.8400 0.9301 0.3721
2.8600 0.9367 0.3871
2.8800 0.9434 0.3927
2.9000 0.9500 0.3767
2.9200 0.9566 0.3855
2.9400 0.9632 0.3937
2.9600 0.9699 0.3765
2.9800 0.9767 0.3863
3.0000 0.9833 0.3907
3.0200 0.9900 0.3770
3.0400 0.9967 0.3840
3.0600 1.0034 0.3906
3.0800 1.0099 0.3766
3.1000 1.0165 0.3888
3.1200 1.0232 0.3940
3.1400 1.0299 0.3720
3.1600 1.0366 0.3893
3.1800 1.0433 0.3887
3.2000 1.0500 0.3809
3.2200 1.0567 0.3883
3.2400 1.0633 0.3864
3.2600 1.0700 0.3809
3.2800 1.0766 0.3917
3.3000 1.0833 0.3892
3.3200 1.0900 0.3764
3.3400 1.0967 0.3889
3.3600 1.1033 0.3937
3.3800 1.1100 0.3821
3.4000 1.1168 0.3899
3.4200 1.1234 0.3878
3.4400 1.1301 0.3873
3.4600 1.1366 0.3895
3.4800 1.1433 0.3854
3.5000 1.1500 0.3882
3.5200 1.1567 0.3822
3.5400 1.1634 0.3821
3.5600 1.1701 0.3938
3.5800 1.1767 0.3844
3.6000 1.1834 0.3838
3.6200 1.1900 0.3886
3.6400 1.1966 0.3813
3.6600 1.2032 0.3938
3.6800 1.2100 0.3906
3.7000 1.2167 0.3746
3.7200 1.2233 0.3941
3.7400 1.2300 0.3901
3.7600 1.2367 0.3763
3.7800 1.2433 0.3950
3.8000 1.2500 0.3811
3.8200 1.2566 0.3784
3.8400 1.2632 0.3962
3.8600 1.2699 0.3841
3.8800 1.2766 0.3862
3.9000 1.2833 0.3898
3.9200 1.2900 0.3811
3.9400 1.2967 0.3825
3.9600 1.3034 0.3939
3.9800 1.3100 0.3863
4.0000 1.3166 0.3835
4.0200 1.3232 0.3919
4.0400 1.3299 0.3851
4.0600 1.3366 0.3867
4.0800 1.3433 0.3887
4.1000 1.3500 0.3838
4.1200 1.3567 0.3888
4.1400 1.3634 0.3835
4.1600 1.3700 0.3908
4.1800 1.3766 0.3870
4.2000 1.3833 0.3868
4.2200 1.3900 0.3958
4.2400 1.3967 0.3841
4.2600 1.4034 0.3862
4.2800 1.4100 0.3914
4.3000 1.4167 0.3876
4.3200 1.4234 0.3832
4.3400 1.4300 0.3936
4.3600 1.4366 0.3844
4.3800 1.4433 0.3890
4.4000 1.4499 0.3977
4.4200 1.4566 0.3750
4.4400 1.4633 0.3951
4.4600 1.4700 0.3982
4.4800 1.4767 0.3808
4.5000 1.4834 0.3937
4.5200 1.4900 0.3923
4.5400 1.4966 0.3816
4.5600 1.5032 0.3980
4.5800 1.5099 0.3922
4.6000 1.5166 0.3797
4.6200 1.5233 0.3958
4.6400 1.5300 0.3915
4.6600 1.5367 0.3833
4.6800 1.5434 0.3957
4.7000 1.5500 0.3873
4.7200 1.5566 0.3862
4.7400 1.5632 0.3977
4.7600 1.5700 0.3836
4.7800 1.5767 0.3924
4.8000 1.5834 0.3939
4.8200 1.5901 0.3809
4.8400 1.5967 0.3911
4.8600 1.6034 0.3911
4.8800 1.6100 0.3852
4.9000 1.6166 0.3894
4.9200 1.6232 0.3869
4.9400 1.6299 0.3909
4.9600 1.6366 0.3955
4.9800 1.6434 0.3822
5.0000 1.6500 0.3870
5.0200 1.6567 0.4001
5.0400 1.6634 0.3795
5.0600 1.6700 0.3944
5.0800 1.6766 0.3907
5.1000 1.6832 0.3796
5.1200 1.6899 0.3976
5.1400 1.6966 0.3903
5.1600 1.7033 0.3802
5.1800 1.7100 0.4035
5.2000 1.7167 0.3869
5.2200 1.7234 0.3793
5.2400 1.7300 0.3986
5.2600 1.7366 0.3858
5.2800 1.7432 0.3829
5.3000 1.7499 0.4018
5.3200 1.7566 0.3821
5.3400 1.7633 0.3801
5.3600 1.7700 0.4001
5.3800 1.7767 0.3851
5.4000 1.7833 0.3868
5.4200 1.7900 0.3947
5.4400 1.7966 0.3816
5.4600 1.8033 0.3874
5.4800 1.8099 0.4004
5.5000 1.8167 0.3830
5.5200 1.8234 0.3857
5.5400 1.8301 0.3989
5.5600 1.8368 0.3888
5.5800 1.8434 0.3896
5.6000 1.8501 0.3911
5.6200 1.8566 0.3882
