Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.1652
0.0200 0.0000 -0.1450
0.0400 0.0008 -0.1080
0.0600 0.0040 -0.1004
0.0800 0.0095 -0.1307
0.1000 0.0152 -0.1395
0.1200 0.0211 -0.1041
0.1400 0.0277 -0.1002
0.1600 0.0350 -0.1132
0.1800 0.0425 -0.0882
0.2000 0.0497 -0.0796
0.2200 0.0565 -0.0718
0.2400 0.0632 -0.0391
0.2600 0.0699 -0.0138
0.2800 0.0766 -0.0075
0.3000 0.0833 0.0254
0.3200 0.0900 0.0368
0.3400 0.0967 0.0429
0.3600 0.1034 0.0718
0.3800 0.1100 0.0717
0.4000 0.1167 0.0878
0.4200 0.1234 0.1090
0.4400 0.1301 0.1081
0.4600 0.1367 0.1132
0.4800 0.1434 0.1408
0.5000 0.1501 0.1386
0.5200 0.1568 0.1361
0.5400 0.1634 0.1494
0.5600 0.1700 0.1424
0.5800 0.1767 0.1389
0.6000 0.1833 0.1510
0.6200 0.1901 0.1400
0.6400 0.1968 0.1472
0.6600 0.2034 0.1500
0.6800 0.2101 0.1423
0.7000 0.2168 0.1509
0.7200 0.2234 0.1498
0.7400 0.2300 0.1485
0.7600 0.2367 0.1587
0.7800 0.2433 0.1518
0.8000 0.2500 0.1474
0.8200 0.2567 0.1621
0.8400 0.2634 0.1538
0.8600 0.2701 0.1548
0.8800 0.2768 0.1609
0.9000 0.2834 0.1558
0.9200 0.2900 0.1641
0.9400 0.2966 0.1673
0.9600 0.3033 0.1587
0.9800 0.3100 0.1706
1.0000 0.3167 0.1621
1.0200 0.3234 0.1626
1.0400 0.3300 0.1727
1.0600 0.3367 0.1658
1.0800 0.3433 0.1661
1.1000 0.3500 0.1732
1.1200 0.3566 0.1692
1.1400 0.3633 0.1682
1.1600 0.3701 0.1732
1.1800 0.3768 0.1665
1.2000 0.3834 0.1727
1.2200 0.3901 0.1745
1.2400 0.3968 0.1650
1.2600 0.4035 0.1721
1.2800 0.4101 0.1750
1.3000 0.4167 0.1658
1.3200 0.4234 0.1753
1.3400 0.4301 0.1699
1.3600 0.4368 0.1656
1.3800 0.4434 0.1791
1.4000 0.4501 0.1723
1.4200 0.4568 0.1679
1.4400 0.4634 0.1774
1.4600 0.4700 0.1717
1.4800 0.4766 0.1742
1.5000 0.4833 0.1746
1.5200 0.4900 0.1668
1.5400 0.4967 0.1724
1.5600 0.5034 0.1748
1.5800 0.5100 0.1673
1.6000 0.5167 0.1742
1.6200 0.5233 0.1733
1.6400 0.5299 0.1661
1.6600 0.5366 0.1755
1.6800 0.5433 0.1677
1.7000 0.5500 0.1690
1.7200 0.5567 0.1720
1.7400 0.5634 0.1637
1.7600 0.5701 0.1696
1.7800 0.5767 0.1776
1.8000 0.5834 0.1578
1.8200 0.5901 0.1674
1.8400 0.5967 0.1694
1.8600 0.6034 0.1591
1.8800 0.6101 0.1684
1.9000 0.6167 0.1718
1.9200 0.6234 0.1580
1.9400 0.6301 0.1659
1.9600 0.6368 0.1646
1.9800 0.6435 0.1553
2.0000 0.6500 0.1647
2.0200 0.6566 0.1681
2.0400 0.6633 0.1554
2.0600 0.6700 0.1631
2.0800 0.6768 0.1649
2.1000 0.6834 0.1558
2.1200 0.6901 0.1619
2.1400 0.6968 0.1573
2.1600 0.7034 0.1560
2.1800 0.7100 0.1625
2.2000 0.7167 0.1588
2.2200 0.7233 0.1568
2.2400 0.7300 0.1623
2.2600 0.7367 0.1571
2.2800 0.7434 0.1562
2.3000 0.7500 0.1621
2.3200 0.7567 0.1574
2.3400 0.7634 0.1536
2.3600 0.7700 0.1619
2.3800 0.7766 0.1550
2.4000 0.7833 0.1554
2.4200 0.7900 0.1591
2.4400 0.7967 0.1546
2.4600 0.8034 0.1540
2.4800 0.8101 0.1607
2.5000 0.8168 0.1526
2.5200 0.8234 0.1489
2.5400 0.8300 0.1589
2.5600 0.8367 0.1535
2.5800 0.8433 0.1570
2.6000 0.8500 0.1561
2.6200 0.8567 0.1532
2.6400 0.8634 0.1529
2.6600 0.8701 0.1561
2.6800 0.8768 0.1476
2.7000 0.8834 0.1549
2.7200 0.8900 0.1553
2.7400 0.8967 0.1513
2.7600 0.9034 0.1521
2.7800 0.9101 0.1570
2.8000 0.9168 0.1483
2.8200 0.9235 0.1589
2.8400 0.9301 0.1504
2.8600 0.9368 0.1496
2.8800 0.9434 0.1589
2.9000 0.9501 0.1498
2.9200 0.9567 0.1496
2.9400 0.9633 0.1582
2.9600 0.9700 0.1515
2.9800 0.9767 0.1476
3.0000 0.9834 0.1554
3.0200 0.9901 0.1525
3.0400 0.9968 0.1481
3.0600 1.0034 0.1508
3.0800 1.0100 0.1569
3.1000 1.0166 0.1465
3.1200 1.0232 0.1579
3.1400 1.0300 0.1544
3.1600 1.0367 0.1485
3.1800 1.0434 0.1544
3.2000 1.0501 0.1523
3.2200 1.0568 0.1480
3.2400 1.0634 0.1559
3.2600 1.0700 0.1523
3.2800 1.0767 0.1501
3.3000 1.0833 0.1559
3.3200 1.0900 0.1477
3.3400 1.0967 0.1517
3.3600 1.1034 0.1575
3.3800 1.1101 0.1476
3.4000 1.1168 0.1500
3.4200 1.1235 0.1556
3.4400 1.1301 0.1438
3.4600 1.1367 0.1542
3.4800 1.1433 0.1524
3.5000 1.1500 0.1432
3.5200 1.1567 0.1513
3.5400 1.1634 0.1548
3.5600 1.1701 0.1431
3.5800 1.1768 0.1525
3.6000 1.1834 0.1526
3.6200 1.1900 0.1449
3.6400 1.1966 0.1555
3.6600 1.2033 0.1474
3.6800 1.2100 0.1462
3.7000 1.2167 0.1555
3.7200 1.2234 0.1437
3.7400 1.2301 0.1471
3.7600 1.2367 0.1569
3.7800 1.2434 0.1396
3.8000 1.2501 0.1471
3.8200 1.2567 0.1520
3.8400 1.2633 0.1442
3.8600 1.2700 0.1499
3.8800 1.2767 0.1534
3.9000 1.2834 0.1395
3.9200 1.2900 0.1551
3.9400 1.2967 0.1467
3.9600 1.3034 0.1425
3.9800 1.3101 0.1551
4.0000 1.3167 0.1446
4.0200 1.3233 0.1455
4.0400 1.3300 0.1536
4.0600 1.3367 0.1399
4.0800 1.3434 0.1481
4.1000 1.3501 0.1504
4.1200 1.3568 0.1388
4.1400 1.3634 0.1525
4.1600 1.3701 0.1507
4.1800 1.3767 0.1389
4.2000 1.3833 0.1567
4.2200 1.3900 0.1486
4.2400 1.3968 0.1338
4.2600 1.4035 0.1605
4.2800 1.4101 0.1397
4.3000 1.4168 0.1424
4.3200 1.4235 0.1581
4.3400 1.4301 0.1351
4.3600 1.4367 0.1441
4.3800 1.4433 0.1622
4.4000 1.4500 0.1358
4.4200 1.4567 0.1474
4.4400 1.4634 0.1558
4.4600 1.4700 0.1384
4.4800 1.4767 0.1491
4.5000 1.4834 0.1541
4.5200 1.4901 0.1353
4.5400 1.4967 0.1562
4.5600 1.5033 0.1532
4.5800 1.5100 0.1371
4.6000 1.5167 0.1578
4.6200 1.5234 0.1469
4.6400 1.5301 0.1361
4.6600 1.5368 0.1572
4.6800 1.5434 0.1466
4.7000 1.5501 0.1333
4.7200 1.5567 0.1580
4.7400 1.5633 0.1479
4.7600 1.5700 0.1355
4.7800 1.5768 0.1559
4.8000 1.5835 0.1437
4.8200 1.5901 0.1392
4.8400 1.5968 0.1553
4.8600 1.6035 0.1418
4.8800 1.6101 0.1436
4.9000 1.6167 0.1492
4.9200 1.6233 0.1447
4.9400 1.6300 0.1425
4.9600 1.6367 0.1509
4.9800 1.6434 0.1464
5.0000 1.6501 0.1431
5.0200 1.6568 0.1511
5.0400 1.6635 0.1453
5.0600 1.6701 0.1418
5.0800 1.6767 0.1467
5.1000 1.6833 0.1457
5.1200 1.6900 0.1445
5.1400 1.6967 0.1462
5.1600 1.7034 0.1506
5.1800 1.7101 0.1416
5.2000 1.7168 0.1431
5.2200 1.7235 0.1498
5.2400 1.7301 0.1357
5.2600 1.7367 0.1459
5.2800 1.7433 0.1488
5.3000 1.7500 0.1431
5.3200 1.7567 0.1425
5.3400 1.7634 0.1493
5.3600 1.7701 0.1398
5.3800 1.7767 0.1475
5.4000 1.7834 0.1469
5.4200 1.7900 0.1352
5.4400 1.7967 0.1509
5.4600 1.8033 0.1432
5.4800 1.8100 0.1418
5.5000 1.8167 0.1467
5.5200 1.8234 0.1467
5.5400 1.8301 0.1413
5.5600 1.8368 0.1431
5.5800 1.8435 0.1438
5.6000 1.8501 0.1423
