Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0001 -0.7497
0.0200 0.0002 -0.7419
0.0400 0.0010 -0.7092
0.0600 0.0044 -0.6692
0.0800 0.0100 -0.6868
0.1000 0.0158 -0.6756
0.1200 0.0218 -0.6147
0.1400 0.0285 -0.5932
0.1600 0.0358 -0.5876
0.1800 0.0432 -0.5356
0.2000 0.0504 -0.5097
0.2200 0.0572 -0.4953
0.2400 0.0639 -0.4475
0.2600 0.0705 -0.4257
0.2800 0.0772 -0.4152
0.3000 0.0839 -0.3848
0.3200 0.0906 -0.3556
0.3400 0.0974 -0.3403
0.3600 0.1040 -0.3024
0.3800 0.1107 -0.2703
0.4000 0.1173 -0.2553
0.4200 0.1240 -0.2459
0.4400 0.1307 -0.2382
0.4600 0.1374 -0.2542
0.4800 0.1441 -0.2446
0.5000 0.1508 -0.2364
0.5200 0.1574 -0.2493
0.5400 0.1641 -0.2468
0.5600 0.1707 -0.2319
0.5800 0.1773 -0.2471
0.6000 0.1840 -0.2415
0.6200 0.1907 -0.2315
0.6400 0.1974 -0.2416
0.6600 0.2041 -0.2437
0.6800 0.2107 -0.2298
0.7000 0.2174 -0.2398
0.7200 0.2241 -0.2390
0.7400 0.2307 -0.2289
0.7600 0.2373 -0.2371
0.7800 0.2440 -0.2307
0.8000 0.2507 -0.2294
0.8200 0.2573 -0.2318
0.8400 0.2640 -0.2301
0.8600 0.2707 -0.2297
0.8800 0.2774 -0.2294
0.9000 0.2840 -0.2283
0.9200 0.2906 -0.2306
0.9400 0.2972 -0.2206
0.9600 0.3039 -0.2284
0.9800 0.3106 -0.2252
1.0000 0.3173 -0.2205
1.0200 0.3240 -0.2245
1.0400 0.3307 -0.2279
1.0600 0.3374 -0.2159
1.0800 0.3440 -0.2243
1.1000 0.3506 -0.2202
1.1200 0.3573 -0.2106
1.1400 0.3640 -0.2298
1.1600 0.3707 -0.2201
1.1800 0.3774 -0.2103
1.2000 0.3841 -0.2348
1.2200 0.3908 -0.2194
1.2400 0.3974 -0.2109
1.2600 0.4041 -0.2369
1.2800 0.4107 -0.2174
1.3000 0.4173 -0.2086
1.3200 0.4240 -0.2386
1.3400 0.4307 -0.2185
1.3600 0.4374 -0.2163
1.3800 0.4441 -0.2356
1.4000 0.4508 -0.2104
1.4200 0.4575 -0.2229
1.4400 0.4641 -0.2366
1.4600 0.4707 -0.2177
1.4800 0.4773 -0.2187
1.5000 0.4839 -0.2344
1.5200 0.4906 -0.2229
1.5400 0.4973 -0.2270
1.5600 0.5040 -0.2316
1.5800 0.5107 -0.2270
1.6000 0.5174 -0.2313
1.6200 0.5240 -0.2315
1.6400 0.5306 -0.2232
1.6600 0.5373 -0.2380
1.6800 0.5440 -0.2361
1.7000 0.5507 -0.2283
1.7200 0.5574 -0.2410
1.7400 0.5640 -0.2339
1.7600 0.5707 -0.2258
1.7800 0.5774 -0.2448
1.8000 0.5841 -0.2375
1.8200 0.5907 -0.2325
1.8400 0.5973 -0.2434
1.8600 0.6040 -0.2368
1.8800 0.6107 -0.2411
1.9000 0.6174 -0.2411
1.9200 0.6241 -0.2424
1.9400 0.6308 -0.2433
1.9600 0.6374 -0.2449
1.9800 0.6441 -0.2418
2.0000 0.6507 -0.2471
2.0200 0.6573 -0.2448
2.0400 0.6640 -0.2491
2.0600 0.6707 -0.2457
2.0800 0.6774 -0.2460
2.1000 0.6841 -0.2513
2.1200 0.6907 -0.2521
2.1400 0.6974 -0.2451
2.1600 0.7040 -0.2530
2.1800 0.7106 -0.2501
2.2000 0.7173 -0.2485
2.2200 0.7240 -0.2540
2.2400 0.7307 -0.2564
2.2600 0.7374 -0.2501
2.2800 0.7441 -0.2525
2.3000 0.7507 -0.2539
2.3200 0.7574 -0.2577
2.3400 0.7641 -0.2510
2.3600 0.7707 -0.2528
2.3800 0.7773 -0.2633
2.4000 0.7839 -0.2540
2.4200 0.7906 -0.2581
2.4400 0.7973 -0.2619
2.4600 0.8040 -0.2554
2.4800 0.8107 -0.2580
2.5000 0.8174 -0.2594
2.5200 0.8241 -0.2580
2.5400 0.8307 -0.2595
2.5600 0.8373 -0.2610
2.5800 0.8440 -0.2576
2.6000 0.8507 -0.2617
2.6200 0.8574 -0.2719
2.6400 0.8641 -0.2586
2.6600 0.8708 -0.2694
2.6800 0.8774 -0.2670
2.7000 0.8841 -0.2572
2.7200 0.8907 -0.2623
2.7400 0.8973 -0.2677
2.7600 0.9040 -0.2623
2.7800 0.9107 -0.2701
2.8000 0.9174 -0.2699
2.8200 0.9241 -0.2601
2.8400 0.9308 -0.2707
2.8600 0.9374 -0.2720
2.8800 0.9441 -0.2623
2.9000 0.9507 -0.2699
2.9200 0.9573 -0.2691
2.9400 0.9639 -0.2598
2.9600 0.9706 -0.2759
2.9800 0.9773 -0.2751
3.0000 0.9840 -0.2678
3.0200 0.9907 -0.2716
3.0400 0.9974 -0.2738
3.0600 1.0041 -0.2657
3.0800 1.0107 -0.2803
3.1000 1.0173 -0.2716
3.1200 1.0239 -0.2636
3.1400 1.0306 -0.2734
3.1600 1.0374 -0.2774
3.1800 1.0440 -0.2653
3.2000 1.0507 -0.2796
3.2200 1.0574 -0.2788
3.2400 1.0641 -0.2662
3.2600 1.0707 -0.2755
3.2800 1.0773 -0.2805
3.3000 1.0840 -0.2675
3.3200 1.0907 -0.2794
3.3400 1.0974 -0.2807
3.3600 1.1041 -0.2679
3.3800 1.1108 -0.2744
3.4000 1.1175 -0.2826
3.4200 1.1241 -0.2778
3.4400 1.1307 -0.2789
3.4600 1.1373 -0.2794
3.4800 1.1440 -0.2719
3.5000 1.1507 -0.2814
3.5200 1.1574 -0.2832
3.5400 1.1641 -0.2774
3.5600 1.1708 -0.2798
3.5800 1.1774 -0.2850
3.6000 1.1841 -0.2737
3.6200 1.1907 -0.2804
3.6400 1.1973 -0.2826
3.6600 1.2039 -0.2806
3.6800 1.2107 -0.2836
3.7000 1.2174 -0.2855
3.7200 1.2241 -0.2746
3.7400 1.2307 -0.2845
3.7600 1.2374 -0.2863
3.7800 1.2441 -0.2810
3.8000 1.2507 -0.2813
3.8200 1.2573 -0.2828
3.8400 1.2640 -0.2796
3.8600 1.2707 -0.2877
3.8800 1.2774 -0.2915
3.9000 1.2840 -0.2805
3.9200 1.2907 -0.2855
3.9400 1.2974 -0.2915
3.9600 1.3041 -0.2836
3.9800 1.3107 -0.2847
4.0000 1.3173 -0.2914
4.0200 1.3239 -0.2816
4.0400 1.3306 -0.2829
4.0600 1.3373 -0.2936
4.0800 1.3441 -0.2885
4.1000 1.3507 -0.2822
4.1200 1.3574 -0.3008
4.1400 1.3641 -0.2850
4.1600 1.3707 -0.2868
4.1800 1.3773 -0.2984
4.2000 1.3840 -0.2845
4.2200 1.3907 -0.2860
4.2400 1.3974 -0.2976
4.2600 1.4041 -0.2882
4.2800 1.4108 -0.2880
4.3000 1.4174 -0.2994
4.3200 1.4241 -0.2908
4.3400 1.4307 -0.2874
4.3600 1.4373 -0.3010
4.3800 1.4440 -0.2884
4.4000 1.4507 -0.2933
4.4200 1.4574 -0.2999
4.4400 1.4640 -0.2810
4.4600 1.4707 -0.2900
4.4800 1.4774 -0.3026
4.5000 1.4841 -0.2929
4.5200 1.4907 -0.2889
4.5400 1.4973 -0.3022
4.5600 1.5039 -0.2883
4.5800 1.5106 -0.2924
4.6000 1.5173 -0.3045
4.6200 1.5240 -0.2936
4.6400 1.5307 -0.2942
4.6600 1.5374 -0.2987
4.6800 1.5441 -0.2924
4.7000 1.5507 -0.2989
4.7200 1.5573 -0.3030
4.7400 1.5640 -0.2988
4.7600 1.5707 -0.2966
4.7800 1.5774 -0.3066
4.8000 1.5841 -0.3024
4.8200 1.5908 -0.3041
4.8400 1.5974 -0.3037
4.8600 1.6041 -0.2982
4.8800 1.6107 -0.2969
4.9000 1.6173 -0.3023
4.9200 1.6239 -0.3085
4.9400 1.6306 -0.3018
4.9600 1.6374 -0.3020
4.9800 1.6441 -0.3097
5.0000 1.6508 -0.2994
5.0200 1.6574 -0.3106
5.0400 1.6641 -0.3107
5.0600 1.6707 -0.2987
5.0800 1.6773 -0.3060
5.1000 1.6839 -0.3011
5.1200 1.6906 -0.3057
5.1400 1.6973 -0.3115
5.1600 1.7040 -0.3116
5.1800 1.7107 -0.3038
5.2000 1.7174 -0.3084
5.2200 1.7241 -0.3063
5.2400 1.7307 -0.3105
5.2600 1.7373 -0.3124
