Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.2076
0.0200 0.0000 -0.2100
0.0400 0.0008 -0.1477
0.0600 0.0039 -0.1316
0.0800 0.0094 -0.1614
0.1000 0.0151 -0.1533
0.1200 0.0210 -0.1293
0.1400 0.0276 -0.1169
0.1600 0.0350 -0.0981
0.1800 0.0424 -0.0863
0.2000 0.0496 -0.0635
0.2200 0.0565 -0.0362
0.2400 0.0632 -0.0198
0.2600 0.0699 0.0054
0.2800 0.0765 0.0371
0.3000 0.0832 0.0523
0.3200 0.0900 0.0863
0.3400 0.0967 0.1089
0.3600 0.1034 0.1214
0.3800 0.1100 0.1415
0.4000 0.1166 0.1564
0.4200 0.1233 0.1674
0.4400 0.1300 0.1907
0.4600 0.1367 0.2019
0.4800 0.1434 0.2149
0.5000 0.1501 0.2423
0.5200 0.1567 0.2384
0.5400 0.1634 0.2317
0.5600 0.1699 0.2497
0.5800 0.1766 0.2753
0.6000 0.1833 0.2935
0.6200 0.1900 0.3169
0.6400 0.1967 0.3137
0.6600 0.2034 0.3103
0.6800 0.2101 0.3154
0.7000 0.2167 0.3130
0.7200 0.2234 0.3086
0.7400 0.2300 0.3210
0.7600 0.2366 0.3188
0.7800 0.2433 0.3093
0.8000 0.2500 0.3226
0.8200 0.2567 0.3249
0.8400 0.2633 0.3167
0.8600 0.2700 0.3238
0.8800 0.2767 0.3226
0.9000 0.2833 0.3170
0.9200 0.2899 0.3269
0.9400 0.2965 0.3252
0.9600 0.3032 0.3185
0.9800 0.3099 0.3297
1.0000 0.3166 0.3285
1.0200 0.3233 0.3193
1.0400 0.3300 0.3341
1.0600 0.3367 0.3286
1.0800 0.3433 0.3288
1.1000 0.3499 0.3350
1.1200 0.3566 0.3287
1.1400 0.3633 0.3285
1.1600 0.3700 0.3393
1.1800 0.3767 0.3340
1.2000 0.3834 0.3366
1.2200 0.3901 0.3373
1.2400 0.3968 0.3344
1.2600 0.4034 0.3326
1.2800 0.4100 0.3396
1.3000 0.4167 0.3356
1.3200 0.4233 0.3358
1.3400 0.4300 0.3408
1.3600 0.4367 0.3346
1.3800 0.4434 0.3349
1.4000 0.4501 0.3378
1.4200 0.4567 0.3349
1.4400 0.4633 0.3349
1.4600 0.4699 0.3380
1.4800 0.4765 0.3395
1.5000 0.4832 0.3344
1.5200 0.4899 0.3378
1.5400 0.4966 0.3361
1.5600 0.5033 0.3325
1.5800 0.5100 0.3380
1.6000 0.5167 0.3358
1.6200 0.5233 0.3260
1.6400 0.5299 0.3335
1.6600 0.5366 0.3388
1.6800 0.5433 0.3271
1.7000 0.5500 0.3362
1.7200 0.5567 0.3318
1.7400 0.5634 0.3242
1.7600 0.5700 0.3304
1.7800 0.5767 0.3319
1.8000 0.5834 0.3238
1.8200 0.5900 0.3289
1.8400 0.5966 0.3223
1.8600 0.6033 0.3245
1.8800 0.6100 0.3242
1.9000 0.6167 0.3285
1.9200 0.6234 0.3235
1.9400 0.6301 0.3213
1.9600 0.6367 0.3222
1.9800 0.6434 0.3210
2.0000 0.6500 0.3162
2.0200 0.6566 0.3247
2.0400 0.6633 0.3219
2.0600 0.6700 0.3097
2.0800 0.6767 0.3171
2.1000 0.6834 0.3168
2.1200 0.6901 0.3100
2.1400 0.6967 0.3167
2.1600 0.7034 0.3150
2.1800 0.7100 0.3088
2.2000 0.7166 0.3202
2.2200 0.7233 0.3106
2.2400 0.7300 0.3090
2.2600 0.7367 0.3147
2.2800 0.7434 0.3082
2.3000 0.7500 0.3033
2.3200 0.7567 0.3170
2.3400 0.7634 0.3053
2.3600 0.7700 0.3039
2.3800 0.7766 0.3166
2.4000 0.7833 0.3071
2.4200 0.7900 0.2960
2.4400 0.7966 0.3155
2.4600 0.8033 0.3081
2.4800 0.8100 0.2978
2.5000 0.8167 0.3151
2.5200 0.8234 0.3053
2.5400 0.8300 0.2960
2.5600 0.8366 0.3160
2.5800 0.8433 0.3074
2.6000 0.8500 0.2938
2.6200 0.8567 0.3144
2.6400 0.8634 0.2985
2.6600 0.8701 0.2975
2.6800 0.8767 0.3130
2.7000 0.8834 0.2947
2.7200 0.8900 0.3002
2.7400 0.8966 0.3129
2.7600 0.9033 0.2985
2.7800 0.9100 0.2963
2.8000 0.9167 0.3063
2.8200 0.9234 0.3016
2.8400 0.9301 0.2904
2.8600 0.9367 0.3020
2.8800 0.9434 0.3018
2.9000 0.9500 0.3016
2.9200 0.9566 0.2971
2.9400 0.9632 0.2974
2.9600 0.9699 0.3046
2.9800 0.9767 0.2984
3.0000 0.9833 0.2957
3.0200 0.9900 0.2995
3.0400 0.9967 0.2953
3.0600 1.0034 0.3029
3.0800 1.0100 0.2992
3.1000 1.0165 0.2939
3.1200 1.0232 0.3028
3.1400 1.0299 0.2946
3.1600 1.0367 0.2928
3.1800 1.0434 0.2992
3.2000 1.0500 0.2979
3.2200 1.0567 0.2939
3.2400 1.0634 0.2975
3.2600 1.0700 0.2935
3.2800 1.0766 0.2943
3.3000 1.0833 0.3019
3.3200 1.0900 0.2961
3.3400 1.0967 0.2895
3.3600 1.1034 0.3066
3.3800 1.1101 0.2945
3.4000 1.1168 0.2856
3.4200 1.1235 0.3000
3.4400 1.1301 0.2941
3.4600 1.1367 0.2828
3.4800 1.1433 0.2989
3.5000 1.1500 0.2900
3.5200 1.1567 0.2901
3.5400 1.1634 0.3009
3.5600 1.1701 0.2879
3.5800 1.1767 0.2861
3.6000 1.1834 0.2985
3.6200 1.1900 0.2951
3.6400 1.1966 0.2881
3.6600 1.2032 0.2961
3.6800 1.2100 0.2851
3.7000 1.2167 0.2836
3.7200 1.2234 0.2953
3.7400 1.2300 0.2873
3.7600 1.2367 0.2888
3.7800 1.2434 0.2961
3.8000 1.2500 0.2797
3.8200 1.2566 0.2875
3.8400 1.2633 0.2968
3.8600 1.2700 0.2860
3.8800 1.2767 0.2823
3.9000 1.2833 0.2987
3.9200 1.2900 0.2824
3.9400 1.2967 0.2820
3.9600 1.3034 0.2939
3.9800 1.3100 0.2846
4.0000 1.3166 0.2860
4.0200 1.3232 0.2928
4.0400 1.3299 0.2791
4.0600 1.3367 0.2884
4.0800 1.3434 0.2948
4.1000 1.3501 0.2787
4.1200 1.3567 0.2853
4.1400 1.3634 0.2953
4.1600 1.3700 0.2763
4.1800 1.3766 0.2835
4.2000 1.3833 0.2915
4.2200 1.3900 0.2805
4.2400 1.3967 0.2886
4.2600 1.4034 0.2845
4.2800 1.4101 0.2778
4.3000 1.4168 0.2853
4.3200 1.4234 0.2838
4.3400 1.4300 0.2764
4.3600 1.4366 0.2878
4.3800 1.4433 0.2867
4.4000 1.4500 0.2785
4.4200 1.4567 0.2804
4.4400 1.4633 0.2826
4.4600 1.4700 0.2801
4.4800 1.4767 0.2866
4.5000 1.4834 0.2765
4.5200 1.4900 0.2822
4.5400 1.4966 0.2816
4.5600 1.5032 0.2799
4.5800 1.5099 0.2781
4.6000 1.5166 0.2828
4.6200 1.5233 0.2818
4.6400 1.5300 0.2753
4.6600 1.5367 0.2759
4.6800 1.5434 0.2829
4.7000 1.5500 0.2771
4.7200 1.5566 0.2750
4.7400 1.5633 0.2797
4.7600 1.5700 0.2794
4.7800 1.5767 0.2710
4.8000 1.5834 0.2773
4.8200 1.5901 0.2766
4.8400 1.5968 0.2735
4.8600 1.6034 0.2796
4.8800 1.6100 0.2733
4.9000 1.6166 0.2806
4.9200 1.6232 0.2746
4.9400 1.6299 0.2753
4.9600 1.6367 0.2747
4.9800 1.6434 0.2737
5.0000 1.6501 0.2708
5.0200 1.6568 0.2741
5.0400 1.6634 0.2713
5.0600 1.6700 0.2704
5.0800 1.6766 0.2706
5.1000 1.6832 0.2746
5.1200 1.6899 0.2696
5.1400 1.6966 0.2711
5.1600 1.7034 0.2705
5.1800 1.7100 0.2744
5.2000 1.7167 0.2667
5.2200 1.7234 0.2679
5.2400 1.7300 0.2698
5.2600 1.7366 0.2679
5.2800 1.7432 0.2751
5.3000 1.7499 0.2699
5.3200 1.7567 0.2663
5.3400 1.7634 0.2659
5.3600 1.7700 0.2681
5.3800 1.7767 0.2687
5.4000 1.7834 0.2690
5.4200 1.7900 0.2685
5.4400 1.7966 0.2676
5.4600 1.8033 0.2624
5.4800 1.8099 0.2727
5.5000 1.8167 0.2695
5.5200 1.8234 0.2633
5.5400 1.8301 0.2745
5.5600 1.8368 0.2727
5.5800 1.8435 0.2562
5.6000 1.8501 0.2763
