Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0001 -0.2016
0.0200 0.0001 -0.2042
0.0400 0.0008 -0.1559
0.0600 0.0041 -0.1219
0.0800 0.0096 -0.1756
0.1000 0.0154 -0.1758
0.1200 0.0213 -0.1057
0.1400 0.0279 -0.1171
0.1600 0.0352 -0.1123
0.1800 0.0426 -0.0785
0.2000 0.0498 -0.0893
0.2200 0.0566 -0.0750
0.2400 0.0633 -0.0454
0.2600 0.0700 -0.0525
0.2800 0.0767 -0.0480
0.3000 0.0834 -0.0154
0.3200 0.0901 -0.0347
0.3400 0.0968 -0.0177
0.3600 0.1035 0.0019
0.3800 0.1101 -0.0169
0.4000 0.1168 -0.0027
0.4200 0.1234 0.0102
0.4400 0.1301 -0.0044
0.4600 0.1368 0.0144
0.4800 0.1435 0.0147
0.5000 0.1502 0.0103
0.5200 0.1569 0.0258
0.5400 0.1635 0.0388
0.5600 0.1701 0.0250
0.5800 0.1767 0.0534
0.6000 0.1834 0.0516
0.6200 0.1902 0.0497
0.6400 0.1969 0.0754
0.6600 0.2035 0.0794
0.6800 0.2102 0.0846
0.7000 0.2169 0.0976
0.7200 0.2235 0.1084
0.7400 0.2301 0.1204
0.7600 0.2367 0.1438
0.7800 0.2434 0.1694
0.8000 0.2501 0.2036
0.8200 0.2568 0.2478
0.8400 0.2635 0.2820
0.8600 0.2702 0.3120
0.8800 0.2768 0.3469
0.9000 0.2835 0.3780
0.9200 0.2901 0.4208
0.9400 0.2967 0.4416
0.9600 0.3034 0.4745
0.9800 0.3101 0.4966
1.0000 0.3168 0.5048
1.0200 0.3235 0.5059
1.0400 0.3301 0.5081
1.0600 0.3368 0.5061
1.0800 0.3435 0.5108
1.1000 0.3501 0.5139
1.1200 0.3567 0.5110
1.1400 0.3634 0.5208
1.1600 0.3702 0.5185
1.1800 0.3769 0.5123
1.2000 0.3835 0.5245
1.2200 0.3902 0.5144
1.2400 0.3969 0.5216
1.2600 0.4035 0.5270
1.2800 0.4102 0.5167
1.3000 0.4168 0.5297
1.3200 0.4235 0.5265
1.3400 0.4302 0.5145
1.3600 0.4369 0.5256
1.3800 0.4435 0.5297
1.4000 0.4502 0.5200
1.4200 0.4569 0.5323
1.4400 0.4635 0.5280
1.4600 0.4701 0.5224
1.4800 0.4767 0.5336
1.5000 0.4834 0.5276
1.5200 0.4901 0.5215
1.5400 0.4968 0.5374
1.5600 0.5035 0.5229
1.5800 0.5102 0.5256
1.6000 0.5168 0.5336
1.6200 0.5235 0.5247
1.6400 0.5301 0.5283
1.6600 0.5367 0.5321
1.6800 0.5434 0.5195
1.7000 0.5501 0.5206
1.7200 0.5568 0.5311
1.7400 0.5635 0.5221
1.7600 0.5702 0.5202
1.7800 0.5768 0.5252
1.8000 0.5835 0.5197
1.8200 0.5901 0.5199
1.8400 0.5968 0.5236
1.8600 0.6034 0.5154
1.8800 0.6101 0.5220
1.9000 0.6168 0.5244
1.9200 0.6235 0.5114
1.9400 0.6302 0.5172
1.9600 0.6369 0.5266
1.9800 0.6435 0.5069
2.0000 0.6501 0.5198
2.0200 0.6568 0.5261
2.0400 0.6634 0.5122
2.0600 0.6701 0.5140
2.0800 0.6769 0.5196
2.1000 0.6835 0.5124
2.1200 0.6902 0.5162
2.1400 0.6969 0.5145
2.1600 0.7035 0.5107
2.1800 0.7101 0.5098
2.2000 0.7167 0.5197
2.2200 0.7234 0.5148
2.2400 0.7301 0.5080
2.2600 0.7369 0.5136
2.2800 0.7435 0.5154
2.3000 0.7502 0.5087
2.3200 0.7568 0.5138
2.3400 0.7635 0.5123
2.3600 0.7701 0.5069
2.3800 0.7767 0.5186
2.4000 0.7834 0.5091
2.4200 0.7901 0.5076
2.4400 0.7968 0.5165
2.4600 0.8035 0.5096
2.4800 0.8102 0.5087
2.5000 0.8169 0.5172
2.5200 0.8235 0.5082
2.5400 0.8301 0.5129
2.5600 0.8367 0.5128
2.5800 0.8434 0.5124
2.6000 0.8501 0.5107
2.6200 0.8569 0.5113
2.6400 0.8636 0.5083
2.6600 0.8702 0.5160
2.6800 0.8769 0.5146
2.7000 0.8835 0.5070
2.7200 0.8901 0.5111
2.7400 0.8968 0.5158
2.7600 0.9034 0.5093
2.7800 0.9102 0.5074
2.8000 0.9169 0.5104
2.8200 0.9235 0.5170
2.8400 0.9302 0.5067
2.8600 0.9369 0.5137
2.8800 0.9435 0.5151
2.9000 0.9501 0.4982
2.9200 0.9567 0.5170
2.9400 0.9634 0.5150
2.9600 0.9701 0.5097
2.9800 0.9768 0.5091
3.0000 0.9835 0.5098
3.0200 0.9902 0.5044
3.0400 0.9969 0.5084
3.0600 1.0035 0.5172
3.0800 1.0101 0.5095
3.1000 1.0167 0.5057
3.1200 1.0233 0.5152
3.1400 1.0301 0.5079
3.1600 1.0368 0.5096
3.1800 1.0435 0.5087
3.2000 1.0502 0.5101
3.2200 1.0569 0.5035
3.2400 1.0635 0.5060
3.2600 1.0701 0.5062
3.2800 1.0767 0.5140
3.3000 1.0834 0.5078
3.3200 1.0901 0.5036
3.3400 1.0968 0.5073
3.3600 1.1035 0.5095
3.3800 1.1102 0.5040
3.4000 1.1169 0.5091
3.4200 1.1236 0.5125
3.4400 1.1302 0.4990
3.4600 1.1368 0.5096
3.4800 1.1434 0.5156
3.5000 1.1501 0.5009
3.5200 1.1568 0.5076
3.5400 1.1635 0.5140
3.5600 1.1702 0.4971
3.5800 1.1769 0.5081
3.6000 1.1835 0.5071
3.6200 1.1901 0.5040
3.6400 1.1967 0.5081
3.6600 1.2034 0.5050
3.6800 1.2101 0.5034
3.7000 1.2168 0.5117
3.7200 1.2235 0.4991
3.7400 1.2302 0.5015
3.7600 1.2368 0.5144
3.7800 1.2435 0.5012
3.8000 1.2501 0.4956
3.8200 1.2568 0.5165
3.8400 1.2634 0.4992
3.8600 1.2701 0.4939
3.8800 1.2768 0.5159
3.9000 1.2835 0.5108
3.9200 1.2901 0.4974
3.9400 1.2968 0.5045
3.9600 1.3035 0.5002
3.9800 1.3102 0.5016
4.0000 1.3168 0.5098
4.0200 1.3234 0.4953
4.0400 1.3301 0.5062
4.0600 1.3368 0.5124
4.0800 1.3435 0.4965
4.1000 1.3502 0.5062
4.1200 1.3569 0.5098
4.1400 1.3635 0.4969
4.1600 1.3701 0.5087
4.1800 1.3768 0.5022
4.2000 1.3834 0.4961
4.2200 1.3901 0.5123
4.2400 1.3969 0.5057
4.2600 1.4036 0.4916
4.2800 1.4102 0.5108
4.3000 1.4169 0.5052
4.3200 1.4236 0.4993
4.3400 1.4302 0.5036
4.3600 1.4368 0.4999
4.3800 1.4434 0.5028
4.4000 1.4501 0.5136
4.4200 1.4568 0.4962
4.4400 1.4635 0.4974
4.4600 1.4701 0.5162
4.4800 1.4768 0.4943
4.5000 1.4835 0.4993
4.5200 1.4902 0.5112
4.5400 1.4968 0.4960
4.5600 1.5034 0.5030
4.5800 1.5101 0.5127
4.6000 1.5168 0.4958
4.6200 1.5235 0.5005
4.6400 1.5302 0.5109
4.6600 1.5369 0.4951
4.6800 1.5435 0.4944
4.7000 1.5502 0.5092
4.7200 1.5568 0.4921
4.7400 1.5634 0.5006
4.7600 1.5701 0.5129
4.7800 1.5769 0.4986
4.8000 1.5836 0.4974
4.8200 1.5903 0.5091
4.8400 1.5969 0.4946
4.8600 1.6036 0.5011
4.8800 1.6102 0.5075
4.9000 1.6168 0.4955
4.9200 1.6234 0.5030
4.9400 1.6301 0.5062
4.9600 1.6368 0.4912
4.9800 1.6435 0.5047
5.0000 1.6502 0.5025
5.0200 1.6569 0.4937
5.0400 1.6636 0.5079
5.0600 1.6702 0.4954
5.0800 1.6768 0.4926
5.1000 1.6834 0.5036
5.1200 1.6901 0.5036
5.1400 1.6968 0.4906
5.1600 1.7035 0.5036
5.1800 1.7102 0.5015
5.2000 1.7169 0.4880
5.2200 1.7236 0.5043
5.2400 1.7302 0.5096
5.2600 1.7368 0.4838
5.2800 1.7434 0.5045
5.3000 1.7501 0.5004
5.3200 1.7568 0.4830
5.3400 1.7635 0.5038
5.3600 1.7701 0.5019
5.3800 1.7768 0.4837
5.4000 1.7835 0.5076
5.4200 1.7901 0.4991
5.4400 1.7968 0.4807
5.4600 1.8034 0.5080
5.4800 1.8101 0.4972
5.5000 1.8168 0.4833
5.5200 1.8235 0.5010
5.5400 1.8302 0.4947
5.5600 1.8369 0.4872
5.5800 1.8436 0.5014
5.6000 1.8502 0.4883
