Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -1.3883
0.0200 0.0000 -1.3718
0.0400 0.0008 -1.3278
0.0600 0.0040 -1.2833
0.0800 0.0095 -1.3722
0.1000 0.0153 -1.3937
0.1200 0.0211 -1.3477
0.1400 0.0277 -1.3163
0.1600 0.0351 -1.2917
0.1800 0.0425 -1.2664
0.2000 0.0497 -1.2382
0.2200 0.0565 -1.2109
0.2400 0.0632 -1.1734
0.2600 0.0699 -1.1465
0.2800 0.0766 -1.1298
0.3000 0.0833 -1.0917
0.3200 0.0900 -1.0668
0.3400 0.0967 -1.0491
0.3600 0.1034 -1.0262
0.3800 0.1100 -0.9979
0.4000 0.1167 -0.9780
0.4200 0.1233 -0.9487
0.4400 0.1301 -0.9197
0.4600 0.1367 -0.9014
0.4800 0.1434 -0.8709
0.5000 0.1501 -0.8338
0.5200 0.1568 -0.8223
0.5400 0.1634 -0.7846
0.5600 0.1700 -0.7521
0.5800 0.1766 -0.7344
0.6000 0.1833 -0.7060
0.6200 0.1901 -0.6781
0.6400 0.1968 -0.6541
0.6600 0.2034 -0.6219
0.6800 0.2101 -0.5971
0.7000 0.2168 -0.5691
0.7200 0.2234 -0.5348
0.7400 0.2300 -0.5078
0.7600 0.2367 -0.4886
0.7800 0.2433 -0.4652
0.8000 0.2500 -0.4410
0.8200 0.2567 -0.4167
0.8400 0.2634 -0.3921
0.8600 0.2701 -0.3755
0.8800 0.2767 -0.3590
0.9000 0.2834 -0.3386
0.9200 0.2900 -0.3055
0.9400 0.2966 -0.2909
0.9600 0.3033 -0.2735
0.9800 0.3100 -0.2396
1.0000 0.3167 -0.2184
1.0200 0.3234 -0.1914
1.0400 0.3300 -0.1438
1.0600 0.3367 -0.1333
1.0800 0.3433 -0.1276
1.1000 0.3500 -0.1072
1.1200 0.3566 -0.0964
1.1400 0.3633 -0.0897
1.1600 0.3700 -0.0736
1.1800 0.3767 -0.0672
1.2000 0.3834 -0.0669
1.2200 0.3901 -0.0530
1.2400 0.3968 -0.0424
1.2600 0.4034 -0.0344
1.2800 0.4101 -0.0214
1.3000 0.4167 -0.0092
1.3200 0.4234 -0.0434
1.3400 0.4301 -0.0536
1.3600 0.4368 -0.0280
1.3800 0.4434 0.0136
1.4000 0.4501 0.0506
1.4200 0.4568 0.0887
1.4400 0.4634 0.1156
1.4600 0.4700 0.1563
1.4800 0.4766 0.1770
1.5000 0.4833 0.1797
1.5200 0.4900 0.1836
1.5400 0.4967 0.1883
1.5600 0.5034 0.1847
1.5800 0.5100 0.1878
1.6000 0.5167 0.1904
1.6200 0.5234 0.1900
1.6400 0.5300 0.1945
1.6600 0.5366 0.1915
1.6800 0.5433 0.1884
1.7000 0.5500 0.1969
1.7200 0.5567 0.1907
1.7400 0.5634 0.1852
1.7600 0.5700 0.2004
1.7800 0.5767 0.1953
1.8000 0.5834 0.1848
1.8200 0.5900 0.1914
1.8400 0.5967 0.1961
1.8600 0.6033 0.1837
1.8800 0.6100 0.1889
1.9000 0.6167 0.1936
1.9200 0.6234 0.1844
1.9400 0.6301 0.1890
1.9600 0.6368 0.1918
1.9800 0.6434 0.1768
2.0000 0.6500 0.1895
2.0200 0.6566 0.1876
2.0400 0.6633 0.1764
2.0600 0.6700 0.1780
2.0800 0.6768 0.1809
2.1000 0.6834 0.1734
2.1200 0.6901 0.1771
2.1400 0.6967 0.1788
2.1600 0.7034 0.1679
2.1800 0.7100 0.1699
2.2000 0.7166 0.1773
2.2200 0.7233 0.1609
2.2400 0.7300 0.1666
2.2600 0.7367 0.1714
2.2800 0.7434 0.1556
2.3000 0.7501 0.1561
2.3200 0.7567 0.1664
2.3400 0.7634 0.1505
2.3600 0.7700 0.1486
2.3800 0.7766 0.1619
2.4000 0.7833 0.1461
2.4200 0.7900 0.1461
2.4400 0.7967 0.1545
2.4600 0.8034 0.1399
2.4800 0.8100 0.1471
2.5000 0.8168 0.1548
2.5200 0.8234 0.1299
2.5400 0.8301 0.1433
2.5600 0.8367 0.1496
2.5800 0.8433 0.1326
2.6000 0.8500 0.1365
2.6200 0.8568 0.1439
2.6400 0.8635 0.1276
2.6600 0.8701 0.1385
2.6800 0.8768 0.1351
2.7000 0.8834 0.1220
2.7200 0.8900 0.1372
2.7400 0.8967 0.1334
2.7600 0.9033 0.1230
2.7800 0.9101 0.1340
2.8000 0.9168 0.1285
2.8200 0.9234 0.1187
2.8400 0.9301 0.1295
2.8600 0.9368 0.1236
2.8800 0.9434 0.1199
2.9000 0.9501 0.1265
2.9200 0.9566 0.1249
2.9400 0.9633 0.1189
2.9600 0.9700 0.1237
2.9800 0.9767 0.1192
3.0000 0.9834 0.1171
3.0200 0.9901 0.1151
3.0400 0.9968 0.1241
3.0600 1.0034 0.1131
3.0800 1.0100 0.1162
3.1000 1.0166 0.1202
3.1200 1.0232 0.1156
3.1400 1.0300 0.1120
3.1600 1.0367 0.1158
3.1800 1.0434 0.1088
3.2000 1.0500 0.1126
3.2200 1.0567 0.1118
3.2400 1.0634 0.1064
3.2600 1.0700 0.1085
3.2800 1.0767 0.1097
3.3000 1.0833 0.1078
3.3200 1.0900 0.1031
3.3400 1.0967 0.1063
3.3600 1.1034 0.1043
3.3800 1.1101 0.1047
3.4000 1.1168 0.1041
3.4200 1.1235 0.0991
3.4400 1.1301 0.1009
3.4600 1.1367 0.1057
3.4800 1.1433 0.0977
3.5000 1.1500 0.1002
3.5200 1.1567 0.0993
3.5400 1.1634 0.0973
3.5600 1.1701 0.0909
3.5800 1.1768 0.0993
3.6000 1.1834 0.0916
3.6200 1.1900 0.0915
3.6400 1.1966 0.0966
3.6600 1.2033 0.0931
3.6800 1.2100 0.0889
3.7000 1.2167 0.0956
3.7200 1.2234 0.0873
3.7400 1.2301 0.0824
3.7600 1.2367 0.0969
3.7800 1.2434 0.0870
3.8000 1.2500 0.0795
3.8200 1.2566 0.0932
3.8400 1.2633 0.0876
3.8600 1.2700 0.0789
3.8800 1.2767 0.0908
3.9000 1.2834 0.0817
3.9200 1.2900 0.0798
3.9400 1.2967 0.0863
3.9600 1.3034 0.0790
3.9800 1.3101 0.0775
4.0000 1.3167 0.0857
4.0200 1.3233 0.0785
4.0400 1.3300 0.0768
4.0600 1.3367 0.0818
4.0800 1.3434 0.0792
4.1000 1.3501 0.0724
4.1200 1.3568 0.0817
4.1400 1.3634 0.0719
4.1600 1.3701 0.0728
4.1800 1.3767 0.0753
4.2000 1.3833 0.0725
4.2200 1.3900 0.0715
4.2400 1.3967 0.0757
4.2600 1.4034 0.0730
4.2800 1.4101 0.0675
4.3000 1.4168 0.0761
4.3200 1.4235 0.0675
4.3400 1.4301 0.0663
4.3600 1.4367 0.0748
4.3800 1.4433 0.0690
4.4000 1.4500 0.0614
4.4200 1.4567 0.0699
4.4400 1.4634 0.0652
4.4600 1.4700 0.0580
4.4800 1.4767 0.0676
4.5000 1.4834 0.0647
4.5200 1.4900 0.0574
4.5400 1.4966 0.0667
4.5600 1.5033 0.0620
4.5800 1.5100 0.0566
4.6000 1.5167 0.0593
4.6200 1.5234 0.0633
4.6400 1.5301 0.0561
4.6600 1.5367 0.0622
4.6800 1.5434 0.0605
4.7000 1.5500 0.0555
4.7200 1.5567 0.0617
4.7400 1.5633 0.0571
4.7600 1.5700 0.0561
4.7800 1.5768 0.0588
4.8000 1.5835 0.0517
4.8200 1.5901 0.0567
4.8400 1.5968 0.0535
4.8600 1.6035 0.0520
4.8800 1.6101 0.0541
4.9000 1.6167 0.0513
4.9200 1.6233 0.0515
4.9400 1.6300 0.0516
4.9600 1.6367 0.0471
4.9800 1.6434 0.0477
5.0000 1.6501 0.0592
5.0200 1.6568 0.0412
5.0400 1.6634 0.0441
5.0600 1.6701 0.0491
5.0800 1.6767 0.0427
5.1000 1.6833 0.0479
5.1200 1.6900 0.0525
5.1400 1.6967 0.0323
5.1600 1.7034 0.0463
5.1800 1.7101 0.0502
5.2000 1.7168 0.0256
5.2200 1.7235 0.0460
5.2400 1.7301 0.0459
5.2600 1.7366 0.0243
5.2800 1.7433 0.0466
5.3000 1.7500 0.0380
5.3200 1.7567 0.0280
5.3400 1.7634 0.0513
5.3600 1.7700 0.0313
5.3800 1.7767 0.0214
5.4000 1.7834 0.0496
5.4200 1.7900 0.0267
5.4400 1.7967 0.0201
5.4600 1.8033 0.0487
5.4800 1.8100 0.0245
5.5000 1.8167 0.0222
5.5200 1.8234 0.0407
