Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0003
0.0200 0.0000 0.0072
0.0400 0.0008 0.0260
0.0600 0.0040 0.0428
0.0800 0.0096 0.0083
0.1000 0.0154 -0.0193
0.1200 0.0213 0.0169
0.1400 0.0278 0.0231
0.1600 0.0351 -0.0178
0.1800 0.0425 0.0037
0.2000 0.0498 0.0039
0.2200 0.0567 -0.0194
0.2400 0.0634 0.0094
0.2600 0.0701 0.0046
0.2800 0.0768 -0.0184
0.3000 0.0834 0.0173
0.3200 0.0901 0.0021
0.3400 0.0968 -0.0144
0.3600 0.1034 0.0141
0.3800 0.1101 -0.0033
0.4000 0.1168 -0.0130
0.4200 0.1235 0.0141
0.4400 0.1302 -0.0024
0.4600 0.1369 -0.0126
0.4800 0.1435 0.0094
0.5000 0.1501 -0.0031
0.5200 0.1567 -0.0011
0.5400 0.1634 0.0106
0.5600 0.1701 -0.0056
0.5800 0.1768 -0.0037
0.6000 0.1835 0.0058
0.6200 0.1902 0.0002
0.6400 0.1968 0.0026
0.6600 0.2035 -0.0037
0.6800 0.2101 0.0000
0.7000 0.2167 0.0017
0.7200 0.2234 0.0014
0.7400 0.2301 -0.0058
0.7600 0.2368 -0.0011
0.7800 0.2435 0.0003
0.8000 0.2502 0.0017
0.8200 0.2569 -0.0016
0.8400 0.2635 -0.0028
0.8600 0.2702 0.0057
0.8800 0.2768 -0.0044
0.9000 0.2834 -0.0056
0.9200 0.2901 0.0121
0.9400 0.2968 -0.0027
0.9600 0.3035 -0.0039
0.9800 0.3102 0.0032
1.0000 0.3169 -0.0045
1.0200 0.3235 0.0041
1.0400 0.3301 0.0045
1.0600 0.3367 -0.0096
1.0800 0.3434 0.0069
1.1000 0.3501 0.0057
1.1200 0.3568 -0.0112
1.1400 0.3635 0.0102
1.1600 0.3702 0.0061
1.1800 0.3769 -0.0095
1.2000 0.3835 0.0089
1.2200 0.3901 0.0040
1.2400 0.3967 -0.0099
1.2600 0.4034 0.0160
1.2800 0.4101 -0.0004
1.3000 0.4168 -0.0117
1.3200 0.4234 0.0132
1.3400 0.4301 0.0017
1.3600 0.4368 -0.0094
1.3800 0.4435 0.0086
1.4000 0.4502 0.0006
1.4200 0.4568 -0.0029
1.4400 0.4634 0.0089
1.4600 0.4701 0.0002
1.4800 0.4768 -0.0028
1.5000 0.4835 0.0081
1.5200 0.4902 0.0005
1.5400 0.4969 0.0022
1.5600 0.5036 -0.0003
1.5800 0.5102 0.0028
1.6000 0.5168 0.0053
1.6200 0.5234 0.0006
1.6400 0.5301 0.0018
1.6600 0.5369 0.0021
1.6800 0.5435 0.0033
1.7000 0.5502 0.0032
1.7200 0.5569 0.0026
1.7400 0.5635 -0.0042
1.7600 0.5701 0.0087
1.7800 0.5768 0.0033
1.8000 0.5834 0.0003
1.8200 0.5901 0.0096
1.8400 0.5968 -0.0020
1.8600 0.6035 -0.0048
1.8800 0.6101 0.0183
1.9000 0.6168 -0.0019
1.9200 0.6235 -0.0040
1.9400 0.6301 0.0104
1.9600 0.6367 -0.0021
1.9800 0.6434 0.0053
2.0000 0.6501 0.0161
2.0200 0.6568 -0.0045
2.0400 0.6635 -0.0018
2.0600 0.6702 0.0178
2.0800 0.6769 0.0013
2.1000 0.6835 0.0025
2.1200 0.6901 0.0177
2.1400 0.6967 0.0000
2.1600 0.7034 0.0030
2.1800 0.7101 0.0165
2.2000 0.7168 0.0004
2.2200 0.7235 0.0092
2.2400 0.7302 0.0138
2.2600 0.7369 0.0003
2.2800 0.7436 0.0069
2.3000 0.7502 0.0238
2.3200 0.7568 -0.0008
2.3400 0.7634 0.0099
2.3600 0.7701 0.0245
2.3800 0.7768 0.0020
2.4000 0.7835 0.0056
2.4200 0.7902 0.0294
2.4400 0.7969 0.0023
2.4600 0.8036 0.0067
2.4800 0.8102 0.0266
2.5000 0.8168 0.0067
2.5200 0.8234 0.0079
2.5400 0.8301 0.0294
2.5600 0.8368 0.0061
2.5800 0.8435 0.0091
2.6000 0.8502 0.0285
2.6200 0.8569 0.0145
2.6400 0.8635 0.0118
2.6600 0.8701 0.0175
2.6800 0.8767 0.0148
2.7000 0.8834 0.0215
2.7200 0.8901 0.0217
2.7400 0.8968 0.0125
2.7600 0.9034 0.0173
2.7800 0.9101 0.0281
2.8000 0.9168 0.0198
2.8200 0.9235 0.0153
2.8400 0.9301 0.0311
2.8600 0.9368 0.0143
2.8800 0.9434 0.0182
2.9000 0.9501 0.0330
2.9200 0.9568 0.0229
2.9400 0.9635 0.0149
2.9600 0.9702 0.0288
2.9800 0.9769 0.0270
3.0000 0.9836 0.0180
3.0200 0.9902 0.0374
3.0400 0.9968 0.0242
3.0600 1.0034 0.0160
3.0800 1.0101 0.0382
3.1000 1.0168 0.0260
3.1200 1.0235 0.0259
3.1400 1.0302 0.0448
3.1600 1.0369 0.0257
3.1800 1.0436 0.0226
3.2000 1.0502 0.0404
3.2200 1.0568 0.0348
3.2400 1.0634 0.0312
3.2600 1.0701 0.0426
3.2800 1.0768 0.0270
3.3000 1.0835 0.0324
3.3200 1.0902 0.0387
3.3400 1.0969 0.0338
3.3600 1.1035 0.0351
3.3800 1.1102 0.0404
3.4000 1.1168 0.0346
3.4200 1.1234 0.0402
3.4400 1.1301 0.0431
3.4600 1.1368 0.0406
3.4800 1.1435 0.0353
3.5000 1.1501 0.0435
3.5200 1.1568 0.0388
3.5400 1.1635 0.0413
3.5600 1.1701 0.0438
3.5800 1.1768 0.0421
3.6000 1.1834 0.0434
3.6200 1.1901 0.0508
3.6400 1.1968 0.0425
3.6600 1.2035 0.0443
3.6800 1.2102 0.0520
3.7000 1.2169 0.0428
3.7200 1.2236 0.0461
3.7400 1.2302 0.0516
3.7600 1.2368 0.0486
3.7800 1.2434 0.0495
3.8000 1.2501 0.0488
3.8200 1.2568 0.0439
3.8400 1.2636 0.0560
3.8600 1.2702 0.0492
3.8800 1.2769 0.0489
3.9000 1.2836 0.0541
3.9200 1.2902 0.0488
3.9400 1.2968 0.0504
3.9600 1.3034 0.0586
3.9800 1.3101 0.0508
4.0000 1.3168 0.0595
4.0200 1.3235 0.0538
4.0400 1.3301 0.0503
4.0600 1.3368 0.0621
4.0800 1.3435 0.0585
4.1000 1.3502 0.0471
4.1200 1.3568 0.0649
4.1400 1.3634 0.0545
4.1600 1.3701 0.0585
4.1800 1.3768 0.0675
4.2000 1.3835 0.0545
4.2200 1.3902 0.0569
4.2400 1.3968 0.0668
4.2600 1.4035 0.0558
4.2800 1.4102 0.0620
4.3000 1.4168 0.0684
4.3200 1.4234 0.0581
4.3400 1.4301 0.0583
4.3600 1.4368 0.0644
4.3800 1.4435 0.0673
4.4000 1.4502 0.0595
4.4200 1.4569 0.0669
4.4400 1.4636 0.0677
4.4600 1.4702 0.0664
4.4800 1.4768 0.0666
4.5000 1.4834 0.0699
4.5200 1.4901 0.0676
4.5400 1.4968 0.0668
4.5600 1.5035 0.0664
4.5800 1.5102 0.0652
4.6000 1.5169 0.0722
4.6200 1.5236 0.0745
4.6400 1.5302 0.0669
4.6600 1.5368 0.0767
4.6800 1.5434 0.0725
4.7000 1.5501 0.0655
4.7200 1.5568 0.0777
4.7400 1.5635 0.0743
4.7600 1.5702 0.0702
4.7800 1.5769 0.0756
4.8000 1.5835 0.0785
4.8200 1.5902 0.0713
4.8400 1.5968 0.0748
4.8600 1.6034 0.0804
4.8800 1.6101 0.0742
4.9000 1.6168 0.0780
4.9200 1.6234 0.0850
4.9400 1.6301 0.0761
4.9600 1.6368 0.0759
4.9800 1.6435 0.0796
5.0000 1.6502 0.0772
5.0200 1.6568 0.0786
5.0400 1.6634 0.0856
5.0600 1.6701 0.0775
5.0800 1.6768 0.0809
5.1000 1.6835 0.0863
5.1200 1.6902 0.0789
5.1400 1.6969 0.0865
5.1600 1.7036 0.0916
5.1800 1.7103 0.0722
5.2000 1.7168 0.0854
5.2200 1.7235 0.0912
5.2400 1.7301 0.0755
5.2600 1.7368 0.0877
5.2800 1.7435 0.0917
5.3000 1.7502 0.0768
5.3200 1.7569 0.0872
5.3400 1.7636 0.0934
5.3600 1.7702 0.0793
5.3800 1.7768 0.0896
5.4000 1.7834 0.0962
5.4200 1.7901 0.0783
5.4400 1.7968 0.0936
5.4600 1.8035 0.1015
5.4800 1.8101 0.0753
5.5000 1.8168 0.0975
5.5200 1.8235 0.0954
5.5400 1.8302 0.0814
5.5600 1.8368 0.0987
