Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.1078
0.0200 0.0001 0.1230
0.0400 0.0022 0.1834
0.0600 0.0101 0.1788
0.0800 0.0221 0.1014
0.1000 0.0346 0.0995
0.1200 0.0473 0.1376
0.1400 0.0607 0.1155
0.1600 0.0747 0.1005
0.1800 0.0889 0.1230
0.2000 0.1028 0.0997
0.2200 0.1164 0.1032
0.2400 0.1297 0.1192
0.2600 0.1430 0.1048
0.2800 0.1563 0.1079
0.3000 0.1697 0.1192
0.3200 0.1831 0.1039
0.3400 0.1965 0.1084
0.3600 0.2098 0.1171
0.3800 0.2231 0.1070
0.4000 0.2365 0.1052
0.4200 0.2498 0.1164
0.4400 0.2631 0.1075
0.4600 0.2764 0.1034
0.4800 0.2898 0.1137
0.5000 0.3031 0.1045
0.5200 0.3164 0.0970
0.5400 0.3298 0.1089
0.5600 0.3431 0.1034
0.5800 0.3565 0.0953
0.6000 0.3698 0.1087
0.6200 0.3831 0.0956
0.6400 0.3965 0.0953
0.6600 0.4098 0.1024
0.6800 0.4232 0.0973
0.7000 0.4365 0.0849
0.7200 0.4498 0.0960
0.7400 0.4632 0.0885
0.7600 0.4765 0.0903
0.7800 0.4898 0.0940
0.8000 0.5031 0.0895
0.8200 0.5165 0.0887
0.8400 0.5298 0.0884
0.8600 0.5431 0.0838
0.8800 0.5564 0.0881
0.9000 0.5697 0.0905
0.9200 0.5830 0.0814
0.9400 0.5964 0.0838
0.9600 0.6098 0.0843
0.9800 0.6231 0.0814
1.0000 0.6364 0.0796
1.0200 0.6498 0.0799
1.0400 0.6632 0.0760
1.0600 0.6765 0.0712
1.0800 0.6898 0.0747
1.1000 0.7032 0.0769
1.1200 0.7165 0.0667
1.1400 0.7298 0.0768
1.1600 0.7431 0.0718
1.1800 0.7564 0.0641
1.2000 0.7698 0.0747
1.2200 0.7831 0.0666
1.2400 0.7965 0.0573
1.2600 0.8098 0.0750
1.2800 0.8231 0.0650
1.3000 0.8364 0.0606
1.3200 0.8498 0.0658
1.3400 0.8631 0.0660
1.3600 0.8764 0.0577
1.3800 0.8898 0.0669
1.4000 0.9032 0.0625
1.4200 0.9165 0.0603
1.4400 0.9298 0.0627
1.4600 0.9432 0.0599
1.4800 0.9565 0.0546
1.5000 0.9699 0.0573
1.5200 0.9832 0.0592
1.5400 0.9965 0.0518
1.5600 1.0098 0.0520
1.5800 1.0231 0.0548
1.6000 1.0364 0.0497
1.6200 1.0497 0.0507
1.6400 1.0631 0.0562
1.6600 1.0764 0.0402
1.6800 1.0898 0.0492
1.7000 1.1031 0.0540
1.7200 1.1165 0.0444
1.7400 1.1298 0.0445
1.7600 1.1432 0.0544
1.7800 1.1565 0.0390
1.8000 1.1698 0.0444
1.8200 1.1831 0.0487
1.8400 1.1965 0.0366
1.8600 1.2099 0.0430
1.8800 1.2232 0.0471
1.9000 1.2365 0.0331
1.9200 1.2498 0.0451
1.9400 1.2631 0.0420
1.9600 1.2765 0.0317
1.9800 1.2898 0.0379
2.0000 1.3031 0.0422
2.0200 1.3164 0.0299
2.0400 1.3298 0.0351
2.0600 1.3431 0.0362
2.0800 1.3565 0.0334
2.1000 1.3698 0.0304
2.1200 1.3832 0.0355
2.1400 1.3965 0.0302
2.1600 1.4098 0.0310
2.1800 1.4232 0.0339
2.2000 1.4365 0.0290
2.2200 1.4498 0.0326
2.2400 1.4631 0.0316
2.2600 1.4764 0.0307
2.2800 1.4897 0.0237
2.3000 1.5031 0.0333
2.3200 1.5164 0.0261
2.3400 1.5297 0.0175
2.3600 1.5431 0.0252
2.3800 1.5565 0.0233
2.4000 1.5698 0.0157
2.4200 1.5832 0.0211
2.4400 1.5965 0.0211
2.4600 1.6098 0.0134
2.4800 1.6232 0.0151
2.5000 1.6365 0.0169
2.5200 1.6498 0.0112
2.5400 1.6631 0.0200
2.5600 1.6765 0.0149
2.5800 1.6898 0.0063
2.6000 1.7032 0.0182
2.6200 1.7165 0.0156
2.6400 1.7298 0.0026
2.6600 1.7432 0.0092
2.6800 1.7565 0.0135
2.7000 1.7698 0.0053
2.7200 1.7831 0.0084
2.7400 1.7964 0.0090
2.7600 1.8098 0.0040
2.7800 1.8231 0.0094
2.8000 1.8364 0.0077
2.8200 1.8498 0.0021
2.8400 1.8631 0.0100
2.8600 1.8765 -0.0003
2.8800 1.8898 0.0011
2.9000 1.9032 0.0089
2.9200 1.9165 0.0040
2.9400 1.9299 -0.0055
2.9600 1.9432 0.0071
2.9800 1.9565 0.0011
3.0000 1.9698 -0.0089
3.0200 1.9832 0.0073
3.0400 1.9965 -0.0018
3.0600 2.0098 -0.0088
3.0800 2.0231 0.0053
3.1000 2.0364 -0.0031
3.1200 2.0498 -0.0077
3.1400 2.0631 0.0046
3.1600 2.0764 -0.0067
3.1800 2.0898 -0.0159
3.2000 2.1032 0.0050
3.2200 2.1165 -0.0124
3.2400 2.1299 -0.0161
3.2600 2.1432 0.0061
3.2800 2.1565 -0.0164
3.3000 2.1699 -0.0166
3.3200 2.1832 -0.0006
3.3400 2.1965 -0.0151
3.3600 2.2098 -0.0166
3.3800 2.2231 0.0046
3.4000 2.2365 -0.0217
3.4200 2.2498 -0.0180
3.4400 2.2631 0.0004
3.4600 2.2764 -0.0161
3.4800 2.2898 -0.0242
3.5000 2.3031 -0.0050
3.5200 2.3165 -0.0155
3.5400 2.3298 -0.0233
3.5600 2.3432 -0.0128
3.5800 2.3565 -0.0193
3.6000 2.3698 -0.0230
3.6200 2.3832 -0.0136
3.6400 2.3965 -0.0233
3.6600 2.4099 -0.0262
3.6800 2.4232 -0.0212
3.7000 2.4365 -0.0198
3.7200 2.4498 -0.0287
3.7400 2.4631 -0.0251
3.7600 2.4765 -0.0182
3.7800 2.4898 -0.0324
3.8000 2.5030 -0.0200
3.8200 2.5164 -0.0207
3.8400 2.5297 -0.0335
3.8600 2.5431 -0.0274
3.8800 2.5564 -0.0179
3.9000 2.5698 -0.0374
3.9200 2.5832 -0.0284
3.9400 2.5966 -0.0210
3.9600 2.6099 -0.0390
3.9800 2.6232 -0.0260
4.0000 2.6365 -0.0198
4.0200 2.6499 -0.0430
4.0400 2.6632 -0.0209
4.0600 2.6765 -0.0303
4.0800 2.6898 -0.0459
4.1000 2.7031 -0.0220
4.1200 2.7165 -0.0280
4.1400 2.7298 -0.0499
4.1600 2.7431 -0.0255
4.1800 2.7564 -0.0291
4.2000 2.7698 -0.0525
4.2200 2.7831 -0.0313
4.2400 2.7964 -0.0339
4.2600 2.8098 -0.0444
4.2800 2.8232 -0.0312
4.3000 2.8365 -0.0430
4.3200 2.8498 -0.0455
4.3400 2.8632 -0.0332
4.3600 2.8765 -0.0459
4.3800 2.8899 -0.0432
4.4000 2.9032 -0.0370
4.4200 2.9165 -0.0458
4.4400 2.9298 -0.0463
4.4600 2.9431 -0.0333
4.4800 2.9565 -0.0521
4.5000 2.9698 -0.0472
4.5200 2.9831 -0.0428
4.5400 2.9964 -0.0529
4.5600 3.0098 -0.0481
4.5800 3.0231 -0.0460
4.6000 3.0364 -0.0545
4.6200 3.0498 -0.0497
4.6400 3.0631 -0.0512
4.6600 3.0765 -0.0576
4.6800 3.0898 -0.0535
4.7000 3.1031 -0.0463
4.7200 3.1165 -0.0665
4.7400 3.1298 -0.0512
4.7600 3.1432 -0.0540
4.7800 3.1565 -0.0667
4.8000 3.1698 -0.0532
4.8200 3.1832 -0.0547
4.8400 3.1965 -0.0672
4.8600 3.2098 -0.0593
4.8800 3.2231 -0.0544
4.9000 3.2364 -0.0653
4.9200 3.2498 -0.0571
4.9400 3.2631 -0.0657
4.9600 3.2764 -0.0662
4.9800 3.2898 -0.0571
5.0000 3.3032 -0.0660
5.0200 3.3166 -0.0685
5.0400 3.3299 -0.0559
5.0600 3.3432 -0.0750
5.0800 3.3565 -0.0664
5.1000 3.3699 -0.0610
5.1200 3.3832 -0.0664
5.1400 3.3965 -0.0686
5.1600 3.4098 -0.0629
5.1800 3.4231 -0.0673
5.2000 3.4365 -0.0680
5.2200 3.4498 -0.0614
5.2400 3.4631 -0.0719
5.2600 3.4764 -0.0712
5.2800 3.4898 -0.0648
5.3000 3.5031 -0.0789
5.3200 3.5164 -0.0694
5.3400 3.5298 -0.0676
5.3600 3.5432 -0.0798
5.3800 3.5565 -0.0680
5.4000 3.5699 -0.0665
5.4200 3.5832 -0.0835
5.4400 3.5965 -0.0722
5.4600 3.6099 -0.0674
