Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0070
0.0200 0.0001 0.0105
0.0400 0.0022 0.0735
0.0600 0.0101 0.0673
0.0800 0.0220 -0.0143
0.1000 0.0345 -0.0030
0.1200 0.0472 0.0261
0.1400 0.0606 -0.0037
0.1600 0.0747 0.0050
0.1800 0.0888 0.0095
0.2000 0.1027 -0.0062
0.2200 0.1163 0.0017
0.2400 0.1296 0.0123
0.2600 0.1429 -0.0024
0.2800 0.1563 0.0084
0.3000 0.1697 0.0154
0.3200 0.1830 -0.0027
0.3400 0.1964 0.0097
0.3600 0.2097 0.0082
0.3800 0.2230 -0.0027
0.4000 0.2364 0.0196
0.4200 0.2497 0.0001
0.4400 0.2630 -0.0008
0.4600 0.2763 0.0121
0.4800 0.2897 0.0071
0.5000 0.3030 -0.0054
0.5200 0.3164 0.0124
0.5400 0.3297 0.0059
0.5600 0.3430 -0.0030
0.5800 0.3564 0.0127
0.6000 0.3697 0.0031
0.6200 0.3830 -0.0020
0.6400 0.3964 0.0162
0.6600 0.4098 -0.0031
0.6800 0.4231 0.0034
0.7000 0.4364 0.0132
0.7200 0.4497 -0.0030
0.7400 0.4631 0.0013
0.7600 0.4764 0.0095
0.7800 0.4897 0.0016
0.8000 0.5030 0.0002
0.8200 0.5164 0.0124
0.8400 0.5297 0.0045
0.8600 0.5431 -0.0002
0.8800 0.5564 0.0132
0.9000 0.5697 0.0053
0.9200 0.5830 -0.0016
0.9400 0.5963 0.0101
0.9600 0.6097 0.0015
0.9800 0.6230 0.0021
1.0000 0.6364 0.0102
1.0200 0.6497 0.0075
1.0400 0.6631 0.0037
1.0600 0.6764 0.0131
1.0800 0.6898 0.0044
1.1000 0.7031 0.0062
1.1200 0.7164 0.0079
1.1400 0.7297 0.0005
1.1600 0.7431 0.0092
1.1800 0.7564 0.0107
1.2000 0.7697 0.0040
1.2200 0.7831 0.0051
1.2400 0.7964 0.0115
1.2600 0.8097 0.0040
1.2800 0.8230 0.0093
1.3000 0.8364 0.0017
1.3200 0.8497 0.0075
1.3400 0.8630 0.0109
1.3600 0.8764 0.0021
1.3800 0.8897 0.0084
1.4000 0.9031 0.0133
1.4200 0.9164 -0.0023
1.4400 0.9297 0.0103
1.4600 0.9431 0.0141
1.4800 0.9564 -0.0005
1.5000 0.9698 0.0104
1.5200 0.9831 0.0065
1.5400 0.9964 0.0026
1.5600 1.0096 0.0146
1.5800 1.0229 0.0095
1.6000 1.0363 0.0026
1.6200 1.0496 0.0119
1.6400 1.0630 0.0047
1.6600 1.0764 0.0048
1.6800 1.0897 0.0086
1.7000 1.1031 0.0083
1.7200 1.1165 0.0050
1.7400 1.1298 0.0077
1.7600 1.1432 0.0081
1.7800 1.1565 0.0074
1.8000 1.1698 0.0074
1.8200 1.1831 0.0130
1.8400 1.1964 0.0057
1.8600 1.2098 0.0083
1.8800 1.2231 0.0093
1.9000 1.2364 0.0062
1.9200 1.2497 0.0090
1.9400 1.2631 0.0118
1.9600 1.2764 -0.0002
1.9800 1.2897 0.0152
2.0000 1.3030 0.0162
2.0200 1.3163 0.0049
2.0400 1.3297 0.0109
2.0600 1.3430 0.0175
2.0800 1.3563 0.0070
2.1000 1.3697 0.0121
2.1200 1.3831 0.0160
2.1400 1.3965 0.0031
2.1600 1.4098 0.0114
2.1800 1.4231 0.0138
2.2000 1.4365 0.0081
2.2200 1.4498 0.0067
2.2400 1.4630 0.0187
2.2600 1.4763 0.0062
2.2800 1.4897 0.0096
2.3000 1.5030 0.0155
2.3200 1.5163 0.0085
2.3400 1.5296 0.0119
2.3600 1.5430 0.0161
2.3800 1.5564 0.0039
2.4000 1.5698 0.0147
2.4200 1.5831 0.0142
2.4400 1.5964 0.0032
2.4600 1.6098 0.0139
2.4800 1.6231 0.0183
2.5000 1.6364 0.0044
2.5200 1.6497 0.0135
2.5400 1.6631 0.0213
2.5600 1.6764 0.0028
2.5800 1.6898 0.0149
2.6000 1.7031 0.0125
2.6200 1.7164 0.0026
2.6400 1.7298 0.0146
2.6600 1.7431 0.0140
2.6800 1.7564 0.0008
2.7000 1.7697 0.0174
2.7200 1.7830 0.0160
2.7400 1.7964 0.0047
2.7600 1.8097 0.0181
2.7800 1.8230 0.0199
2.8000 1.8363 0.0011
2.8200 1.8497 0.0159
2.8400 1.8631 0.0142
2.8600 1.8764 0.0063
2.8800 1.8897 0.0161
2.9000 1.9031 0.0124
2.9200 1.9164 0.0073
2.9400 1.9298 0.0146
2.9600 1.9431 0.0169
2.9800 1.9564 0.0048
3.0000 1.9697 0.0204
3.0200 1.9831 0.0089
3.0400 1.9964 0.0045
3.0600 2.0097 0.0147
3.0800 2.0230 0.0160
3.1000 2.0363 0.0031
3.1200 2.0497 0.0197
3.1400 2.0630 0.0114
3.1600 2.0764 0.0065
3.1800 2.0897 0.0187
3.2000 2.1031 0.0133
3.2200 2.1165 0.0057
3.2400 2.1298 0.0211
3.2600 2.1431 0.0109
3.2800 2.1564 0.0077
3.3000 2.1698 0.0196
3.3200 2.1831 0.0113
3.3400 2.1964 0.0081
3.3600 2.2097 0.0169
3.3800 2.2231 0.0157
3.4000 2.2364 0.0094
3.4200 2.2497 0.0169
3.4400 2.2630 0.0114
3.4600 2.2764 0.0083
3.4800 2.2897 0.0129
3.5000 2.3031 0.0160
3.5200 2.3164 0.0097
3.5400 2.3297 0.0145
3.5600 2.3431 0.0134
3.5800 2.3564 0.0158
3.6000 2.3698 0.0167
3.6200 2.3831 0.0144
3.6400 2.3965 0.0100
3.6600 2.4098 0.0159
3.6800 2.4231 0.0089
3.7000 2.4364 0.0118
3.7200 2.4497 0.0155
3.7400 2.4631 0.0109
3.7600 2.4764 0.0104
3.7800 2.4897 0.0187
3.8000 2.5030 0.0104
3.8200 2.5163 0.0151
3.8400 2.5297 0.0154
3.8600 2.5430 0.0052
3.8800 2.5563 0.0138
3.9000 2.5697 0.0115
3.9200 2.5831 0.0080
3.9400 2.5965 0.0108
3.9600 2.6098 0.0150
3.9800 2.6231 0.0108
4.0000 2.6364 0.0146
4.0200 2.6498 0.0134
4.0400 2.6631 0.0123
4.0600 2.6764 0.0124
4.0800 2.6897 0.0168
4.1000 2.7030 0.0087
4.1200 2.7164 0.0149
4.1400 2.7297 0.0137
4.1600 2.7430 0.0135
4.1800 2.7563 0.0132
4.2000 2.7697 0.0143
4.2200 2.7830 0.0157
4.2400 2.7963 0.0200
4.2600 2.8097 0.0154
4.2800 2.8231 0.0115
4.3000 2.8364 0.0127
4.3200 2.8498 0.0160
4.3400 2.8631 0.0142
4.3600 2.8764 0.0172
4.3800 2.8898 0.0230
4.4000 2.9031 0.0099
4.4200 2.9164 0.0162
4.4400 2.9297 0.0205
4.4600 2.9430 0.0125
4.4800 2.9564 0.0118
4.5000 2.9697 0.0248
4.5200 2.9830 0.0160
4.5400 2.9963 0.0093
4.5600 3.0097 0.0202
4.5800 3.0231 0.0170
4.6000 3.0364 0.0131
4.6200 3.0497 0.0231
4.6400 3.0631 0.0169
4.6600 3.0764 0.0117
4.6800 3.0897 0.0206
4.7000 3.1030 0.0162
4.7200 3.1164 0.0085
4.7400 3.1298 0.0177
4.7600 3.1431 0.0160
4.7800 3.1564 0.0140
4.8000 3.1698 0.0201
4.8200 3.1831 0.0166
4.8400 3.1965 0.0123
4.8600 3.2097 0.0125
4.8800 3.2230 0.0243
4.9000 3.2363 0.0106
4.9200 3.2497 0.0133
4.9400 3.2630 0.0182
4.9600 3.2763 0.0137
4.9800 3.2897 0.0181
5.0000 3.3031 0.0232
5.0200 3.3165 0.0165
5.0400 3.3298 0.0155
5.0600 3.3431 0.0173
5.0800 3.3565 0.0143
5.1000 3.3698 0.0181
5.1200 3.3831 0.0187
5.1400 3.3964 0.0084
5.1600 3.4097 0.0171
5.1800 3.4230 0.0188
5.2000 3.4364 0.0136
5.2200 3.4497 0.0242
5.2400 3.4630 0.0163
5.2600 3.4763 0.0157
5.2800 3.4897 0.0155
5.3000 3.5030 0.0122
5.3200 3.5164 0.0142
5.3400 3.5297 0.0219
5.3600 3.5431 0.0074
5.3800 3.5564 0.0168
5.4000 3.5698 0.0224
5.4200 3.5831 0.0163
5.4400 3.5964 0.0168
5.4600 3.6098 0.0196
5.4800 3.6231 0.0087
5.5000 3.6364 0.0171
5.5200 3.6497 0.0180
5.5400 3.6630 0.0127
5.5600 3.6764 0.0178
5.5800 3.6897 0.0148
5.6000 3.7030 0.0151
