Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.0031
0.0200 0.0000 0.0023
0.0400 0.0009 0.0351
0.0600 0.0044 0.0396
0.0800 0.0100 -0.0015
0.1000 0.0158 -0.0002
0.1200 0.0218 0.0211
0.1400 0.0284 0.0117
0.1600 0.0358 0.0027
0.1800 0.0432 0.0091
0.2000 0.0505 -0.0055
0.2200 0.0573 0.0022
0.2400 0.0640 0.0100
0.2600 0.0706 0.0026
0.2800 0.0773 0.0046
0.3000 0.0840 0.0107
0.3200 0.0906 0.0044
0.3400 0.0973 0.0056
0.3600 0.1040 0.0147
0.3800 0.1107 0.0047
0.4000 0.1174 0.0077
0.4200 0.1241 0.0135
0.4400 0.1308 0.0083
0.4600 0.1375 0.0028
0.4800 0.1441 0.0143
0.5000 0.1506 0.0135
0.5200 0.1573 0.0074
0.5400 0.1640 0.0163
0.5600 0.1707 0.0136
0.5800 0.1774 0.0050
0.6000 0.1841 0.0193
0.6200 0.1908 0.0143
0.6400 0.1974 0.0105
0.6600 0.2040 0.0150
0.6800 0.2106 0.0137
0.7000 0.2173 0.0134
0.7200 0.2240 0.0205
0.7400 0.2307 0.0123
0.7600 0.2374 0.0117
0.7800 0.2440 0.0178
0.8000 0.2507 0.0166
0.8200 0.2574 0.0142
0.8400 0.2640 0.0151
0.8600 0.2706 0.0202
0.8800 0.2773 0.0163
0.9000 0.2840 0.0129
0.9200 0.2907 0.0176
0.9400 0.2973 0.0199
0.9600 0.3040 0.0163
0.9800 0.3107 0.0164
1.0000 0.3174 0.0153
1.0200 0.3241 0.0138
1.0400 0.3307 0.0166
1.0600 0.3373 0.0191
1.0800 0.3440 0.0088
1.1000 0.3507 0.0237
1.1200 0.3574 0.0155
1.1400 0.3641 0.0087
1.1600 0.3708 0.0250
1.1800 0.3774 0.0175
1.2000 0.3841 0.0117
1.2200 0.3907 0.0186
1.2400 0.3973 0.0147
1.2600 0.4040 0.0130
1.2800 0.4107 0.0178
1.3000 0.4174 0.0162
1.3200 0.4241 0.0102
1.3400 0.4308 0.0185
1.3600 0.4374 0.0169
1.3800 0.4441 0.0060
1.4000 0.4507 0.0217
1.4200 0.4573 0.0153
1.4400 0.4640 0.0065
1.4600 0.4707 0.0178
1.4800 0.4774 0.0159
1.5000 0.4840 0.0113
1.5200 0.4907 0.0173
1.5400 0.4974 0.0110
1.5600 0.5040 0.0109
1.5800 0.5106 0.0211
1.6000 0.5172 0.0148
1.6200 0.5239 0.0120
1.6400 0.5306 0.0157
1.6600 0.5374 0.0130
1.6800 0.5440 0.0130
1.7000 0.5507 0.0175
1.7200 0.5574 0.0131
1.7400 0.5640 0.0111
1.7600 0.5706 0.0122
1.7800 0.5773 0.0145
1.8000 0.5840 0.0152
1.8200 0.5907 0.0139
1.8400 0.5974 0.0098
1.8600 0.6041 0.0143
1.8800 0.6108 0.0133
1.9000 0.6175 0.0157
1.9200 0.6241 0.0147
1.9400 0.6307 0.0148
1.9600 0.6373 0.0189
1.9800 0.6440 0.0126
2.0000 0.6507 0.0112
2.0200 0.6574 0.0196
2.0400 0.6641 0.0135
2.0600 0.6707 0.0128
2.0800 0.6774 0.0187
2.1000 0.6840 0.0143
2.1200 0.6906 0.0148
2.1400 0.6973 0.0232
2.1600 0.7040 0.0183
2.1800 0.7107 0.0148
2.2000 0.7174 0.0230
2.2200 0.7241 0.0137
2.2400 0.7307 0.0195
2.2600 0.7374 0.0214
2.2800 0.7440 0.0186
2.3000 0.7507 0.0195
2.3200 0.7573 0.0210
2.3400 0.7640 0.0208
2.3600 0.7707 0.0236
2.3800 0.7774 0.0164
2.4000 0.7840 0.0186
2.4200 0.7907 0.0201
2.4400 0.7974 0.0184
2.4600 0.8041 0.0138
2.4800 0.8107 0.0230
2.5000 0.8173 0.0198
2.5200 0.8240 0.0159
2.5400 0.8307 0.0265
2.5600 0.8374 0.0127
2.5800 0.8441 0.0202
2.6000 0.8508 0.0278
2.6200 0.8574 0.0113
2.6400 0.8641 0.0162
2.6600 0.8707 0.0285
2.6800 0.8773 0.0165
2.7000 0.8840 0.0153
2.7200 0.8907 0.0249
2.7400 0.8974 0.0130
2.7600 0.9041 0.0149
2.7800 0.9108 0.0270
2.8000 0.9174 0.0117
2.8200 0.9241 0.0190
2.8400 0.9307 0.0209
2.8600 0.9373 0.0160
2.8800 0.9440 0.0178
2.9000 0.9507 0.0187
2.9200 0.9574 0.0122
2.9400 0.9640 0.0189
2.9600 0.9707 0.0249
2.9800 0.9774 0.0132
3.0000 0.9840 0.0187
3.0200 0.9907 0.0160
3.0400 0.9973 0.0173
3.0600 1.0039 0.0210
3.0800 1.0106 0.0183
3.1000 1.0174 0.0127
3.1200 1.0240 0.0201
3.1400 1.0307 0.0146
3.1600 1.0374 0.0195
3.1800 1.0441 0.0172
3.2000 1.0507 0.0144
3.2200 1.0573 0.0209
3.2400 1.0640 0.0174
3.2600 1.0707 0.0159
3.2800 1.0774 0.0221
3.3000 1.0841 0.0159
3.3200 1.0908 0.0190
3.3400 1.0974 0.0208
3.3600 1.1041 0.0152
3.3800 1.1107 0.0148
3.4000 1.1173 0.0237
3.4200 1.1240 0.0178
3.4400 1.1307 0.0163
3.4600 1.1374 0.0203
3.4800 1.1441 0.0157
3.5000 1.1508 0.0221
3.5200 1.1574 0.0198
3.5400 1.1641 0.0159
3.5600 1.1707 0.0234
3.5800 1.1773 0.0212
3.6000 1.1840 0.0119
3.6200 1.1907 0.0220
3.6400 1.1974 0.0177
3.6600 1.2041 0.0145
3.6800 1.2107 0.0207
3.7000 1.2174 0.0193
3.7200 1.2241 0.0160
3.7400 1.2307 0.0210
3.7600 1.2373 0.0171
3.7800 1.2439 0.0235
3.8000 1.2507 0.0198
3.8200 1.2574 0.0137
3.8400 1.2640 0.0187
3.8600 1.2707 0.0169
3.8800 1.2774 0.0185
3.9000 1.2840 0.0174
3.9200 1.2907 0.0156
3.9400 1.2973 0.0182
3.9600 1.3040 0.0217
3.9800 1.3107 0.0117
4.0000 1.3174 0.0215
4.0200 1.3241 0.0202
4.0400 1.3308 0.0105
4.0600 1.3375 0.0230
4.0800 1.3441 0.0174
4.1000 1.3507 0.0080
4.1200 1.3573 0.0259
4.1400 1.3640 0.0170
4.1600 1.3707 0.0133
4.1800 1.3774 0.0263
4.2000 1.3841 0.0189
4.2200 1.3908 0.0103
4.2400 1.3974 0.0299
4.2600 1.4041 0.0214
4.2800 1.4107 0.0112
4.3000 1.4173 0.0269
4.3200 1.4240 0.0128
4.3400 1.4307 0.0198
4.3600 1.4374 0.0302
4.3800 1.4440 0.0129
4.4000 1.4507 0.0190
4.4200 1.4574 0.0297
4.4400 1.4640 0.0193
4.4600 1.4707 0.0218
4.4800 1.4773 0.0231
4.5000 1.4839 0.0229
4.5200 1.4906 0.0251
4.5400 1.4974 0.0233
4.5600 1.5040 0.0194
4.5800 1.5107 0.0291
4.6000 1.5174 0.0203
4.6200 1.5241 0.0166
4.6400 1.5307 0.0252
4.6600 1.5373 0.0257
4.6800 1.5440 0.0183
4.7000 1.5507 0.0223
4.7200 1.5574 0.0154
4.7400 1.5641 0.0217
4.7600 1.5708 0.0227
4.7800 1.5774 0.0185
4.8000 1.5841 0.0217
4.8200 1.5907 0.0211
4.8400 1.5973 0.0166
4.8600 1.6040 0.0216
4.8800 1.6107 0.0211
4.9000 1.6174 0.0185
4.9200 1.6240 0.0241
4.9400 1.6307 0.0207
4.9600 1.6374 0.0213
4.9800 1.6441 0.0216
5.0000 1.6507 0.0194
5.0200 1.6574 0.0206
5.0400 1.6640 0.0265
5.0600 1.6707 0.0183
5.0800 1.6774 0.0225
5.1000 1.6840 0.0271
5.1200 1.6907 0.0204
5.1400 1.6974 0.0210
5.1600 1.7041 0.0224
5.1800 1.7107 0.0208
5.2000 1.7173 0.0229
5.2200 1.7239 0.0303
5.2400 1.7306 0.0174
5.2600 1.7374 0.0221
5.2800 1.7441 0.0259
5.3000 1.7507 0.0205
5.3200 1.7574 0.0179
5.3400 1.7640 0.0227
5.3600 1.7707 0.0248
5.3800 1.7773 0.0224
5.4000 1.7840 0.0251
5.4200 1.7906 0.0255
5.4400 1.7974 0.0150
5.4600 1.8041 0.0244
5.4800 1.8107 0.0248
5.5000 1.8174 0.0227
5.5200 1.8241 0.0213
5.5400 1.8308 0.0200
5.5600 1.8374 0.0213
5.5800 1.8440 0.0214
5.6000 1.8507 0.0199
5.6200 1.8574 0.0205
