Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0052
0.0200 -0.0001 -0.0072
0.0400 -0.0019 -0.0203
0.0600 -0.0093 -0.0196
0.0800 -0.0212 -0.0070
0.1000 -0.0338 -0.0091
0.1200 -0.0465 -0.0094
0.1400 -0.0598 -0.0117
0.1600 -0.0737 -0.0109
0.1800 -0.0878 -0.0107
0.2000 -0.1017 -0.0082
0.2200 -0.1152 -0.0123
0.2400 -0.1286 -0.0109
0.2600 -0.1420 -0.0116
0.2800 -0.1554 -0.0116
0.3000 -0.1687 -0.0129
0.3200 -0.1821 -0.0154
0.3400 -0.1954 -0.0140
0.3600 -0.2088 -0.0133
0.3800 -0.2221 -0.0148
0.4000 -0.2354 -0.0168
0.4200 -0.2487 -0.0152
0.4400 -0.2620 -0.0172
0.4600 -0.2753 -0.0170
0.4800 -0.2886 -0.0178
0.5000 -0.3020 -0.0173
0.5200 -0.3153 -0.0173
0.5400 -0.3287 -0.0163
0.5600 -0.3421 -0.0171
0.5800 -0.3554 -0.0173
0.6000 -0.3687 -0.0175
0.6200 -0.3821 -0.0182
0.6400 -0.3955 -0.0190
0.6600 -0.4088 -0.0185
0.6800 -0.4221 -0.0182
0.7000 -0.4354 -0.0194
0.7200 -0.4488 -0.0184
0.7400 -0.4621 -0.0156
0.7600 -0.4754 -0.0171
0.7800 -0.4887 -0.0157
0.8000 -0.5021 -0.0210
0.8200 -0.5154 -0.0181
0.8400 -0.5287 -0.0173
0.8600 -0.5420 -0.0190
0.8800 -0.5553 -0.0197
0.9000 -0.5687 -0.0170
0.9200 -0.5820 -0.0201
0.9400 -0.5953 -0.0192
0.9600 -0.6086 -0.0214
0.9800 -0.6220 -0.0196
1.0000 -0.6354 -0.0205
1.0200 -0.6487 -0.0202
1.0400 -0.6620 -0.0199
1.0600 -0.6754 -0.0173
1.0800 -0.6887 -0.0183
1.1000 -0.7021 -0.0204
1.1200 -0.7154 -0.0213
1.1400 -0.7287 -0.0200
1.1600 -0.7420 -0.0191
1.1800 -0.7554 -0.0195
1.2000 -0.7687 -0.0194
1.2200 -0.7820 -0.0200
1.2400 -0.7953 -0.0216
1.2600 -0.8087 -0.0211
1.2800 -0.8221 -0.0205
1.3000 -0.8354 -0.0210
1.3200 -0.8487 -0.0192
1.3400 -0.8621 -0.0211
1.3600 -0.8754 -0.0219
1.3800 -0.8888 -0.0203
1.4000 -0.9021 -0.0210
1.4200 -0.9154 -0.0232
1.4400 -0.9288 -0.0210
1.4600 -0.9421 -0.0222
1.4800 -0.9554 -0.0210
1.5000 -0.9687 -0.0230
1.5200 -0.9821 -0.0208
1.5400 -0.9954 -0.0224
1.5600 -1.0087 -0.0222
1.5800 -1.0220 -0.0211
1.6000 -1.0353 -0.0208
1.6200 -1.0487 -0.0196
1.6400 -1.0621 -0.0201
1.6600 -1.0754 -0.0217
1.6800 -1.0887 -0.0229
1.7000 -1.1021 -0.0222
1.7200 -1.1155 -0.0221
1.7400 -1.1288 -0.0204
1.7600 -1.1421 -0.0200
1.7800 -1.1554 -0.0201
1.8000 -1.1688 -0.0215
1.8200 -1.1822 -0.0197
1.8400 -1.1955 -0.0219
1.8600 -1.2088 -0.0207
1.8800 -1.2221 -0.0219
1.9000 -1.2354 -0.0216
1.9200 -1.2487 -0.0213
1.9400 -1.2620 -0.0200
1.9600 -1.2753 -0.0234
1.9800 -1.2887 -0.0225
2.0000 -1.3020 -0.0224
2.0200 -1.3154 -0.0218
2.0400 -1.3287 -0.0232
2.0600 -1.3421 -0.0221
2.0800 -1.3555 -0.0240
2.1000 -1.3688 -0.0228
2.1200 -1.3821 -0.0233
2.1400 -1.3954 -0.0230
2.1600 -1.4088 -0.0242
2.1800 -1.4221 -0.0248
2.2000 -1.4354 -0.0248
2.2200 -1.4487 -0.0238
2.2400 -1.4620 -0.0213
2.2600 -1.4754 -0.0245
2.2800 -1.4887 -0.0250
2.3000 -1.5020 -0.0244
2.3200 -1.5153 -0.0246
2.3400 -1.5287 -0.0244
2.3600 -1.5420 -0.0222
2.3800 -1.5554 -0.0250
2.4000 -1.5687 -0.0235
2.4200 -1.5821 -0.0228
2.4400 -1.5955 -0.0250
2.4600 -1.6088 -0.0229
2.4800 -1.6221 -0.0244
2.5000 -1.6354 -0.0252
2.5200 -1.6487 -0.0246
2.5400 -1.6621 -0.0256
2.5600 -1.6754 -0.0253
2.5800 -1.6887 -0.0254
2.6000 -1.7020 -0.0230
2.6200 -1.7154 -0.0237
2.6400 -1.7287 -0.0243
2.6600 -1.7420 -0.0244
2.6800 -1.7554 -0.0231
2.7000 -1.7687 -0.0243
2.7200 -1.7821 -0.0240
2.7400 -1.7954 -0.0244
2.7600 -1.8087 -0.0235
2.7800 -1.8221 -0.0251
2.8000 -1.8354 -0.0240
2.8200 -1.8488 -0.0257
2.8400 -1.8620 -0.0245
2.8600 -1.8753 -0.0253
2.8800 -1.8887 -0.0244
2.9000 -1.9021 -0.0225
2.9200 -1.9154 -0.0266
2.9400 -1.9287 -0.0258
2.9600 -1.9421 -0.0266
2.9800 -1.9554 -0.0261
3.0000 -1.9688 -0.0275
3.0200 -1.9821 -0.0248
3.0400 -1.9954 -0.0242
3.0600 -2.0087 -0.0232
3.0800 -2.0221 -0.0237
3.1000 -2.0354 -0.0241
3.1200 -2.0487 -0.0268
3.1400 -2.0620 -0.0251
3.1600 -2.0754 -0.0246
3.1800 -2.0888 -0.0254
3.2000 -2.1021 -0.0253
3.2200 -2.1154 -0.0261
3.2400 -2.1288 -0.0241
3.2600 -2.1422 -0.0228
3.2800 -2.1555 -0.0230
3.3000 -2.1688 -0.0254
3.3200 -2.1821 -0.0261
3.3400 -2.1954 -0.0275
3.3600 -2.2088 -0.0270
3.3800 -2.2220 -0.0249
3.4000 -2.2353 -0.0263
3.4200 -2.2487 -0.0249
3.4400 -2.2620 -0.0226
3.4600 -2.2754 -0.0212
3.4800 -2.2887 -0.0224
3.5000 -2.3020 -0.0243
3.5200 -2.3154 -0.0237
3.5400 -2.3288 -0.0248
3.5600 -2.3421 -0.0240
3.5800 -2.3554 -0.0248
3.6000 -2.3688 -0.0238
3.6200 -2.3821 -0.0252
3.6400 -2.3954 -0.0254
3.6600 -2.4087 -0.0268
3.6800 -2.4221 -0.0239
3.7000 -2.4354 -0.0264
3.7200 -2.4488 -0.0249
3.7400 -2.4620 -0.0251
3.7600 -2.4753 -0.0250
3.7800 -2.4887 -0.0249
3.8000 -2.5020 -0.0230
3.8200 -2.5154 -0.0255
3.8400 -2.5287 -0.0259
3.8600 -2.5420 -0.0235
3.8800 -2.5554 -0.0256
3.9000 -2.5688 -0.0265
3.9200 -2.5821 -0.0271
3.9400 -2.5954 -0.0233
3.9600 -2.6087 -0.0256
3.9800 -2.6221 -0.0226
4.0000 -2.6354 -0.0263
4.0200 -2.6488 -0.0257
4.0400 -2.6621 -0.0250
4.0600 -2.6754 -0.0254
4.0800 -2.6888 -0.0265
4.1000 -2.7021 -0.0251
4.1200 -2.7153 -0.0272
4.1400 -2.7287 -0.0254
4.1600 -2.7421 -0.0247
4.1800 -2.7554 -0.0247
4.2000 -2.7687 -0.0262
4.2200 -2.7820 -0.0240
4.2400 -2.7954 -0.0235
4.2600 -2.8088 -0.0245
4.2800 -2.8221 -0.0242
4.3000 -2.8354 -0.0226
4.3200 -2.8487 -0.0266
4.3400 -2.8621 -0.0230
4.3600 -2.8754 -0.0227
4.3800 -2.8887 -0.0229
4.4000 -2.9020 -0.0249
4.4200 -2.9154 -0.0240
4.4400 -2.9287 -0.0250
4.4600 -2.9420 -0.0230
4.4800 -2.9553 -0.0233
4.5000 -2.9687 -0.0241
4.5200 -2.9821 -0.0220
4.5400 -2.9954 -0.0238
4.5600 -3.0087 -0.0230
4.5800 -3.0221 -0.0242
4.6000 -3.0354 -0.0235
4.6200 -3.0488 -0.0235
4.6400 -3.0621 -0.0215
4.6600 -3.0754 -0.0241
4.6800 -3.0887 -0.0239
4.7000 -3.1021 -0.0246
4.7200 -3.1154 -0.0227
4.7400 -3.1287 -0.0264
4.7600 -3.1421 -0.0233
4.7800 -3.1554 -0.0260
4.8000 -3.1687 -0.0247
4.8200 -3.1821 -0.0242
4.8400 -3.1954 -0.0233
4.8600 -3.2087 -0.0271
4.8800 -3.2221 -0.0229
4.9000 -3.2354 -0.0245
4.9200 -3.2487 -0.0246
4.9400 -3.2620 -0.0244
4.9600 -3.2754 -0.0235
