Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 -0.0001 -0.2603
0.0200 -0.0001 -0.2649
0.0400 -0.0020 -0.2792
0.0600 -0.0095 -0.2769
0.0800 -0.0215 -0.2640
0.1000 -0.0342 -0.2664
0.1200 -0.0470 -0.2656
0.1400 -0.0602 -0.2689
0.1600 -0.0741 -0.2668
0.1800 -0.0882 -0.2659
0.2000 -0.1020 -0.2639
0.2200 -0.1156 -0.2676
0.2400 -0.1290 -0.2661
0.2600 -0.1423 -0.2671
0.2800 -0.1556 -0.2691
0.3000 -0.1689 -0.2668
0.3200 -0.1822 -0.2686
0.3400 -0.1956 -0.2675
0.3600 -0.2089 -0.2686
0.3800 -0.2222 -0.2661
0.4000 -0.2356 -0.2688
0.4200 -0.2489 -0.2646
0.4400 -0.2623 -0.2654
0.4600 -0.2756 -0.2666
0.4800 -0.2889 -0.2677
0.5000 -0.3023 -0.2657
0.5200 -0.3157 -0.2669
0.5400 -0.3290 -0.2631
0.5600 -0.3423 -0.2634
0.5800 -0.3557 -0.2660
0.6000 -0.3690 -0.2640
0.6200 -0.3824 -0.2639
0.6400 -0.3957 -0.2641
0.6600 -0.4090 -0.2619
0.6800 -0.4223 -0.2598
0.7000 -0.4356 -0.2611
0.7200 -0.4489 -0.2604
0.7400 -0.4622 -0.2611
0.7600 -0.4756 -0.2605
0.7800 -0.4889 -0.2582
0.8000 -0.5023 -0.2588
0.8200 -0.5156 -0.2592
0.8400 -0.5290 -0.2579
0.8600 -0.5423 -0.2551
0.8800 -0.5557 -0.2570
0.9000 -0.5690 -0.2560
0.9200 -0.5823 -0.2570
0.9400 -0.5957 -0.2571
0.9600 -0.6090 -0.2575
0.9800 -0.6224 -0.2526
1.0000 -0.6357 -0.2543
1.0200 -0.6490 -0.2528
1.0400 -0.6623 -0.2546
1.0600 -0.6756 -0.2528
1.0800 -0.6889 -0.2515
1.1000 -0.7022 -0.2502
1.1200 -0.7155 -0.2527
1.1400 -0.7289 -0.2498
1.1600 -0.7423 -0.2512
1.1800 -0.7556 -0.2516
1.2000 -0.7690 -0.2509
1.2200 -0.7823 -0.2488
1.2400 -0.7957 -0.2512
1.2600 -0.8091 -0.2483
1.2800 -0.8224 -0.2490
1.3000 -0.8357 -0.2499
1.3200 -0.8490 -0.2488
1.3400 -0.8624 -0.2482
1.3600 -0.8757 -0.2487
1.3800 -0.8890 -0.2484
1.4000 -0.9023 -0.2463
1.4200 -0.9156 -0.2495
1.4400 -0.9289 -0.2477
1.4600 -0.9422 -0.2483
1.4800 -0.9556 -0.2489
1.5000 -0.9689 -0.2478
1.5200 -0.9823 -0.2442
1.5400 -0.9956 -0.2467
1.5600 -1.0089 -0.2441
1.5800 -1.0223 -0.2447
1.6000 -1.0357 -0.2459
1.6200 -1.0491 -0.2448
1.6400 -1.0624 -0.2439
1.6600 -1.0757 -0.2441
1.6800 -1.0890 -0.2427
1.7000 -1.1024 -0.2398
1.7200 -1.1157 -0.2418
1.7400 -1.1290 -0.2421
1.7600 -1.1423 -0.2406
1.7800 -1.1556 -0.2440
1.8000 -1.1690 -0.2401
1.8200 -1.1823 -0.2391
1.8400 -1.1956 -0.2397
1.8600 -1.2090 -0.2381
1.8800 -1.2223 -0.2364
1.9000 -1.2357 -0.2405
1.9200 -1.2490 -0.2383
1.9400 -1.2623 -0.2380
1.9600 -1.2757 -0.2382
1.9800 -1.2890 -0.2366
2.0000 -1.3023 -0.2351
2.0200 -1.3156 -0.2376
2.0400 -1.3290 -0.2370
2.0600 -1.3423 -0.2357
2.0800 -1.3557 -0.2376
2.1000 -1.3690 -0.2353
2.1200 -1.3823 -0.2354
2.1400 -1.3957 -0.2372
2.1600 -1.4090 -0.2374
2.1800 -1.4223 -0.2385
2.2000 -1.4356 -0.2393
2.2200 -1.4490 -0.2388
2.2400 -1.4623 -0.2370
2.2600 -1.4756 -0.2382
2.2800 -1.4889 -0.2375
2.3000 -1.5023 -0.2375
2.3200 -1.5157 -0.2399
2.3400 -1.5291 -0.2389
2.3600 -1.5424 -0.2370
2.3800 -1.5557 -0.2378
2.4000 -1.5691 -0.2373
2.4200 -1.5824 -0.2388
2.4400 -1.5957 -0.2397
2.4600 -1.6090 -0.2391
2.4800 -1.6223 -0.2374
2.5000 -1.6356 -0.2376
2.5200 -1.6490 -0.2376
2.5400 -1.6622 -0.2348
2.5600 -1.6756 -0.2361
2.5800 -1.6889 -0.2354
2.6000 -1.7023 -0.2350
2.6200 -1.7156 -0.2365
2.6400 -1.7290 -0.2353
2.6600 -1.7423 -0.2315
2.6800 -1.7557 -0.2357
2.7000 -1.7690 -0.2332
2.7200 -1.7823 -0.2334
2.7400 -1.7956 -0.2340
2.7600 -1.8090 -0.2340
2.7800 -1.8224 -0.2331
2.8000 -1.8357 -0.2335
2.8200 -1.8490 -0.2335
2.8400 -1.8623 -0.2321
2.8600 -1.8757 -0.2352
2.8800 -1.8890 -0.2334
2.9000 -1.9023 -0.2321
2.9200 -1.9156 -0.2336
2.9400 -1.9289 -0.2328
2.9600 -1.9423 -0.2320
2.9800 -1.9556 -0.2321
3.0000 -1.9689 -0.2320
3.0200 -1.9823 -0.2302
3.0400 -1.9957 -0.2341
3.0600 -2.0090 -0.2351
3.0800 -2.0223 -0.2325
3.1000 -2.0356 -0.2321
3.1200 -2.0490 -0.2303
3.1400 -2.0623 -0.2281
3.1600 -2.0757 -0.2322
3.1800 -2.0890 -0.2315
3.2000 -2.1023 -0.2281
3.2200 -2.1157 -0.2290
3.2400 -2.1290 -0.2293
3.2600 -2.1423 -0.2267
3.2800 -2.1556 -0.2309
3.3000 -2.1690 -0.2303
3.3200 -2.1823 -0.2291
3.3400 -2.1957 -0.2292
3.3600 -2.2090 -0.2306
3.3800 -2.2223 -0.2258
3.4000 -2.2357 -0.2277
3.4200 -2.2491 -0.2273
3.4400 -2.2624 -0.2246
3.4600 -2.2756 -0.2274
3.4800 -2.2890 -0.2259
3.5000 -2.3023 -0.2240
3.5200 -2.3157 -0.2258
3.5400 -2.3290 -0.2269
3.5600 -2.3423 -0.2241
3.5800 -2.3556 -0.2245
3.6000 -2.3690 -0.2241
3.6200 -2.3823 -0.2211
3.6400 -2.3956 -0.2224
3.6600 -2.4090 -0.2217
3.6800 -2.4223 -0.2182
3.7000 -2.4357 -0.2188
3.7200 -2.4490 -0.2186
3.7400 -2.4623 -0.2168
3.7600 -2.4757 -0.2175
3.7800 -2.4891 -0.2157
3.8000 -2.5024 -0.2152
3.8200 -2.5157 -0.2148
3.8400 -2.5290 -0.2151
3.8600 -2.5424 -0.2125
3.8800 -2.5557 -0.2154
3.9000 -2.5690 -0.2147
3.9200 -2.5823 -0.2146
3.9400 -2.5956 -0.2139
3.9600 -2.6090 -0.2146
3.9800 -2.6223 -0.2143
4.0000 -2.6356 -0.2151
4.0200 -2.6489 -0.2127
4.0400 -2.6623 -0.2104
4.0600 -2.6757 -0.2119
4.0800 -2.6890 -0.2134
4.1000 -2.7023 -0.2106
4.1200 -2.7157 -0.2116
4.1400 -2.7290 -0.2117
4.1600 -2.7424 -0.2104
4.1800 -2.7556 -0.2133
4.2000 -2.7690 -0.2141
4.2200 -2.7823 -0.2130
4.2400 -2.7957 -0.2121
4.2600 -2.8090 -0.2120
4.2800 -2.8223 -0.2081
4.3000 -2.8357 -0.2115
4.3200 -2.8490 -0.2109
4.3400 -2.8623 -0.2112
4.3600 -2.8756 -0.2114
4.3800 -2.8889 -0.2139
4.4000 -2.9023 -0.2105
4.4200 -2.9156 -0.2127
4.4400 -2.9289 -0.2133
4.4600 -2.9422 -0.2109
4.4800 -2.9556 -0.2124
4.5000 -2.9690 -0.2112
4.5200 -2.9824 -0.2096
4.5400 -2.9957 -0.2123
4.5600 -3.0090 -0.2134
4.5800 -3.0224 -0.2109
4.6000 -3.0357 -0.2105
4.6200 -3.0490 -0.2100
4.6400 -3.0623 -0.2078
4.6600 -3.0756 -0.2096
4.6800 -3.0890 -0.2119
4.7000 -3.1023 -0.2120
4.7200 -3.1156 -0.2114
4.7400 -3.1289 -0.2111
4.7600 -3.1423 -0.2061
4.7800 -3.1557 -0.2088
4.8000 -3.1690 -0.2088
4.8200 -3.1823 -0.2063
4.8400 -3.1957 -0.2076
4.8600 -3.2091 -0.2067
4.8800 -3.2224 -0.2033
4.9000 -3.2357 -0.2057
4.9200 -3.2490 -0.2064
4.9400 -3.2623 -0.2026
4.9600 -3.2757 -0.2032
