Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 -0.0001 -0.2659
0.0200 -0.0002 -0.2700
0.0400 -0.0021 -0.2860
0.0600 -0.0097 -0.2833
0.0800 -0.0216 -0.2726
0.1000 -0.0342 -0.2745
0.1200 -0.0470 -0.2718
0.1400 -0.0604 -0.2735
0.1600 -0.0744 -0.2685
0.1800 -0.0885 -0.2686
0.2000 -0.1023 -0.2649
0.2200 -0.1158 -0.2670
0.2400 -0.1292 -0.2659
0.2600 -0.1425 -0.2643
0.2800 -0.1558 -0.2637
0.3000 -0.1691 -0.2601
0.3200 -0.1825 -0.2606
0.3400 -0.1959 -0.2556
0.3600 -0.2092 -0.2552
0.3800 -0.2225 -0.2517
0.4000 -0.2358 -0.2539
0.4200 -0.2492 -0.2512
0.4400 -0.2626 -0.2509
0.4600 -0.2759 -0.2483
0.4800 -0.2892 -0.2482
0.5000 -0.3026 -0.2446
0.5200 -0.3160 -0.2449
0.5400 -0.3293 -0.2419
0.5600 -0.3426 -0.2389
0.5800 -0.3559 -0.2362
0.6000 -0.3693 -0.2330
0.6200 -0.3826 -0.2313
0.6400 -0.3959 -0.2284
0.6600 -0.4092 -0.2272
0.6800 -0.4226 -0.2254
0.7000 -0.4359 -0.2248
0.7200 -0.4492 -0.2219
0.7400 -0.4625 -0.2190
0.7600 -0.4758 -0.2174
0.7800 -0.4892 -0.2153
0.8000 -0.5026 -0.2130
0.8200 -0.5159 -0.2116
0.8400 -0.5292 -0.2086
0.8600 -0.5426 -0.2083
0.8800 -0.5560 -0.2061
0.9000 -0.5693 -0.2055
0.9200 -0.5826 -0.2050
0.9400 -0.5959 -0.2015
0.9600 -0.6093 -0.1987
0.9800 -0.6226 -0.1952
1.0000 -0.6359 -0.1945
1.0200 -0.6492 -0.1935
1.0400 -0.6626 -0.1927
1.0600 -0.6759 -0.1925
1.0800 -0.6892 -0.1886
1.1000 -0.7025 -0.1872
1.1200 -0.7158 -0.1850
1.1400 -0.7292 -0.1842
1.1600 -0.7426 -0.1808
1.1800 -0.7559 -0.1790
1.2000 -0.7692 -0.1760
1.2200 -0.7826 -0.1729
1.2400 -0.7960 -0.1719
1.2600 -0.8093 -0.1700
1.2800 -0.8226 -0.1652
1.3000 -0.8359 -0.1634
1.3200 -0.8493 -0.1622
1.3400 -0.8627 -0.1582
1.3600 -0.8760 -0.1578
1.3800 -0.8893 -0.1550
1.4000 -0.9026 -0.1549
1.4200 -0.9159 -0.1523
1.4400 -0.9292 -0.1514
1.4600 -0.9425 -0.1467
1.4800 -0.9558 -0.1464
1.5000 -0.9692 -0.1436
1.5200 -0.9825 -0.1416
1.5400 -0.9959 -0.1387
1.5600 -1.0092 -0.1397
1.5800 -1.0226 -0.1361
1.6000 -1.0360 -0.1328
1.6200 -1.0493 -0.1316
1.6400 -1.0626 -0.1288
1.6600 -1.0759 -0.1282
1.6800 -1.0893 -0.1271
1.7000 -1.1026 -0.1235
1.7200 -1.1159 -0.1215
1.7400 -1.1292 -0.1215
1.7600 -1.1426 -0.1177
1.7800 -1.1559 -0.1150
1.8000 -1.1692 -0.1144
1.8200 -1.1825 -0.1131
1.8400 -1.1958 -0.1115
1.8600 -1.2092 -0.1091
1.8800 -1.2226 -0.1078
1.9000 -1.2359 -0.1080
1.9200 -1.2492 -0.1068
1.9400 -1.2626 -0.1048
1.9600 -1.2760 -0.1016
1.9800 -1.2893 -0.1027
2.0000 -1.3026 -0.1006
2.0200 -1.3159 -0.1012
2.0400 -1.3292 -0.1005
2.0600 -1.3426 -0.0986
2.0800 -1.3559 -0.0956
2.1000 -1.3693 -0.0980
2.1200 -1.3826 -0.0937
2.1400 -1.3959 -0.0930
2.1600 -1.4093 -0.0921
2.1800 -1.4226 -0.0911
2.2000 -1.4359 -0.0917
2.2200 -1.4492 -0.0891
2.2400 -1.4626 -0.0862
2.2600 -1.4759 -0.0848
2.2800 -1.4892 -0.0843
2.3000 -1.5026 -0.0819
2.3200 -1.5160 -0.0812
2.3400 -1.5293 -0.0808
2.3600 -1.5426 -0.0785
2.3800 -1.5560 -0.0784
2.4000 -1.5693 -0.0773
2.4200 -1.5827 -0.0768
2.4400 -1.5960 -0.0765
2.4600 -1.6093 -0.0764
2.4800 -1.6226 -0.0756
2.5000 -1.6359 -0.0743
2.5200 -1.6492 -0.0729
2.5400 -1.6625 -0.0696
2.5600 -1.6758 -0.0702
2.5800 -1.6892 -0.0674
2.6000 -1.7026 -0.0639
2.6200 -1.7159 -0.0600
2.6400 -1.7292 -0.0626
2.6600 -1.7426 -0.0603
2.6800 -1.7559 -0.0617
2.7000 -1.7693 -0.0592
2.7200 -1.7826 -0.0563
2.7400 -1.7959 -0.0530
2.7600 -1.8093 -0.0524
2.7800 -1.8226 -0.0504
2.8000 -1.8359 -0.0499
2.8200 -1.8492 -0.0498
2.8400 -1.8626 -0.0464
2.8600 -1.8759 -0.0441
2.8800 -1.8893 -0.0432
2.9000 -1.9025 -0.0393
2.9200 -1.9158 -0.0393
2.9400 -1.9292 -0.0384
2.9600 -1.9426 -0.0352
2.9800 -1.9559 -0.0339
3.0000 -1.9692 -0.0337
3.0200 -1.9825 -0.0321
3.0400 -1.9959 -0.0303
3.0600 -2.0093 -0.0308
3.0800 -2.0226 -0.0272
3.1000 -2.0359 -0.0252
3.1200 -2.0493 -0.0245
3.1400 -2.0626 -0.0217
3.1600 -2.0760 -0.0186
3.1800 -2.0893 -0.0206
3.2000 -2.1026 -0.0174
3.2200 -2.1160 -0.0163
3.2400 -2.1293 -0.0155
3.2600 -2.1426 -0.0125
3.2800 -2.1559 -0.0119
3.3000 -2.1692 -0.0113
3.3200 -2.1826 -0.0074
3.3400 -2.1959 -0.0066
3.3600 -2.2092 -0.0052
3.3800 -2.2226 -0.0035
3.4000 -2.2360 -0.0024
3.4200 -2.2493 -0.0005
3.4400 -2.2626 0.0029
3.4600 -2.2759 0.0054
3.4800 -2.2893 0.0058
3.5000 -2.3026 0.0086
3.5200 -2.3159 0.0093
3.5400 -2.3292 0.0113
3.5600 -2.3426 0.0131
3.5800 -2.3559 0.0149
3.6000 -2.3692 0.0177
3.6200 -2.3825 0.0193
3.6400 -2.3959 0.0207
3.6600 -2.4092 0.0217
3.6800 -2.4226 0.0265
3.7000 -2.4359 0.0278
3.7200 -2.4492 0.0269
3.7400 -2.4626 0.0282
3.7600 -2.4759 0.0287
3.7800 -2.4893 0.0311
3.8000 -2.5026 0.0334
3.8200 -2.5159 0.0338
3.8400 -2.5293 0.0334
3.8600 -2.5426 0.0348
3.8800 -2.5560 0.0358
3.9000 -2.5693 0.0347
3.9200 -2.5826 0.0361
3.9400 -2.5959 0.0380
3.9600 -2.6092 0.0369
3.9800 -2.6225 0.0388
4.0000 -2.6359 0.0393
4.0200 -2.6492 0.0413
4.0400 -2.6626 0.0416
4.0600 -2.6759 0.0423
4.0800 -2.6893 0.0430
4.1000 -2.7026 0.0456
4.1200 -2.7159 0.0460
4.1400 -2.7293 0.0452
4.1600 -2.7426 0.0468
4.1800 -2.7559 0.0505
4.2000 -2.7692 0.0501
4.2200 -2.7826 0.0517
4.2400 -2.7959 0.0545
4.2600 -2.8093 0.0511
4.2800 -2.8226 0.0549
4.3000 -2.8360 0.0549
4.3200 -2.8493 0.0551
4.3400 -2.8626 0.0569
4.3600 -2.8759 0.0585
4.3800 -2.8892 0.0575
4.4000 -2.9025 0.0587
4.4200 -2.9159 0.0612
4.4400 -2.9292 0.0605
4.4600 -2.9425 0.0634
4.4800 -2.9559 0.0654
4.5000 -2.9693 0.0643
4.5200 -2.9826 0.0667
4.5400 -2.9959 0.0698
4.5600 -3.0093 0.0676
4.5800 -3.0226 0.0713
4.6000 -3.0360 0.0737
4.6200 -3.0493 0.0750
4.6400 -3.0626 0.0756
4.6600 -3.0759 0.0799
4.6800 -3.0892 0.0781
4.7000 -3.1026 0.0790
4.7200 -3.1159 0.0817
4.7400 -3.1292 0.0815
4.7600 -3.1426 0.0851
4.7800 -3.1559 0.0882
4.8000 -3.1692 0.0881
4.8200 -3.1826 0.0901
4.8400 -3.1959 0.0912
4.8600 -3.2093 0.0929
4.8800 -3.2227 0.0961
4.9000 -3.2359 0.0967
4.9200 -3.2493 0.0970
4.9400 -3.2626 0.1002
4.9600 -3.2760 0.1027
4.9800 -3.2893 0.1028
5.0000 -3.3026 0.1020
5.0200 -3.3159 0.1079
5.0400 -3.3293 0.1062
5.0600 -3.3426 0.1102
