Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.7138
0.0200 -0.0001 -0.7186
0.0400 -0.0019 -0.7337
0.0600 -0.0093 -0.7324
0.0800 -0.0211 -0.7169
0.1000 -0.0337 -0.7219
0.1200 -0.0464 -0.7187
0.1400 -0.0598 -0.7212
0.1600 -0.0738 -0.7174
0.1800 -0.0879 -0.7198
0.2000 -0.1017 -0.7134
0.2200 -0.1153 -0.7154
0.2400 -0.1287 -0.7161
0.2600 -0.1420 -0.7136
0.2800 -0.1553 -0.7149
0.3000 -0.1686 -0.7126
0.3200 -0.1820 -0.7130
0.3400 -0.1954 -0.7106
0.3600 -0.2087 -0.7138
0.3800 -0.2220 -0.7105
0.4000 -0.2353 -0.7123
0.4200 -0.2487 -0.7092
0.4400 -0.2620 -0.7078
0.4600 -0.2753 -0.7053
0.4800 -0.2887 -0.7068
0.5000 -0.3020 -0.7023
0.5200 -0.3154 -0.7042
0.5400 -0.3287 -0.7021
0.5600 -0.3421 -0.6995
0.5800 -0.3554 -0.7006
0.6000 -0.3687 -0.6979
0.6200 -0.3821 -0.6952
0.6400 -0.3954 -0.6965
0.6600 -0.4087 -0.6968
0.6800 -0.4220 -0.6907
0.7000 -0.4354 -0.6919
0.7200 -0.4487 -0.6880
0.7400 -0.4620 -0.6857
0.7600 -0.4753 -0.6870
0.7800 -0.4887 -0.6854
0.8000 -0.5020 -0.6825
0.8200 -0.5154 -0.6819
0.8400 -0.5287 -0.6797
0.8600 -0.5420 -0.6769
0.8800 -0.5554 -0.6781
0.9000 -0.5687 -0.6746
0.9200 -0.5820 -0.6735
0.9400 -0.5954 -0.6732
0.9600 -0.6087 -0.6724
0.9800 -0.6221 -0.6695
1.0000 -0.6354 -0.6680
1.0200 -0.6487 -0.6644
1.0400 -0.6620 -0.6610
1.0600 -0.6754 -0.6633
1.0800 -0.6887 -0.6609
1.1000 -0.7019 -0.6577
1.1200 -0.7152 -0.6566
1.1400 -0.7286 -0.6561
1.1600 -0.7420 -0.6529
1.1800 -0.7553 -0.6537
1.2000 -0.7687 -0.6510
1.2200 -0.7820 -0.6495
1.2400 -0.7954 -0.6471
1.2600 -0.8088 -0.6474
1.2800 -0.8221 -0.6447
1.3000 -0.8354 -0.6473
1.3200 -0.8488 -0.6432
1.3400 -0.8621 -0.6402
1.3600 -0.8754 -0.6394
1.3800 -0.8887 -0.6387
1.4000 -0.9020 -0.6354
1.4200 -0.9154 -0.6358
1.4400 -0.9287 -0.6338
1.4600 -0.9419 -0.6330
1.4800 -0.9553 -0.6328
1.5000 -0.9686 -0.6322
1.5200 -0.9820 -0.6305
1.5400 -0.9953 -0.6306
1.5600 -1.0087 -0.6291
1.5800 -1.0220 -0.6275
1.6000 -1.0354 -0.6294
1.6200 -1.0488 -0.6254
1.6400 -1.0621 -0.6240
1.6600 -1.0754 -0.6219
1.6800 -1.0887 -0.6216
1.7000 -1.1021 -0.6197
1.7200 -1.1154 -0.6211
1.7400 -1.1287 -0.6205
1.7600 -1.1420 -0.6182
1.7800 -1.1554 -0.6178
1.8000 -1.1687 -0.6153
1.8200 -1.1820 -0.6119
1.8400 -1.1953 -0.6113
1.8600 -1.2087 -0.6122
1.8800 -1.2221 -0.6065
1.9000 -1.2354 -0.6069
1.9200 -1.2487 -0.6051
1.9400 -1.2621 -0.6054
1.9600 -1.2754 -0.6029
1.9800 -1.2887 -0.6019
2.0000 -1.3020 -0.5994
2.0200 -1.3153 -0.5988
2.0400 -1.3287 -0.5973
2.0600 -1.3421 -0.5943
2.0800 -1.3554 -0.5962
2.1000 -1.3687 -0.5945
2.1200 -1.3820 -0.5931
2.1400 -1.3954 -0.5892
2.1600 -1.4087 -0.5924
2.1800 -1.4220 -0.5868
2.2000 -1.4353 -0.5905
2.2200 -1.4487 -0.5864
2.2400 -1.4620 -0.5871
2.2600 -1.4753 -0.5852
2.2800 -1.4887 -0.5874
2.3000 -1.5020 -0.5838
2.3200 -1.5154 -0.5838
2.3400 -1.5288 -0.5818
2.3600 -1.5421 -0.5794
2.3800 -1.5554 -0.5803
2.4000 -1.5688 -0.5780
2.4200 -1.5821 -0.5769
2.4400 -1.5954 -0.5745
2.4600 -1.6087 -0.5746
2.4800 -1.6220 -0.5711
2.5000 -1.6354 -0.5715
2.5200 -1.6487 -0.5702
2.5400 -1.6620 -0.5695
2.5600 -1.6753 -0.5665
2.5800 -1.6886 -0.5669
2.6000 -1.7020 -0.5643
2.6200 -1.7154 -0.5645
2.6400 -1.7287 -0.5650
2.6600 -1.7420 -0.5600
2.6800 -1.7554 -0.5615
2.7000 -1.7688 -0.5580
2.7200 -1.7821 -0.5565
2.7400 -1.7954 -0.5582
2.7600 -1.8087 -0.5587
2.7800 -1.8221 -0.5559
2.8000 -1.8354 -0.5537
2.8200 -1.8487 -0.5537
2.8400 -1.8620 -0.5509
2.8600 -1.8754 -0.5532
2.8800 -1.8887 -0.5508
2.9000 -1.9020 -0.5484
2.9200 -1.9153 -0.5460
2.9400 -1.9287 -0.5479
2.9600 -1.9420 -0.5440
2.9800 -1.9554 -0.5437
3.0000 -1.9687 -0.5419
3.0200 -1.9820 -0.5445
3.0400 -1.9954 -0.5411
3.0600 -2.0087 -0.5421
3.0800 -2.0221 -0.5370
3.1000 -2.0354 -0.5369
3.1200 -2.0487 -0.5366
3.1400 -2.0621 -0.5352
3.1600 -2.0754 -0.5322
3.1800 -2.0887 -0.5353
3.2000 -2.1021 -0.5320
3.2200 -2.1154 -0.5325
3.2400 -2.1287 -0.5316
3.2600 -2.1420 -0.5279
3.2800 -2.1553 -0.5276
3.3000 -2.1687 -0.5273
3.3200 -2.1820 -0.5240
3.3400 -2.1954 -0.5258
3.3600 -2.2087 -0.5241
3.3800 -2.2220 -0.5225
3.4000 -2.2354 -0.5200
3.4200 -2.2488 -0.5195
3.4400 -2.2621 -0.5174
3.4600 -2.2754 -0.5199
3.4800 -2.2887 -0.5182
3.5000 -2.3021 -0.5152
3.5200 -2.3154 -0.5148
3.5400 -2.3287 -0.5143
3.5600 -2.3420 -0.5128
3.5800 -2.3554 -0.5089
3.6000 -2.3687 -0.5077
3.6200 -2.3820 -0.5074
3.6400 -2.3953 -0.5100
3.6600 -2.4087 -0.5073
3.6800 -2.4220 -0.5054
3.7000 -2.4354 -0.5026
3.7200 -2.4487 -0.5063
3.7400 -2.4620 -0.5019
3.7600 -2.4754 -0.5034
3.7800 -2.4888 -0.4995
3.8000 -2.5021 -0.4996
3.8200 -2.5154 -0.5002
3.8400 -2.5287 -0.5005
3.8600 -2.5421 -0.4975
3.8800 -2.5554 -0.4969
3.9000 -2.5687 -0.4946
3.9200 -2.5820 -0.4937
3.9400 -2.5954 -0.4920
3.9600 -2.6087 -0.4929
3.9800 -2.6220 -0.4910
4.0000 -2.6353 -0.4902
4.0200 -2.6487 -0.4892
4.0400 -2.6621 -0.4874
4.0600 -2.6754 -0.4832
4.0800 -2.6887 -0.4861
4.1000 -2.7020 -0.4826
4.1200 -2.7154 -0.4847
4.1400 -2.7287 -0.4815
4.1600 -2.7421 -0.4791
4.1800 -2.7554 -0.4762
4.2000 -2.7687 -0.4790
4.2200 -2.7820 -0.4761
4.2400 -2.7954 -0.4755
4.2600 -2.8087 -0.4746
4.2800 -2.8221 -0.4732
4.3000 -2.8354 -0.4727
4.3200 -2.8488 -0.4707
4.3400 -2.8620 -0.4688
4.3600 -2.8753 -0.4697
4.3800 -2.8886 -0.4686
4.4000 -2.9020 -0.4666
4.4200 -2.9153 -0.4648
4.4400 -2.9286 -0.4650
4.4600 -2.9420 -0.4651
4.4800 -2.9553 -0.4620
4.5000 -2.9687 -0.4611
4.5200 -2.9821 -0.4593
4.5400 -2.9954 -0.4566
4.5600 -3.0087 -0.4602
4.5800 -3.0221 -0.4595
4.6000 -3.0355 -0.4596
4.6200 -3.0487 -0.4587
4.6400 -3.0620 -0.4559
4.6600 -3.0754 -0.4527
4.6800 -3.0887 -0.4533
4.7000 -3.1020 -0.4516
4.7200 -3.1153 -0.4516
4.7400 -3.1287 -0.4525
4.7600 -3.1420 -0.4507
4.7800 -3.1554 -0.4492
4.8000 -3.1687 -0.4490
4.8200 -3.1820 -0.4484
4.8400 -3.1954 -0.4456
4.8600 -3.2088 -0.4450
4.8800 -3.2221 -0.4417
4.9000 -3.2354 -0.4430
4.9200 -3.2487 -0.4412
4.9400 -3.2621 -0.4422
4.9600 -3.2754 -0.4379
