Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.4363
0.0200 -0.0001 0.4336
0.0400 -0.0020 0.4090
0.0600 -0.0093 0.3768
0.0800 -0.0212 0.3386
0.1000 -0.0338 0.2883
0.1200 -0.0466 0.2377
0.1400 -0.0598 0.1862
0.1600 -0.0737 0.1368
0.1800 -0.0878 0.0849
0.2000 -0.1017 0.0371
0.2200 -0.1153 -0.0106
0.2400 -0.1286 -0.0422
0.2600 -0.1420 -0.0705
0.2800 -0.1554 -0.1154
0.3000 -0.1687 -0.1727
0.3200 -0.1821 -0.2322
0.3400 -0.1954 -0.2865
0.3600 -0.2088 -0.3421
0.3800 -0.2222 -0.3905
0.4000 -0.2354 -0.4353
0.4200 -0.2487 -0.4827
0.4400 -0.2620 -0.5233
0.4600 -0.2753 -0.5399
0.4800 -0.2887 -0.5423
0.5000 -0.3020 -0.5415
0.5200 -0.3153 -0.5373
0.5400 -0.3287 -0.5383
0.5600 -0.3421 -0.5384
0.5800 -0.3554 -0.5372
0.6000 -0.3688 -0.5384
0.6200 -0.3821 -0.5370
0.6400 -0.3955 -0.5353
0.6600 -0.4088 -0.5349
0.6800 -0.4221 -0.5345
0.7000 -0.4354 -0.5342
0.7200 -0.4488 -0.5349
0.7400 -0.4621 -0.5353
0.7600 -0.4754 -0.5330
0.7800 -0.4888 -0.5334
0.8000 -0.5021 -0.5328
0.8200 -0.5154 -0.5308
0.8400 -0.5287 -0.5311
0.8600 -0.5420 -0.5302
0.8800 -0.5553 -0.5288
0.9000 -0.5687 -0.5288
0.9200 -0.5820 -0.5287
0.9400 -0.5953 -0.5275
0.9600 -0.6087 -0.5274
0.9800 -0.6220 -0.5271
1.0000 -0.6354 -0.5278
1.0200 -0.6487 -0.5248
1.0400 -0.6620 -0.5257
1.0600 -0.6754 -0.5218
1.0800 -0.6888 -0.5228
1.1000 -0.7021 -0.5207
1.1200 -0.7154 -0.5223
1.1400 -0.7287 -0.5215
1.1600 -0.7421 -0.5227
1.1800 -0.7554 -0.5205
1.2000 -0.7687 -0.5217
1.2200 -0.7820 -0.5181
1.2400 -0.7953 -0.5157
1.2600 -0.8087 -0.5133
1.2800 -0.8221 -0.5157
1.3000 -0.8354 -0.5138
1.3200 -0.8487 -0.5141
1.3400 -0.8621 -0.5152
1.3600 -0.8755 -0.5111
1.3800 -0.8888 -0.5115
1.4000 -0.9021 -0.5142
1.4200 -0.9154 -0.5103
1.4400 -0.9288 -0.5110
1.4600 -0.9421 -0.5098
1.4800 -0.9554 -0.5062
1.5000 -0.9687 -0.5061
1.5200 -0.9821 -0.5053
1.5400 -0.9954 -0.5031
1.5600 -1.0087 -0.5030
1.5800 -1.0220 -0.5034
1.6000 -1.0353 -0.5002
1.6200 -1.0487 -0.5005
1.6400 -1.0621 -0.5003
1.6600 -1.0754 -0.4980
1.6800 -1.0887 -0.5008
1.7000 -1.1021 -0.4996
1.7200 -1.1155 -0.4947
1.7400 -1.1288 -0.4959
1.7600 -1.1421 -0.4962
1.7800 -1.1555 -0.4958
1.8000 -1.1688 -0.4932
1.8200 -1.1822 -0.4938
1.8400 -1.1955 -0.4894
1.8600 -1.2088 -0.4905
1.8800 -1.2221 -0.4916
1.9000 -1.2354 -0.4893
1.9200 -1.2487 -0.4888
1.9400 -1.2620 -0.4899
1.9600 -1.2753 -0.4861
1.9800 -1.2887 -0.4858
2.0000 -1.3021 -0.4854
2.0200 -1.3154 -0.4846
2.0400 -1.3287 -0.4842
2.0600 -1.3421 -0.4856
2.0800 -1.3555 -0.4824
2.1000 -1.3688 -0.4819
2.1200 -1.3821 -0.4826
2.1400 -1.3955 -0.4796
2.1600 -1.4088 -0.4756
2.1800 -1.4221 -0.4753
2.2000 -1.4355 -0.4756
2.2200 -1.4487 -0.4771
2.2400 -1.4621 -0.4778
2.2600 -1.4754 -0.4731
2.2800 -1.4887 -0.4710
2.3000 -1.5020 -0.4740
2.3200 -1.5153 -0.4743
2.3400 -1.5287 -0.4723
2.3600 -1.5420 -0.4713
2.3800 -1.5554 -0.4704
2.4000 -1.5687 -0.4719
2.4200 -1.5821 -0.4729
2.4400 -1.5955 -0.4706
2.4600 -1.6088 -0.4676
2.4800 -1.6221 -0.4689
2.5000 -1.6354 -0.4661
2.5200 -1.6488 -0.4680
2.5400 -1.6621 -0.4704
2.5600 -1.6754 -0.4653
2.5800 -1.6887 -0.4618
2.6000 -1.7021 -0.4621
2.6200 -1.7154 -0.4621
2.6400 -1.7287 -0.4626
2.6600 -1.7420 -0.4646
2.6800 -1.7554 -0.4593
2.7000 -1.7687 -0.4586
2.7200 -1.7821 -0.4602
2.7400 -1.7954 -0.4591
2.7600 -1.8087 -0.4564
2.7800 -1.8221 -0.4563
2.8000 -1.8355 -0.4517
2.8200 -1.8488 -0.4518
2.8400 -1.8621 -0.4530
2.8600 -1.8753 -0.4558
2.8800 -1.8887 -0.4526
2.9000 -1.9021 -0.4526
2.9200 -1.9154 -0.4516
2.9400 -1.9287 -0.4519
2.9600 -1.9421 -0.4510
2.9800 -1.9554 -0.4506
3.0000 -1.9688 -0.4489
3.0200 -1.9821 -0.4518
3.0400 -1.9954 -0.4475
3.0600 -2.0087 -0.4492
3.0800 -2.0221 -0.4476
3.1000 -2.0354 -0.4475
3.1200 -2.0487 -0.4444
3.1400 -2.0621 -0.4482
3.1600 -2.0755 -0.4448
3.1800 -2.0888 -0.4420
3.2000 -2.1021 -0.4439
3.2200 -2.1154 -0.4424
3.2400 -2.1288 -0.4436
3.2600 -2.1422 -0.4436
3.2800 -2.1555 -0.4409
3.3000 -2.1688 -0.4383
3.3200 -2.1821 -0.4398
3.3400 -2.1955 -0.4371
3.3600 -2.2088 -0.4387
3.3800 -2.2221 -0.4368
3.4000 -2.2353 -0.4394
3.4200 -2.2487 -0.4334
3.4400 -2.2621 -0.4371
3.4600 -2.2754 -0.4338
3.4800 -2.2887 -0.4332
3.5000 -2.3021 -0.4344
3.5200 -2.3154 -0.4329
3.5400 -2.3288 -0.4308
3.5600 -2.3421 -0.4326
3.5800 -2.3554 -0.4302
3.6000 -2.3688 -0.4292
3.6200 -2.3821 -0.4296
3.6400 -2.3954 -0.4288
3.6600 -2.4087 -0.4284
3.6800 -2.4221 -0.4286
3.7000 -2.4354 -0.4262
3.7200 -2.4488 -0.4236
3.7400 -2.4621 -0.4278
3.7600 -2.4753 -0.4236
3.7800 -2.4887 -0.4228
3.8000 -2.5021 -0.4231
3.8200 -2.5154 -0.4198
3.8400 -2.5287 -0.4208
3.8600 -2.5420 -0.4224
3.8800 -2.5554 -0.4222
3.9000 -2.5688 -0.4196
3.9200 -2.5821 -0.4208
3.9400 -2.5954 -0.4172
3.9600 -2.6087 -0.4174
3.9800 -2.6221 -0.4165
4.0000 -2.6355 -0.4178
4.0200 -2.6488 -0.4159
4.0400 -2.6621 -0.4178
4.0600 -2.6754 -0.4146
4.0800 -2.6888 -0.4126
4.1000 -2.7021 -0.4146
4.1200 -2.7154 -0.4137
4.1400 -2.7287 -0.4133
4.1600 -2.7421 -0.4131
4.1800 -2.7554 -0.4142
4.2000 -2.7688 -0.4113
4.2200 -2.7821 -0.4130
4.2400 -2.7954 -0.4097
4.2600 -2.8088 -0.4102
4.2800 -2.8221 -0.4101
4.3000 -2.8354 -0.4083
4.3200 -2.8488 -0.4070
4.3400 -2.8621 -0.4088
4.3600 -2.8754 -0.4061
4.3800 -2.8887 -0.4077
4.4000 -2.9021 -0.4071
4.4200 -2.9154 -0.4058
4.4400 -2.9288 -0.4050
4.4600 -2.9421 -0.4038
4.4800 -2.9554 -0.4038
4.5000 -2.9687 -0.4021
4.5200 -2.9821 -0.4041
4.5400 -2.9954 -0.4009
4.5600 -3.0088 -0.4001
4.5800 -3.0221 -0.4016
4.6000 -3.0354 -0.4003
4.6200 -3.0488 -0.3977
4.6400 -3.0621 -0.3993
4.6600 -3.0754 -0.3971
4.6800 -3.0887 -0.3956
4.7000 -3.1021 -0.3976
4.7200 -3.1155 -0.3976
4.7400 -3.1288 -0.3941
4.7600 -3.1421 -0.3961
4.7800 -3.1554 -0.3953
4.8000 -3.1688 -0.3919
4.8200 -3.1821 -0.3941
4.8400 -3.1954 -0.3913
4.8600 -3.2087 -0.3905
4.8800 -3.2221 -0.3916
4.9000 -3.2354 -0.3905
4.9200 -3.2487 -0.3902
4.9400 -3.2621 -0.3906
4.9600 -3.2754 -0.3885
4.9800 -3.2888 -0.3868
