Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 -0.0001 -0.6741
0.0200 -0.0001 -0.6755
0.0400 -0.0020 -0.6886
0.0600 -0.0095 -0.6857
0.0800 -0.0214 -0.6718
0.1000 -0.0341 -0.6723
0.1200 -0.0468 -0.6720
0.1400 -0.0602 -0.6738
0.1600 -0.0741 -0.6689
0.1800 -0.0881 -0.6716
0.2000 -0.1019 -0.6675
0.2200 -0.1155 -0.6689
0.2400 -0.1289 -0.6675
0.2600 -0.1422 -0.6673
0.2800 -0.1555 -0.6670
0.3000 -0.1688 -0.6645
0.3200 -0.1822 -0.6636
0.3400 -0.1955 -0.6609
0.3600 -0.2089 -0.6608
0.3800 -0.2222 -0.6629
0.4000 -0.2355 -0.6625
0.4200 -0.2489 -0.6604
0.4400 -0.2622 -0.6597
0.4600 -0.2756 -0.6573
0.4800 -0.2889 -0.6573
0.5000 -0.3022 -0.6543
0.5200 -0.3156 -0.6519
0.5400 -0.3290 -0.6523
0.5600 -0.3423 -0.6507
0.5800 -0.3556 -0.6504
0.6000 -0.3689 -0.6477
0.6200 -0.3823 -0.6462
0.6400 -0.3956 -0.6452
0.6600 -0.4089 -0.6430
0.6800 -0.4222 -0.6415
0.7000 -0.4356 -0.6405
0.7200 -0.4489 -0.6380
0.7400 -0.4622 -0.6392
0.7600 -0.4755 -0.6368
0.7800 -0.4889 -0.6359
0.8000 -0.5022 -0.6320
0.8200 -0.5156 -0.6309
0.8400 -0.5289 -0.6296
0.8600 -0.5423 -0.6281
0.8800 -0.5556 -0.6254
0.9000 -0.5689 -0.6240
0.9200 -0.5822 -0.6232
0.9400 -0.5956 -0.6206
0.9600 -0.6089 -0.6202
0.9800 -0.6223 -0.6183
1.0000 -0.6356 -0.6155
1.0200 -0.6489 -0.6161
1.0400 -0.6622 -0.6140
1.0600 -0.6756 -0.6091
1.0800 -0.6889 -0.6081
1.1000 -0.7021 -0.6057
1.1200 -0.7154 -0.6062
1.1400 -0.7288 -0.6021
1.1600 -0.7422 -0.6008
1.1800 -0.7556 -0.6012
1.2000 -0.7689 -0.6001
1.2200 -0.7823 -0.5978
1.2400 -0.7956 -0.5961
1.2600 -0.8090 -0.5933
1.2800 -0.8223 -0.5951
1.3000 -0.8356 -0.5919
1.3200 -0.8490 -0.5937
1.3400 -0.8623 -0.5914
1.3600 -0.8756 -0.5907
1.3800 -0.8889 -0.5876
1.4000 -0.9023 -0.5885
1.4200 -0.9156 -0.5863
1.4400 -0.9289 -0.5825
1.4600 -0.9422 -0.5819
1.4800 -0.9555 -0.5812
1.5000 -0.9688 -0.5820
1.5200 -0.9822 -0.5805
1.5400 -0.9955 -0.5773
1.5600 -1.0089 -0.5760
1.5800 -1.0222 -0.5753
1.6000 -1.0356 -0.5729
1.6200 -1.0490 -0.5707
1.6400 -1.0623 -0.5697
1.6600 -1.0756 -0.5705
1.6800 -1.0890 -0.5689
1.7000 -1.1023 -0.5685
1.7200 -1.1156 -0.5670
1.7400 -1.1289 -0.5639
1.7600 -1.1422 -0.5623
1.7800 -1.1556 -0.5605
1.8000 -1.1689 -0.5586
1.8200 -1.1822 -0.5578
1.8400 -1.1955 -0.5580
1.8600 -1.2089 -0.5560
1.8800 -1.2223 -0.5546
1.9000 -1.2356 -0.5551
1.9200 -1.2489 -0.5523
1.9400 -1.2623 -0.5503
1.9600 -1.2756 -0.5497
1.9800 -1.2890 -0.5467
2.0000 -1.3022 -0.5450
2.0200 -1.3155 -0.5442
2.0400 -1.3289 -0.5426
2.0600 -1.3423 -0.5423
2.0800 -1.3556 -0.5405
2.1000 -1.3689 -0.5383
2.1200 -1.3823 -0.5373
2.1400 -1.3956 -0.5351
2.1600 -1.4090 -0.5349
2.1800 -1.4222 -0.5317
2.2000 -1.4356 -0.5324
2.2200 -1.4489 -0.5273
2.2400 -1.4622 -0.5293
2.2600 -1.4755 -0.5283
2.2800 -1.4888 -0.5276
2.3000 -1.5022 -0.5260
2.3200 -1.5156 -0.5243
2.3400 -1.5290 -0.5221
2.3600 -1.5423 -0.5228
2.3800 -1.5556 -0.5215
2.4000 -1.5690 -0.5199
2.4200 -1.5823 -0.5193
2.4400 -1.5956 -0.5166
2.4600 -1.6089 -0.5156
2.4800 -1.6222 -0.5143
2.5000 -1.6356 -0.5146
2.5200 -1.6489 -0.5126
2.5400 -1.6622 -0.5142
2.5600 -1.6755 -0.5116
2.5800 -1.6888 -0.5104
2.6000 -1.7022 -0.5084
2.6200 -1.7156 -0.5070
2.6400 -1.7289 -0.5056
2.6600 -1.7422 -0.5048
2.6800 -1.7556 -0.5022
2.7000 -1.7690 -0.5002
2.7200 -1.7823 -0.4997
2.7400 -1.7956 -0.4994
2.7600 -1.8089 -0.4978
2.7800 -1.8223 -0.4978
2.8000 -1.8356 -0.4969
2.8200 -1.8489 -0.4954
2.8400 -1.8622 -0.4937
2.8600 -1.8756 -0.4915
2.8800 -1.8889 -0.4891
2.9000 -1.9022 -0.4889
2.9200 -1.9155 -0.4889
2.9400 -1.9289 -0.4879
2.9600 -1.9422 -0.4856
2.9800 -1.9556 -0.4870
3.0000 -1.9689 -0.4842
3.0200 -1.9822 -0.4854
3.0400 -1.9956 -0.4826
3.0600 -2.0090 -0.4818
3.0800 -2.0223 -0.4803
3.1000 -2.0356 -0.4800
3.1200 -2.0489 -0.4770
3.1400 -2.0623 -0.4770
3.1600 -2.0756 -0.4743
3.1800 -2.0889 -0.4770
3.2000 -2.1023 -0.4745
3.2200 -2.1156 -0.4741
3.2400 -2.1289 -0.4703
3.2600 -2.1422 -0.4701
3.2800 -2.1555 -0.4706
3.3000 -2.1689 -0.4705
3.3200 -2.1822 -0.4687
3.3400 -2.1956 -0.4683
3.3600 -2.2089 -0.4646
3.3800 -2.2222 -0.4640
3.4000 -2.2356 -0.4651
3.4200 -2.2490 -0.4626
3.4400 -2.2623 -0.4625
3.4600 -2.2756 -0.4605
3.4800 -2.2889 -0.4595
3.5000 -2.3023 -0.4569
3.5200 -2.3156 -0.4571
3.5400 -2.3289 -0.4553
3.5600 -2.3422 -0.4533
3.5800 -2.3556 -0.4526
3.6000 -2.3689 -0.4507
3.6200 -2.3822 -0.4481
3.6400 -2.3955 -0.4496
3.6600 -2.4089 -0.4473
3.6800 -2.4222 -0.4461
3.7000 -2.4356 -0.4437
3.7200 -2.4489 -0.4437
3.7400 -2.4622 -0.4408
3.7600 -2.4756 -0.4428
3.7800 -2.4890 -0.4408
3.8000 -2.5023 -0.4394
3.8200 -2.5156 -0.4390
3.8400 -2.5289 -0.4381
3.8600 -2.5423 -0.4372
3.8800 -2.5556 -0.4371
3.9000 -2.5689 -0.4342
3.9200 -2.5822 -0.4348
3.9400 -2.5956 -0.4344
3.9600 -2.6089 -0.4311
3.9800 -2.6222 -0.4303
4.0000 -2.6355 -0.4302
4.0200 -2.6489 -0.4279
4.0400 -2.6623 -0.4274
4.0600 -2.6756 -0.4275
4.0800 -2.6889 -0.4264
4.1000 -2.7022 -0.4231
4.1200 -2.7156 -0.4238
4.1400 -2.7290 -0.4238
4.1600 -2.7423 -0.4230
4.1800 -2.7556 -0.4208
4.2000 -2.7689 -0.4193
4.2200 -2.7823 -0.4182
4.2400 -2.7956 -0.4181
4.2600 -2.8089 -0.4165
4.2800 -2.8223 -0.4161
4.3000 -2.8356 -0.4148
4.3200 -2.8489 -0.4146
4.3400 -2.8622 -0.4135
4.3600 -2.8755 -0.4132
4.3800 -2.8889 -0.4124
4.4000 -2.9022 -0.4106
4.4200 -2.9155 -0.4098
4.4400 -2.9288 -0.4091
4.4600 -2.9422 -0.4089
4.4800 -2.9556 -0.4073
4.5000 -2.9690 -0.4055
4.5200 -2.9823 -0.4040
4.5400 -2.9956 -0.4051
4.5600 -3.0089 -0.4040
4.5800 -3.0223 -0.4010
4.6000 -3.0357 -0.4000
4.6200 -3.0489 -0.3983
4.6400 -3.0622 -0.3988
4.6600 -3.0755 -0.3994
4.6800 -3.0889 -0.3991
4.7000 -3.1022 -0.3979
4.7200 -3.1155 -0.3954
4.7400 -3.1289 -0.3947
4.7600 -3.1422 -0.3950
4.7800 -3.1556 -0.3941
4.8000 -3.1689 -0.3946
4.8200 -3.1822 -0.3915
4.8400 -3.1956 -0.3918
4.8600 -3.2090 -0.3892
4.8800 -3.2223 -0.3899
4.9000 -3.2356 -0.3897
4.9200 -3.2489 -0.3891
4.9400 -3.2623 -0.3863
4.9600 -3.2756 -0.3861
