Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0018
0.0200 0.0001 -0.0023
0.0400 0.0016 0.0142
0.0600 0.0083 0.0111
0.0800 0.0198 -0.0022
0.1000 0.0321 0.0011
0.1200 0.0447 0.0004
0.1400 0.0579 0.0000
0.1600 0.0720 0.0000
0.1800 0.0862 -0.0005
0.2000 0.1002 -0.0002
0.2200 0.1139 0.0004
0.2400 0.1273 0.0024
0.2600 0.1406 0.0017
0.2800 0.1540 0.0041
0.3000 0.1673 0.0011
0.3200 0.1807 0.0027
0.3400 0.1940 0.0033
0.3600 0.2074 0.0051
0.3800 0.2208 0.0057
0.4000 0.2341 0.0070
0.4200 0.2474 0.0056
0.4400 0.2608 0.0066
0.4600 0.2741 0.0107
0.4800 0.2875 0.0078
0.5000 0.3008 0.0093
0.5200 0.3141 0.0102
0.5400 0.3274 0.0161
0.5600 0.3408 0.0129
0.5800 0.3541 0.0180
0.6000 0.3674 0.0175
0.6200 0.3807 0.0185
0.6400 0.3941 0.0190
0.6600 0.4074 0.0217
0.6800 0.4207 0.0218
0.7000 0.4341 0.0266
0.7200 0.4474 0.0253
0.7400 0.4608 0.0266
0.7600 0.4741 0.0305
0.7800 0.4874 0.0321
0.8000 0.5008 0.0326
0.8200 0.5141 0.0374
0.8400 0.5275 0.0374
0.8600 0.5408 0.0394
0.8800 0.5541 0.0434
0.9000 0.5674 0.0431
0.9200 0.5808 0.0436
0.9400 0.5941 0.0443
0.9600 0.6074 0.0478
0.9800 0.6207 0.0490
1.0000 0.6340 0.0507
1.0200 0.6474 0.0516
1.0400 0.6607 0.0521
1.0600 0.6740 0.0555
1.0800 0.6874 0.0575
1.1000 0.7007 0.0594
1.1200 0.7141 0.0603
1.1400 0.7274 0.0640
1.1600 0.7408 0.0627
1.1800 0.7541 0.0690
1.2000 0.7675 0.0684
1.2200 0.7808 0.0706
1.2400 0.7941 0.0704
1.2600 0.8074 0.0733
1.2800 0.8208 0.0721
1.3000 0.8341 0.0753
1.3200 0.8474 0.0767
1.3400 0.8607 0.0775
1.3600 0.8740 0.0810
1.3800 0.8874 0.0799
1.4000 0.9007 0.0817
1.4200 0.9140 0.0832
1.4400 0.9274 0.0866
1.4600 0.9408 0.0862
1.4800 0.9541 0.0896
1.5000 0.9674 0.0893
1.5200 0.9807 0.0912
1.5400 0.9941 0.0936
1.5600 1.0074 0.0952
1.5800 1.0208 0.0928
1.6000 1.0341 0.0956
1.6200 1.0474 0.0965
1.6400 1.0608 0.0969
1.6600 1.0741 0.1013
1.6800 1.0874 0.1018
1.7000 1.1007 0.1010
1.7200 1.1140 0.1040
1.7400 1.1274 0.1041
1.7600 1.1407 0.1055
1.7800 1.1541 0.1068
1.8000 1.1674 0.1089
1.8200 1.1808 0.1090
1.8400 1.1941 0.1125
1.8600 1.2074 0.1145
1.8800 1.2208 0.1142
1.9000 1.2341 0.1156
1.9200 1.2475 0.1168
1.9400 1.2608 0.1179
1.9600 1.2741 0.1197
1.9800 1.2874 0.1207
2.0000 1.3008 0.1214
2.0200 1.3141 0.1240
2.0400 1.3274 0.1257
2.0600 1.3407 0.1248
2.0800 1.3540 0.1283
2.1000 1.3674 0.1290
2.1200 1.3807 0.1273
2.1400 1.3941 0.1292
2.1600 1.4074 0.1314
2.1800 1.4208 0.1304
2.2000 1.4341 0.1351
2.2200 1.4474 0.1352
2.2400 1.4607 0.1358
2.2600 1.4741 0.1375
2.2800 1.4875 0.1387
2.3000 1.5008 0.1387
2.3200 1.5141 0.1430
2.3400 1.5274 0.1429
2.3600 1.5408 0.1421
2.3800 1.5541 0.1450
2.4000 1.5674 0.1465
2.4200 1.5807 0.1460
2.4400 1.5941 0.1483
2.4600 1.6074 0.1492
2.4800 1.6207 0.1499
2.5000 1.6340 0.1516
2.5200 1.6473 0.1523
2.5400 1.6607 0.1522
2.5600 1.6741 0.1543
2.5800 1.6875 0.1570
2.6000 1.7008 0.1575
2.6200 1.7141 0.1582
2.6400 1.7275 0.1589
2.6600 1.7408 0.1565
2.6800 1.7541 0.1596
2.7000 1.7674 0.1627
2.7200 1.7807 0.1620
2.7400 1.7941 0.1639
2.7600 1.8074 0.1650
2.7800 1.8207 0.1651
2.8000 1.8340 0.1686
2.8200 1.8474 0.1692
2.8400 1.8607 0.1687
2.8600 1.8740 0.1702
2.8800 1.8874 0.1721
2.9000 1.9008 0.1700
2.9200 1.9141 0.1732
2.9400 1.9275 0.1759
2.9600 1.9408 0.1735
2.9800 1.9541 0.1760
3.0000 1.9675 0.1763
3.0200 1.9808 0.1761
3.0400 1.9941 0.1800
3.0600 2.0074 0.1804
3.0800 2.0207 0.1791
3.1000 2.0341 0.1801
3.1200 2.0474 0.1823
3.1400 2.0607 0.1834
3.1600 2.0740 0.1830
3.1800 2.0874 0.1852
3.2000 2.1007 0.1830
3.2200 2.1141 0.1860
3.2400 2.1274 0.1882
3.2600 2.1408 0.1876
3.2800 2.1542 0.1893
3.3000 2.1675 0.1913
3.3200 2.1808 0.1904
3.3400 2.1941 0.1921
3.3600 2.2075 0.1939
3.3800 2.2208 0.1931
3.4000 2.2341 0.1931
3.4200 2.2474 0.1961
3.4400 2.2607 0.1947
3.4600 2.2741 0.1974
3.4800 2.2874 0.1998
3.5000 2.3007 0.1984
3.5200 2.3140 0.2001
3.5400 2.3273 0.2022
3.5600 2.3407 0.2009
3.5800 2.3540 0.2015
3.6000 2.3674 0.2037
3.6200 2.3808 0.2038
3.6400 2.3942 0.2034
3.6600 2.4075 0.2065
3.6800 2.4208 0.2050
3.7000 2.4341 0.2088
3.7200 2.4475 0.2112
3.7400 2.4608 0.2101
3.7600 2.4741 0.2116
3.7800 2.4874 0.2139
3.8000 2.5007 0.2115
3.8200 2.5141 0.2149
3.8400 2.5274 0.2139
3.8600 2.5407 0.2124
3.8800 2.5540 0.2148
3.9000 2.5674 0.2184
3.9200 2.5807 0.2180
3.9400 2.5940 0.2193
3.9600 2.6073 0.2198
3.9800 2.6207 0.2189
4.0000 2.6341 0.2220
4.0200 2.6475 0.2245
4.0400 2.6608 0.2210
4.0600 2.6742 0.2224
4.0800 2.6875 0.2246
4.1000 2.7009 0.2237
4.1200 2.7142 0.2266
4.1400 2.7274 0.2270
4.1600 2.7407 0.2287
4.1800 2.7541 0.2284
4.2000 2.7674 0.2298
4.2200 2.7807 0.2291
4.2400 2.7940 0.2308
4.2600 2.8074 0.2305
4.2800 2.8207 0.2311
4.3000 2.8341 0.2326
4.3200 2.8474 0.2341
4.3400 2.8607 0.2324
4.3600 2.8741 0.2348
4.3800 2.8874 0.2363
4.4000 2.9007 0.2395
4.4200 2.9141 0.2373
4.4400 2.9275 0.2400
4.4600 2.9408 0.2382
4.4800 2.9541 0.2372
4.5000 2.9674 0.2397
4.5200 2.9808 0.2399
4.5400 2.9941 0.2416
4.5600 3.0074 0.2437
4.5800 3.0207 0.2412
4.6000 3.0340 0.2435
4.6200 3.0474 0.2462
4.6400 3.0607 0.2482
4.6600 3.0740 0.2480
4.6800 3.0874 0.2486
4.7000 3.1007 0.2484
4.7200 3.1141 0.2485
4.7400 3.1275 0.2504
4.7600 3.1408 0.2506
4.7800 3.1542 0.2497
4.8000 3.1675 0.2512
4.8200 3.1808 0.2505
4.8400 3.1941 0.2522
4.8600 3.2074 0.2564
4.8800 3.2207 0.2548
4.9000 3.2340 0.2543
4.9200 3.2473 0.2568
4.9400 3.2606 0.2562
4.9600 3.2740 0.2581
4.9800 3.2874 0.2578
5.0000 3.3007 0.2578
5.0200 3.3140 0.2570
5.0400 3.3274 0.2603
5.0600 3.3407 0.2604
5.0800 3.3541 0.2619
5.1000 3.3675 0.2627
5.1200 3.3808 0.2607
5.1400 3.3941 0.2616
5.1600 3.4074 0.2631
5.1800 3.4208 0.2636
5.2000 3.4341 0.2643
5.2200 3.4474 0.2648
5.2400 3.4607 0.2648
5.2600 3.4740 0.2668
5.2800 3.4874 0.2673
5.3000 3.5007 0.2680
5.3200 3.5140 0.2678
5.3400 3.5274 0.2704
5.3600 3.5407 0.2691
5.3800 3.5541 0.2718
5.4000 3.5674 0.2739
5.4200 3.5808 0.2711
5.4400 3.5941 0.2732
5.4600 3.6075 0.2744
5.4800 3.6208 0.2755
5.5000 3.6341 0.2739
5.5200 3.6475 0.2765
5.5400 3.6608 0.2752
5.5600 3.6742 0.2772
5.5800 3.6874 0.2785
5.6000 3.7007 0.2765
5.6200 3.7141 0.2780
