Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.1566
0.0200 0.0001 0.1761
0.0400 0.0020 0.2291
0.0600 0.0097 0.2382
0.0800 0.0215 0.1533
0.1000 0.0340 0.1402
0.1200 0.0466 0.1982
0.1400 0.0600 0.1641
0.1600 0.0741 0.1526
0.1800 0.0883 0.1788
0.2000 0.1022 0.1531
0.2200 0.1158 0.1514
0.2400 0.1292 0.1767
0.2600 0.1425 0.1577
0.2800 0.1558 0.1684
0.3000 0.1692 0.1753
0.3200 0.1826 0.1529
0.3400 0.1959 0.1760
0.3600 0.2092 0.1718
0.3800 0.2226 0.1587
0.4000 0.2359 0.1784
0.4200 0.2492 0.1660
0.4400 0.2625 0.1600
0.4600 0.2758 0.1745
0.4800 0.2892 0.1657
0.5000 0.3025 0.1631
0.5200 0.3159 0.1696
0.5400 0.3292 0.1637
0.5600 0.3425 0.1610
0.5800 0.3559 0.1727
0.6000 0.3692 0.1639
0.6200 0.3826 0.1626
0.6400 0.3959 0.1700
0.6600 0.4093 0.1638
0.6800 0.4226 0.1659
0.7000 0.4359 0.1669
0.7200 0.4493 0.1673
0.7400 0.4626 0.1639
0.7600 0.4759 0.1669
0.7800 0.4893 0.1653
0.8000 0.5026 0.1634
0.8200 0.5159 0.1684
0.8400 0.5292 0.1606
0.8600 0.5426 0.1606
0.8800 0.5559 0.1666
0.9000 0.5691 0.1670
0.9200 0.5825 0.1615
0.9400 0.5958 0.1622
0.9600 0.6092 0.1599
0.9800 0.6225 0.1541
1.0000 0.6358 0.1656
1.0200 0.6492 0.1613
1.0400 0.6626 0.1494
1.0600 0.6759 0.1661
1.0800 0.6893 0.1564
1.1000 0.7026 0.1517
1.1200 0.7159 0.1607
1.1400 0.7292 0.1569
1.1600 0.7425 0.1492
1.1800 0.7559 0.1616
1.2000 0.7692 0.1551
1.2200 0.7826 0.1496
1.2400 0.7959 0.1659
1.2600 0.8092 0.1520
1.2800 0.8225 0.1502
1.3000 0.8358 0.1637
1.3200 0.8492 0.1511
1.3400 0.8625 0.1509
1.3600 0.8759 0.1665
1.3800 0.8892 0.1551
1.4000 0.9026 0.1528
1.4200 0.9159 0.1620
1.4400 0.9292 0.1520
1.4600 0.9426 0.1530
1.4800 0.9559 0.1623
1.5000 0.9693 0.1512
1.5200 0.9826 0.1580
1.5400 0.9959 0.1622
1.5600 1.0092 0.1535
1.5800 1.0225 0.1542
1.6000 1.0358 0.1659
1.6200 1.0491 0.1490
1.6400 1.0625 0.1534
1.6600 1.0758 0.1627
1.6800 1.0892 0.1471
1.7000 1.1025 0.1496
1.7200 1.1159 0.1596
1.7400 1.1293 0.1430
1.7600 1.1427 0.1534
1.7800 1.1560 0.1557
1.8000 1.1693 0.1466
1.8200 1.1826 0.1538
1.8400 1.1959 0.1512
1.8600 1.2093 0.1493
1.8800 1.2226 0.1467
1.9000 1.2359 0.1531
1.9200 1.2492 0.1515
1.9400 1.2626 0.1442
1.9600 1.2759 0.1494
1.9800 1.2892 0.1474
2.0000 1.3025 0.1493
2.0200 1.3158 0.1512
2.0400 1.3292 0.1494
2.0600 1.3425 0.1436
2.0800 1.3559 0.1525
2.1000 1.3692 0.1503
2.1200 1.3826 0.1371
2.1400 1.3960 0.1565
2.1600 1.4093 0.1479
2.1800 1.4226 0.1416
2.2000 1.4359 0.1553
2.2200 1.4493 0.1482
2.2400 1.4625 0.1448
2.2600 1.4758 0.1576
2.2800 1.4892 0.1456
2.3000 1.5025 0.1423
2.3200 1.5158 0.1615
2.3400 1.5292 0.1469
2.3600 1.5425 0.1390
2.3800 1.5559 0.1579
2.4000 1.5693 0.1455
2.4200 1.5826 0.1418
2.4400 1.5959 0.1565
2.4600 1.6092 0.1413
2.4800 1.6226 0.1406
2.5000 1.6359 0.1563
2.5200 1.6492 0.1410
2.5400 1.6625 0.1413
2.5600 1.6759 0.1553
2.5800 1.6892 0.1424
2.6000 1.7026 0.1425
2.6200 1.7159 0.1533
2.6400 1.7293 0.1413
2.6600 1.7426 0.1420
2.6800 1.7559 0.1485
2.7000 1.7692 0.1416
2.7200 1.7825 0.1368
2.7400 1.7959 0.1476
2.7600 1.8092 0.1449
2.7800 1.8225 0.1337
2.8000 1.8358 0.1484
2.8200 1.8492 0.1411
2.8400 1.8626 0.1312
2.8600 1.8759 0.1506
2.8800 1.8893 0.1385
2.9000 1.9026 0.1326
2.9200 1.9159 0.1527
2.9400 1.9293 0.1363
2.9600 1.9426 0.1322
2.9800 1.9559 0.1528
3.0000 1.9692 0.1356
3.0200 1.9826 0.1314
3.0400 1.9959 0.1528
3.0600 2.0092 0.1298
3.0800 2.0225 0.1310
3.1000 2.0358 0.1501
3.1200 2.0492 0.1270
3.1400 2.0625 0.1332
3.1600 2.0759 0.1432
3.1800 2.0892 0.1265
3.2000 2.1026 0.1376
3.2200 2.1160 0.1395
3.2400 2.1293 0.1279
3.2600 2.1426 0.1372
3.2800 2.1560 0.1399
3.3000 2.1693 0.1265
3.3200 2.1826 0.1374
3.3400 2.1959 0.1377
3.3600 2.2092 0.1290
3.3800 2.2226 0.1369
3.4000 2.2359 0.1363
3.4200 2.2492 0.1304
3.4400 2.2625 0.1350
3.4600 2.2759 0.1322
3.4800 2.2892 0.1283
3.5000 2.3025 0.1350
3.5200 2.3159 0.1361
3.5400 2.3292 0.1288
3.5600 2.3426 0.1323
3.5800 2.3559 0.1355
3.6000 2.3693 0.1307
3.6200 2.3826 0.1297
3.6400 2.3960 0.1303
3.6600 2.4093 0.1305
3.6800 2.4226 0.1236
3.7000 2.4359 0.1325
3.7200 2.4492 0.1303
3.7400 2.4626 0.1272
3.7600 2.4759 0.1317
3.7800 2.4892 0.1281
3.8000 2.5025 0.1270
3.8200 2.5158 0.1344
3.8400 2.5292 0.1290
3.8600 2.5425 0.1310
3.8800 2.5558 0.1345
3.9000 2.5692 0.1295
3.9200 2.5826 0.1293
3.9400 2.5960 0.1308
3.9600 2.6093 0.1314
3.9800 2.6226 0.1329
4.0000 2.6359 0.1302
4.0200 2.6493 0.1278
4.0400 2.6626 0.1284
4.0600 2.6759 0.1339
4.0800 2.6892 0.1284
4.1000 2.7026 0.1274
4.1200 2.7159 0.1304
4.1400 2.7292 0.1293
4.1600 2.7425 0.1272
4.1800 2.7558 0.1286
4.2000 2.7692 0.1286
4.2200 2.7825 0.1271
4.2400 2.7958 0.1260
4.2600 2.8092 0.1314
4.2800 2.8226 0.1294
4.3000 2.8360 0.1275
4.3200 2.8493 0.1276
4.3400 2.8626 0.1289
4.3600 2.8759 0.1298
4.3800 2.8893 0.1275
4.4000 2.9026 0.1345
4.4200 2.9159 0.1254
4.4400 2.9292 0.1249
4.4600 2.9425 0.1347
4.4800 2.9559 0.1215
4.5000 2.9692 0.1272
4.5200 2.9825 0.1345
4.5400 2.9959 0.1174
4.5600 3.0092 0.1301
4.5800 3.0225 0.1324
4.6000 3.0359 0.1191
4.6200 3.0492 0.1291
4.6400 3.0625 0.1328
4.6600 3.0759 0.1152
4.6800 3.0892 0.1283
4.7000 3.1025 0.1342
4.7200 3.1159 0.1134
4.7400 3.1293 0.1294
4.7600 3.1426 0.1359
4.7800 3.1559 0.1137
4.8000 3.1693 0.1298
4.8200 3.1826 0.1323
4.8400 3.1959 0.1135
4.8600 3.2092 0.1297
4.8800 3.2225 0.1300
4.9000 3.2358 0.1130
4.9200 3.2491 0.1304
4.9400 3.2625 0.1288
4.9600 3.2758 0.1135
4.9800 3.2892 0.1315
5.0000 3.3026 0.1245
5.0200 3.3160 0.1119
5.0400 3.3293 0.1283
5.0600 3.3426 0.1225
5.0800 3.3560 0.1134
5.1000 3.3693 0.1248
5.1200 3.3826 0.1228
5.1400 3.3959 0.1143
5.1600 3.4092 0.1197
5.1800 3.4225 0.1243
5.2000 3.4359 0.1107
5.2200 3.4492 0.1230
5.2400 3.4625 0.1194
5.2600 3.4758 0.1130
5.2800 3.4892 0.1175
5.3000 3.5025 0.1213
5.3200 3.5158 0.1129
5.3400 3.5292 0.1181
5.3600 3.5426 0.1212
5.3800 3.5560 0.1096
5.4000 3.5693 0.1169
5.4200 3.5826 0.1188
5.4400 3.5960 0.1120
5.4600 3.6093 0.1185
5.4800 3.6226 0.1121
5.5000 3.6359 0.1156
5.5200 3.6492 0.1160
5.5400 3.6625 0.1137
5.5600 3.6759 0.1106
5.5800 3.6892 0.1187
5.6000 3.7025 0.1141
5.6200 3.7158 0.1091
