Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.2450
0.0200 0.0001 0.2576
0.0400 0.0022 0.3235
0.0600 0.0101 0.3203
0.0800 0.0221 0.2302
0.1000 0.0346 0.2438
0.1200 0.0473 0.2761
0.1400 0.0607 0.2433
0.1600 0.0748 0.2499
0.1800 0.0889 0.2564
0.2000 0.1028 0.2337
0.2200 0.1164 0.2506
0.2400 0.1297 0.2608
0.2600 0.1430 0.2389
0.2800 0.1564 0.2590
0.3000 0.1698 0.2571
0.3200 0.1831 0.2390
0.3400 0.1965 0.2615
0.3600 0.2098 0.2527
0.3800 0.2231 0.2537
0.4000 0.2365 0.2604
0.4200 0.2498 0.2533
0.4400 0.2631 0.2584
0.4600 0.2764 0.2515
0.4800 0.2898 0.2534
0.5000 0.3031 0.2559
0.5200 0.3165 0.2531
0.5400 0.3298 0.2526
0.5600 0.3431 0.2575
0.5800 0.3565 0.2556
0.6000 0.3698 0.2497
0.6200 0.3832 0.2578
0.6400 0.3965 0.2515
0.6600 0.4099 0.2544
0.6800 0.4232 0.2576
0.7000 0.4365 0.2448
0.7200 0.4498 0.2594
0.7400 0.4632 0.2517
0.7600 0.4765 0.2519
0.7800 0.4899 0.2569
0.8000 0.5032 0.2535
0.8200 0.5165 0.2484
0.8400 0.5298 0.2583
0.8600 0.5432 0.2479
0.8800 0.5564 0.2464
0.9000 0.5697 0.2635
0.9200 0.5830 0.2452
0.9400 0.5964 0.2453
0.9600 0.6098 0.2581
0.9800 0.6231 0.2439
1.0000 0.6365 0.2484
1.0200 0.6498 0.2508
1.0400 0.6632 0.2449
1.0600 0.6765 0.2446
1.0800 0.6898 0.2524
1.1000 0.7032 0.2408
1.1200 0.7165 0.2461
1.1400 0.7298 0.2524
1.1600 0.7431 0.2371
1.1800 0.7565 0.2465
1.2000 0.7698 0.2524
1.2200 0.7832 0.2341
1.2400 0.7965 0.2467
1.2600 0.8098 0.2505
1.2800 0.8231 0.2366
1.3000 0.8364 0.2488
1.3200 0.8498 0.2469
1.3400 0.8631 0.2382
1.3600 0.8764 0.2470
1.3800 0.8898 0.2492
1.4000 0.9032 0.2376
1.4200 0.9165 0.2410
1.4400 0.9298 0.2500
1.4600 0.9432 0.2381
1.4800 0.9565 0.2435
1.5000 0.9699 0.2493
1.5200 0.9832 0.2362
1.5400 0.9965 0.2529
1.5600 1.0098 0.2465
1.5800 1.0231 0.2334
1.6000 1.0364 0.2514
1.6200 1.0498 0.2453
1.6400 1.0631 0.2297
1.6600 1.0764 0.2493
1.6800 1.0898 0.2458
1.7000 1.1031 0.2319
1.7200 1.1165 0.2509
1.7400 1.1299 0.2452
1.7600 1.1432 0.2322
1.7800 1.1566 0.2493
1.8000 1.1699 0.2454
1.8200 1.1832 0.2372
1.8400 1.1965 0.2474
1.8600 1.2099 0.2430
1.8800 1.2232 0.2361
1.9000 1.2365 0.2479
1.9200 1.2498 0.2419
1.9400 1.2632 0.2339
1.9600 1.2765 0.2464
1.9800 1.2898 0.2389
2.0000 1.3031 0.2328
2.0200 1.3164 0.2444
2.0400 1.3298 0.2358
2.0600 1.3431 0.2307
2.0800 1.3565 0.2437
2.1000 1.3698 0.2342
2.1200 1.3832 0.2290
2.1400 1.3966 0.2457
2.1600 1.4099 0.2357
2.1800 1.4232 0.2342
2.2000 1.4365 0.2421
2.2200 1.4498 0.2310
2.2400 1.4631 0.2351
2.2600 1.4764 0.2368
2.2800 1.4897 0.2324
2.3000 1.5031 0.2363
2.3200 1.5164 0.2345
2.3400 1.5298 0.2326
2.3600 1.5431 0.2374
2.3800 1.5565 0.2338
2.4000 1.5699 0.2339
2.4200 1.5832 0.2358
2.4400 1.5965 0.2333
2.4600 1.6098 0.2304
2.4800 1.6232 0.2332
2.5000 1.6365 0.2318
2.5200 1.6498 0.2317
2.5400 1.6631 0.2347
2.5600 1.6765 0.2321
2.5800 1.6899 0.2262
2.6000 1.7032 0.2310
2.6200 1.7165 0.2297
2.6400 1.7299 0.2328
2.6600 1.7432 0.2327
2.6800 1.7565 0.2292
2.7000 1.7698 0.2320
2.7200 1.7831 0.2280
2.7400 1.7965 0.2278
2.7600 1.8098 0.2304
2.7800 1.8231 0.2306
2.8000 1.8364 0.2268
2.8200 1.8498 0.2309
2.8400 1.8632 0.2289
2.8600 1.8765 0.2269
2.8800 1.8898 0.2272
2.9000 1.9032 0.2247
2.9200 1.9165 0.2260
2.9400 1.9299 0.2250
2.9600 1.9432 0.2279
2.9800 1.9565 0.2292
3.0000 1.9698 0.2207
3.0200 1.9832 0.2277
3.0400 1.9965 0.2271
3.0600 2.0098 0.2234
3.0800 2.0231 0.2277
3.1000 2.0364 0.2217
3.1200 2.0498 0.2199
3.1400 2.0631 0.2260
3.1600 2.0765 0.2202
3.1800 2.0898 0.2226
3.2000 2.1032 0.2253
3.2200 2.1166 0.2146
3.2400 2.1299 0.2237
3.2600 2.1432 0.2288
3.2800 2.1566 0.2117
3.3000 2.1699 0.2225
3.3200 2.1832 0.2235
3.3400 2.1965 0.2116
3.3600 2.2098 0.2270
3.3800 2.2231 0.2259
3.4000 2.2365 0.2131
3.4200 2.2498 0.2250
3.4400 2.2631 0.2222
3.4600 2.2764 0.2174
3.4800 2.2898 0.2172
3.5000 2.3032 0.2245
3.5200 2.3165 0.2147
3.5400 2.3298 0.2198
3.5600 2.3432 0.2191
3.5800 2.3565 0.2102
3.6000 2.3698 0.2231
3.6200 2.3832 0.2216
3.6400 2.3965 0.2164
3.6600 2.4099 0.2183
3.6800 2.4232 0.2195
3.7000 2.4365 0.2171
3.7200 2.4498 0.2167
3.7400 2.4632 0.2192
3.7600 2.4765 0.2180
3.7800 2.4898 0.2125
3.8000 2.5031 0.2176
3.8200 2.5164 0.2158
3.8400 2.5298 0.2105
3.8600 2.5431 0.2181
3.8800 2.5564 0.2159
3.9000 2.5698 0.2087
3.9200 2.5832 0.2198
3.9400 2.5966 0.2106
3.9600 2.6099 0.2110
3.9800 2.6232 0.2158
4.0000 2.6365 0.2101
4.0200 2.6499 0.2122
4.0400 2.6632 0.2242
4.0600 2.6765 0.2073
4.0800 2.6898 0.2106
4.1000 2.7032 0.2197
4.1200 2.7165 0.2089
4.1400 2.7298 0.2117
4.1600 2.7431 0.2146
4.1800 2.7564 0.2064
4.2000 2.7698 0.2138
4.2200 2.7831 0.2108
4.2400 2.7964 0.2076
4.2600 2.8098 0.2174
4.2800 2.8232 0.2120
4.3000 2.8365 0.2027
4.3200 2.8498 0.2145
4.3400 2.8632 0.2116
4.3600 2.8765 0.2080
4.3800 2.8899 0.2117
4.4000 2.9032 0.2111
4.4200 2.9165 0.2065
4.4400 2.9298 0.2129
4.4600 2.9431 0.2074
4.4800 2.9565 0.2100
4.5000 2.9698 0.2094
4.5200 2.9831 0.2105
4.5400 2.9965 0.2106
4.5600 3.0098 0.2028
4.5800 3.0231 0.2123
4.6000 3.0365 0.2083
4.6200 3.0498 0.2002
4.6400 3.0631 0.2140
4.6600 3.0765 0.2046
4.6800 3.0898 0.2011
4.7000 3.1031 0.2104
4.7200 3.1165 0.2035
4.7400 3.1299 0.2019
4.7600 3.1432 0.2092
4.7800 3.1565 0.2050
4.8000 3.1699 0.2038
4.8200 3.1832 0.2113
4.8400 3.1965 0.2043
4.8600 3.2098 0.2057
4.8800 3.2231 0.2110
4.9000 3.2364 0.2018
4.9200 3.2497 0.2039
4.9400 3.2631 0.2091
4.9600 3.2764 0.2024
4.9800 3.2898 0.2026
5.0000 3.3032 0.2064
5.0200 3.3166 0.2023
5.0400 3.3299 0.2013
5.0600 3.3432 0.2053
5.0800 3.3566 0.2028
5.1000 3.3699 0.2036
5.1200 3.3832 0.2033
5.1400 3.3965 0.2046
5.1600 3.4098 0.2002
5.1800 3.4231 0.1995
5.2000 3.4365 0.2041
5.2200 3.4498 0.1958
5.2400 3.4631 0.2008
5.2600 3.4764 0.2039
5.2800 3.4898 0.1929
5.3000 3.5031 0.2021
5.3200 3.5164 0.2002
5.3400 3.5298 0.1896
5.3600 3.5432 0.2017
5.3800 3.5566 0.1999
5.4000 3.5699 0.1859
5.4200 3.5832 0.2045
5.4400 3.5965 0.2003
5.4600 3.6099 0.1880
5.4800 3.6232 0.2018
5.5000 3.6365 0.1977
5.5200 3.6498 0.1899
5.5400 3.6631 0.2023
5.5600 3.6765 0.1898
5.5800 3.6898 0.1929
5.6000 3.7031 0.2059
5.6200 3.7164 0.1871
