Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.1651
0.0200 0.0001 0.1883
0.0400 0.0022 0.2590
0.0600 0.0099 0.2392
0.0800 0.0217 0.1677
0.1000 0.0342 0.1776
0.1200 0.0469 0.1931
0.1400 0.0604 0.1747
0.1600 0.0745 0.1827
0.1800 0.0887 0.1758
0.2000 0.1026 0.1691
0.2200 0.1162 0.1773
0.2400 0.1295 0.1714
0.2600 0.1428 0.1766
0.2800 0.1561 0.1850
0.3000 0.1695 0.1703
0.3200 0.1829 0.1697
0.3400 0.1963 0.1868
0.3600 0.2096 0.1704
0.3800 0.2229 0.1748
0.4000 0.2363 0.1846
0.4200 0.2496 0.1647
0.4400 0.2629 0.1758
0.4600 0.2762 0.1847
0.4800 0.2896 0.1645
0.5000 0.3029 0.1786
0.5200 0.3162 0.1839
0.5400 0.3295 0.1629
0.5600 0.3429 0.1786
0.5800 0.3562 0.1857
0.6000 0.3696 0.1647
0.6200 0.3829 0.1847
0.6400 0.3963 0.1822
0.6600 0.4097 0.1648
0.6800 0.4230 0.1879
0.7000 0.4363 0.1765
0.7200 0.4496 0.1698
0.7400 0.4630 0.1852
0.7600 0.4763 0.1746
0.7800 0.4896 0.1706
0.8000 0.5029 0.1820
0.8200 0.5163 0.1743
0.8400 0.5296 0.1718
0.8600 0.5430 0.1776
0.8800 0.5562 0.1729
0.9000 0.5695 0.1758
0.9200 0.5828 0.1783
0.9400 0.5962 0.1698
0.9600 0.6096 0.1736
0.9800 0.6229 0.1718
1.0000 0.6362 0.1739
1.0200 0.6496 0.1696
1.0400 0.6630 0.1650
1.0600 0.6763 0.1702
1.0800 0.6896 0.1661
1.1000 0.7029 0.1673
1.1200 0.7163 0.1693
1.1400 0.7296 0.1654
1.1600 0.7429 0.1704
1.1800 0.7562 0.1700
1.2000 0.7696 0.1648
1.2200 0.7829 0.1625
1.2400 0.7963 0.1704
1.2600 0.8096 0.1613
1.2800 0.8229 0.1681
1.3000 0.8362 0.1751
1.3200 0.8496 0.1552
1.3400 0.8629 0.1676
1.3600 0.8762 0.1747
1.3800 0.8896 0.1569
1.4000 0.9030 0.1672
1.4200 0.9163 0.1733
1.4400 0.9296 0.1564
1.4600 0.9429 0.1664
1.4800 0.9563 0.1676
1.5000 0.9697 0.1565
1.5200 0.9830 0.1684
1.5400 0.9962 0.1666
1.5600 1.0096 0.1548
1.5800 1.0229 0.1686
1.6000 1.0362 0.1653
1.6200 1.0495 0.1557
1.6400 1.0628 0.1660
1.6600 1.0762 0.1619
1.6800 1.0896 0.1534
1.7000 1.1029 0.1673
1.7200 1.1163 0.1605
1.7400 1.1296 0.1524
1.7600 1.1430 0.1626
1.7800 1.1564 0.1591
1.8000 1.1696 0.1566
1.8200 1.1829 0.1635
1.8400 1.1963 0.1627
1.8600 1.2097 0.1539
1.8800 1.2230 0.1632
1.9000 1.2363 0.1632
1.9200 1.2496 0.1566
1.9400 1.2629 0.1613
1.9600 1.2762 0.1578
1.9800 1.2895 0.1586
2.0000 1.3028 0.1617
2.0200 1.3162 0.1593
2.0400 1.3296 0.1575
2.0600 1.3429 0.1585
2.0800 1.3563 0.1572
2.1000 1.3696 0.1576
2.1200 1.3830 0.1615
2.1400 1.3963 0.1554
2.1600 1.4096 0.1580
2.1800 1.4230 0.1634
2.2000 1.4363 0.1561
2.2200 1.4496 0.1546
2.2400 1.4629 0.1625
2.2600 1.4762 0.1586
2.2800 1.4895 0.1593
2.3000 1.5029 0.1628
2.3200 1.5162 0.1542
2.3400 1.5296 0.1559
2.3600 1.5429 0.1669
2.3800 1.5563 0.1488
2.4000 1.5696 0.1521
2.4200 1.5830 0.1649
2.4400 1.5963 0.1498
2.4600 1.6096 0.1522
2.4800 1.6229 0.1628
2.5000 1.6362 0.1453
2.5200 1.6495 0.1546
2.5400 1.6628 0.1608
2.5600 1.6762 0.1453
2.5800 1.6896 0.1568
2.6000 1.7030 0.1512
2.6200 1.7163 0.1417
2.6400 1.7296 0.1583
2.6600 1.7430 0.1488
2.6800 1.7563 0.1430
2.7000 1.7696 0.1531
2.7200 1.7829 0.1480
2.7400 1.7962 0.1459
2.7600 1.8096 0.1536
2.7800 1.8229 0.1481
2.8000 1.8362 0.1484
2.8200 1.8496 0.1509
2.8400 1.8629 0.1489
2.8600 1.8763 0.1497
2.8800 1.8896 0.1535
2.9000 1.9029 0.1516
2.9200 1.9163 0.1472
2.9400 1.9297 0.1486
2.9600 1.9430 0.1496
2.9800 1.9563 0.1527
3.0000 1.9696 0.1476
3.0200 1.9830 0.1522
3.0400 1.9963 0.1453
3.0600 2.0096 0.1457
3.0800 2.0229 0.1530
3.1000 2.0362 0.1430
3.1200 2.0495 0.1462
3.1400 2.0629 0.1524
3.1600 2.0762 0.1385
3.1800 2.0896 0.1462
3.2000 2.1030 0.1473
3.2200 2.1163 0.1348
3.2400 2.1297 0.1479
3.2600 2.1430 0.1502
3.2800 2.1563 0.1357
3.3000 2.1697 0.1498
3.3200 2.1830 0.1406
3.3400 2.1963 0.1356
3.3600 2.2096 0.1535
3.3800 2.2229 0.1373
3.4000 2.2363 0.1345
3.4200 2.2495 0.1535
3.4400 2.2629 0.1315
3.4600 2.2762 0.1346
3.4800 2.2896 0.1473
3.5000 2.3029 0.1313
3.5200 2.3162 0.1412
3.5400 2.3296 0.1482
3.5600 2.3429 0.1246
3.5800 2.3563 0.1438
3.6000 2.3696 0.1415
3.6200 2.3830 0.1295
3.6400 2.3963 0.1447
3.6600 2.4097 0.1357
3.6800 2.4230 0.1295
3.7000 2.4363 0.1432
3.7200 2.4496 0.1393
3.7400 2.4630 0.1287
3.7600 2.4763 0.1429
3.7800 2.4896 0.1337
3.8000 2.5029 0.1327
3.8200 2.5162 0.1401
3.8400 2.5295 0.1330
3.8600 2.5429 0.1366
3.8800 2.5562 0.1376
3.9000 2.5696 0.1329
3.9200 2.5830 0.1407
3.9400 2.5963 0.1317
3.9600 2.6096 0.1341
3.9800 2.6229 0.1425
4.0000 2.6363 0.1304
4.0200 2.6496 0.1308
4.0400 2.6629 0.1388
4.0600 2.6763 0.1286
4.0800 2.6896 0.1352
4.1000 2.7029 0.1376
4.1200 2.7163 0.1258
4.1400 2.7296 0.1345
4.1600 2.7429 0.1349
4.1800 2.7562 0.1267
4.2000 2.7696 0.1374
4.2200 2.7829 0.1324
4.2400 2.7962 0.1260
4.2600 2.8096 0.1301
4.2800 2.8229 0.1319
4.3000 2.8363 0.1217
4.3200 2.8496 0.1340
4.3400 2.8630 0.1356
4.3600 2.8763 0.1150
4.3800 2.8897 0.1361
4.4000 2.9030 0.1314
4.4200 2.9163 0.1176
4.4400 2.9296 0.1361
4.4600 2.9429 0.1324
4.4800 2.9563 0.1195
4.5000 2.9696 0.1330
4.5200 2.9829 0.1293
4.5400 2.9962 0.1186
4.5600 3.0096 0.1345
4.5800 3.0229 0.1273
4.6000 3.0362 0.1202
4.6200 3.0496 0.1359
4.6400 3.0629 0.1253
4.6600 3.0763 0.1178
4.6800 3.0896 0.1332
4.7000 3.1029 0.1304
4.7200 3.1163 0.1215
4.7400 3.1297 0.1354
4.7600 3.1430 0.1229
4.7800 3.1563 0.1209
4.8000 3.1696 0.1329
4.8200 3.1830 0.1232
4.8400 3.1963 0.1220
4.8600 3.2096 0.1310
4.8800 3.2229 0.1205
4.9000 3.2361 0.1193
4.9200 3.2495 0.1306
4.9400 3.2628 0.1228
4.9600 3.2762 0.1185
4.9800 3.2895 0.1308
5.0000 3.3030 0.1241
5.0200 3.3163 0.1154
5.0400 3.3297 0.1288
5.0600 3.3430 0.1195
5.0800 3.3564 0.1158
5.1000 3.3697 0.1246
5.1200 3.3830 0.1171
5.1400 3.3963 0.1183
5.1600 3.4095 0.1266
5.1800 3.4229 0.1190
5.2000 3.4362 0.1126
5.2200 3.4496 0.1191
5.2400 3.4629 0.1202
5.2600 3.4762 0.1136
5.2800 3.4896 0.1197
5.3000 3.5029 0.1171
5.3200 3.5162 0.1078
5.3400 3.5296 0.1211
5.3600 3.5429 0.1174
5.3800 3.5563 0.1082
5.4000 3.5697 0.1209
5.4200 3.5830 0.1150
5.4400 3.5963 0.1105
5.4600 3.6097 0.1236
5.4800 3.6230 0.1128
5.5000 3.6363 0.1078
5.5200 3.6496 0.1244
5.5400 3.6629 0.1115
5.5600 3.6763 0.1072
5.5800 3.6896 0.1258
5.6000 3.7029 0.1132
5.6200 3.7162 0.1118
