Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.1742
0.0200 0.0001 -0.1552
0.0400 0.0022 -0.0857
0.0600 0.0101 -0.1004
0.0800 0.0221 -0.1796
0.1000 0.0346 -0.1688
0.1200 0.0473 -0.1379
0.1400 0.0607 -0.1733
0.1600 0.0748 -0.1621
0.1800 0.0889 -0.1560
0.2000 0.1028 -0.1808
0.2200 0.1164 -0.1614
0.2400 0.1297 -0.1566
0.2600 0.1430 -0.1772
0.2800 0.1564 -0.1519
0.3000 0.1698 -0.1587
0.3200 0.1831 -0.1775
0.3400 0.1965 -0.1478
0.3600 0.2098 -0.1627
0.3800 0.2232 -0.1698
0.4000 0.2365 -0.1558
0.4200 0.2498 -0.1660
0.4400 0.2631 -0.1714
0.4600 0.2764 -0.1581
0.4800 0.2898 -0.1706
0.5000 0.3031 -0.1729
0.5200 0.3164 -0.1594
0.5400 0.3297 -0.1682
0.5600 0.3431 -0.1734
0.5800 0.3564 -0.1598
0.6000 0.3698 -0.1722
0.6200 0.3832 -0.1778
0.6400 0.3965 -0.1615
0.6600 0.4099 -0.1763
0.6800 0.4232 -0.1784
0.7000 0.4366 -0.1671
0.7200 0.4499 -0.1809
0.7400 0.4632 -0.1776
0.7600 0.4766 -0.1673
0.7800 0.4899 -0.1843
0.8000 0.5032 -0.1795
0.8200 0.5165 -0.1695
0.8400 0.5298 -0.1874
0.8600 0.5432 -0.1808
0.8800 0.5564 -0.1768
0.9000 0.5697 -0.1863
0.9200 0.5831 -0.1798
0.9400 0.5964 -0.1772
0.9600 0.6098 -0.1920
0.9800 0.6231 -0.1800
1.0000 0.6364 -0.1789
1.0200 0.6498 -0.1873
1.0400 0.6632 -0.1887
1.0600 0.6765 -0.1828
1.0800 0.6898 -0.1875
1.1000 0.7032 -0.1893
1.1200 0.7165 -0.1826
1.1400 0.7298 -0.1906
1.1600 0.7431 -0.1869
1.1800 0.7565 -0.1828
1.2000 0.7698 -0.1954
1.2200 0.7832 -0.1909
1.2400 0.7965 -0.1890
1.2600 0.8098 -0.1948
1.2800 0.8231 -0.1912
1.3000 0.8365 -0.1944
1.3200 0.8498 -0.1998
1.3400 0.8631 -0.1955
1.3600 0.8765 -0.1948
1.3800 0.8898 -0.1998
1.4000 0.9032 -0.1989
1.4200 0.9165 -0.2041
1.4400 0.9298 -0.2004
1.4600 0.9432 -0.2039
1.4800 0.9565 -0.2034
1.5000 0.9699 -0.2037
1.5200 0.9832 -0.2051
1.5400 0.9965 -0.2035
1.5600 1.0098 -0.2091
1.5800 1.0231 -0.2108
1.6000 1.0364 -0.2082
1.6200 1.0497 -0.2111
1.6400 1.0631 -0.2139
1.6600 1.0764 -0.2119
1.6800 1.0898 -0.2143
1.7000 1.1031 -0.2191
1.7200 1.1165 -0.2101
1.7400 1.1299 -0.2148
1.7600 1.1432 -0.2207
1.7800 1.1566 -0.2190
1.8000 1.1699 -0.2163
1.8200 1.1832 -0.2200
1.8400 1.1965 -0.2234
1.8600 1.2099 -0.2183
1.8800 1.2232 -0.2229
1.9000 1.2365 -0.2241
1.9200 1.2498 -0.2182
1.9400 1.2632 -0.2287
1.9600 1.2765 -0.2282
1.9800 1.2898 -0.2158
2.0000 1.3031 -0.2287
2.0200 1.3164 -0.2341
2.0400 1.3298 -0.2121
2.0600 1.3431 -0.2267
2.0800 1.3565 -0.2399
2.1000 1.3698 -0.2176
2.1200 1.3832 -0.2285
2.1400 1.3966 -0.2379
2.1600 1.4099 -0.2177
2.1800 1.4232 -0.2310
2.2000 1.4365 -0.2422
2.2200 1.4499 -0.2212
2.2400 1.4631 -0.2241
2.2600 1.4764 -0.2409
2.2800 1.4898 -0.2368
2.3000 1.5031 -0.2180
2.3200 1.5164 -0.2356
2.3400 1.5297 -0.2378
2.3600 1.5431 -0.2171
2.3800 1.5565 -0.2427
2.4000 1.5699 -0.2441
2.4200 1.5832 -0.2268
2.4400 1.5965 -0.2414
2.4600 1.6098 -0.2454
2.4800 1.6232 -0.2262
2.5000 1.6365 -0.2380
2.5200 1.6498 -0.2480
2.5400 1.6631 -0.2266
2.5600 1.6765 -0.2384
2.5800 1.6899 -0.2511
2.6000 1.7032 -0.2284
2.6200 1.7165 -0.2369
2.6400 1.7299 -0.2462
2.6600 1.7432 -0.2356
2.6800 1.7565 -0.2461
2.7000 1.7698 -0.2470
2.7200 1.7831 -0.2369
2.7400 1.7965 -0.2524
2.7600 1.8098 -0.2411
2.7800 1.8231 -0.2396
2.8000 1.8364 -0.2551
2.8200 1.8498 -0.2405
2.8400 1.8632 -0.2439
2.8600 1.8765 -0.2569
2.8800 1.8898 -0.2380
2.9000 1.9032 -0.2451
2.9200 1.9165 -0.2564
2.9400 1.9299 -0.2428
2.9600 1.9432 -0.2541
2.9800 1.9565 -0.2585
3.0000 1.9698 -0.2389
3.0200 1.9832 -0.2571
3.0400 1.9965 -0.2636
3.0600 2.0098 -0.2412
3.0800 2.0231 -0.2554
3.1000 2.0364 -0.2593
3.1200 2.0498 -0.2481
3.1400 2.0631 -0.2622
3.1600 2.0765 -0.2592
3.1800 2.0898 -0.2490
3.2000 2.1032 -0.2596
3.2200 2.1166 -0.2654
3.2400 2.1299 -0.2508
3.2600 2.1432 -0.2555
3.2800 2.1566 -0.2706
3.3000 2.1699 -0.2509
3.3200 2.1832 -0.2591
3.3400 2.1965 -0.2692
3.3600 2.2098 -0.2572
3.3800 2.2232 -0.2626
3.4000 2.2365 -0.2706
3.4200 2.2498 -0.2615
3.4400 2.2631 -0.2632
3.4600 2.2765 -0.2719
3.4800 2.2898 -0.2620
3.5000 2.3032 -0.2687
3.5200 2.3165 -0.2749
3.5400 2.3298 -0.2600
3.5600 2.3432 -0.2702
3.5800 2.3565 -0.2741
3.6000 2.3699 -0.2563
3.6200 2.3832 -0.2759
3.6400 2.3965 -0.2740
3.6600 2.4099 -0.2651
3.6800 2.4232 -0.2724
3.7000 2.4365 -0.2745
3.7200 2.4498 -0.2694
3.7400 2.4632 -0.2757
3.7600 2.4765 -0.2740
3.7800 2.4898 -0.2710
3.8000 2.5031 -0.2735
3.8200 2.5164 -0.2712
3.8400 2.5298 -0.2803
3.8600 2.5431 -0.2748
3.8800 2.5564 -0.2723
3.9000 2.5698 -0.2785
3.9200 2.5832 -0.2669
3.9400 2.5966 -0.2768
3.9600 2.6099 -0.2825
3.9800 2.6232 -0.2639
4.0000 2.6365 -0.2763
4.0200 2.6499 -0.2806
4.0400 2.6632 -0.2669
4.0600 2.6765 -0.2842
4.0800 2.6898 -0.2826
4.1000 2.7032 -0.2709
4.1200 2.7165 -0.2875
4.1400 2.7298 -0.2837
4.1600 2.7431 -0.2694
4.1800 2.7564 -0.2925
4.2000 2.7698 -0.2816
4.2200 2.7831 -0.2719
4.2400 2.7964 -0.2926
4.2600 2.8098 -0.2810
4.2800 2.8232 -0.2780
4.3000 2.8365 -0.2930
4.3200 2.8499 -0.2829
4.3400 2.8632 -0.2842
4.3600 2.8765 -0.2954
4.3800 2.8899 -0.2862
4.4000 2.9032 -0.2815
4.4200 2.9165 -0.3002
4.4400 2.9298 -0.2801
4.4600 2.9431 -0.2841
4.4800 2.9565 -0.3019
4.5000 2.9698 -0.2815
4.5200 2.9831 -0.2859
4.5400 2.9965 -0.3046
4.5600 3.0098 -0.2849
4.5800 3.0231 -0.2877
4.6000 3.0365 -0.2982
4.6200 3.0498 -0.2834
4.6400 3.0631 -0.2938
4.6600 3.0765 -0.3002
4.6800 3.0898 -0.2896
4.7000 3.1031 -0.2951
4.7200 3.1165 -0.2992
4.7400 3.1299 -0.2903
4.7600 3.1432 -0.2970
4.7800 3.1565 -0.2985
4.8000 3.1699 -0.2907
4.8200 3.1832 -0.2953
4.8400 3.1965 -0.3015
4.8600 3.2098 -0.2945
4.8800 3.2231 -0.2966
4.9000 3.2364 -0.3043
4.9200 3.2498 -0.2924
4.9400 3.2631 -0.2942
4.9600 3.2764 -0.3104
4.9800 3.2898 -0.2989
5.0000 3.3032 -0.2970
5.0200 3.3166 -0.3103
5.0400 3.3299 -0.3019
5.0600 3.3432 -0.2935
5.0800 3.3566 -0.3142
5.1000 3.3699 -0.3039
5.1200 3.3832 -0.2975
5.1400 3.3965 -0.3161
5.1600 3.4098 -0.3009
5.1800 3.4231 -0.2966
5.2000 3.4365 -0.3145
5.2200 3.4498 -0.3009
5.2400 3.4631 -0.3027
5.2600 3.4764 -0.3137
