Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.4410
0.0200 0.0001 0.4459
0.0400 0.0021 0.5441
0.0600 0.0098 0.5775
0.0800 0.0217 0.4978
0.1000 0.0343 0.5118
0.1200 0.0469 0.5330
0.1400 0.0602 0.4967
0.1600 0.0743 0.5064
0.1800 0.0884 0.4996
0.2000 0.1024 0.4797
0.2200 0.1160 0.5062
0.2400 0.1294 0.4978
0.2600 0.1426 0.4796
0.2800 0.1560 0.5031
0.3000 0.1693 0.4884
0.3200 0.1827 0.4803
0.3400 0.1961 0.5112
0.3600 0.2094 0.4963
0.3800 0.2227 0.4927
0.4000 0.2361 0.5109
0.4200 0.2494 0.4885
0.4400 0.2627 0.4922
0.4600 0.2760 0.5047
0.4800 0.2894 0.4823
0.5000 0.3027 0.4833
0.5200 0.3160 0.4906
0.5400 0.3293 0.4746
0.5600 0.3427 0.4867
0.5800 0.3560 0.4930
0.6000 0.3694 0.4708
0.6200 0.3827 0.4814
0.6400 0.3961 0.4936
0.6600 0.4094 0.4681
0.6800 0.4228 0.4856
0.7000 0.4361 0.4876
0.7200 0.4494 0.4692
0.7400 0.4627 0.4811
0.7600 0.4761 0.4816
0.7800 0.4894 0.4703
0.8000 0.5028 0.4792
0.8200 0.5161 0.4766
0.8400 0.5294 0.4739
0.8600 0.5428 0.4739
0.8800 0.5560 0.4768
0.9000 0.5693 0.4741
0.9200 0.5826 0.4735
0.9400 0.5960 0.4757
0.9600 0.6093 0.4701
0.9800 0.6227 0.4663
1.0000 0.6360 0.4717
1.0200 0.6494 0.4676
1.0400 0.6628 0.4570
1.0600 0.6761 0.4698
1.0800 0.6894 0.4697
1.1000 0.7027 0.4622
1.1200 0.7161 0.4688
1.1400 0.7294 0.4594
1.1600 0.7427 0.4568
1.1800 0.7560 0.4658
1.2000 0.7694 0.4606
1.2200 0.7827 0.4549
1.2400 0.7960 0.4623
1.2600 0.8093 0.4533
1.2800 0.8227 0.4515
1.3000 0.8360 0.4642
1.3200 0.8494 0.4502
1.3400 0.8627 0.4498
1.3600 0.8760 0.4597
1.3800 0.8894 0.4488
1.4000 0.9028 0.4448
1.4200 0.9161 0.4611
1.4400 0.9294 0.4490
1.4600 0.9427 0.4418
1.4800 0.9561 0.4529
1.5000 0.9695 0.4443
1.5200 0.9828 0.4416
1.5400 0.9960 0.4533
1.5600 1.0094 0.4437
1.5800 1.0227 0.4467
1.6000 1.0360 0.4513
1.6200 1.0493 0.4400
1.6400 1.0626 0.4416
1.6600 1.0760 0.4452
1.6800 1.0894 0.4398
1.7000 1.1027 0.4373
1.7200 1.1161 0.4424
1.7400 1.1294 0.4391
1.7600 1.1428 0.4307
1.7800 1.1561 0.4386
1.8000 1.1694 0.4395
1.8200 1.1828 0.4305
1.8400 1.1961 0.4342
1.8600 1.2095 0.4383
1.8800 1.2228 0.4284
1.9000 1.2360 0.4365
1.9200 1.2494 0.4352
1.9400 1.2627 0.4224
1.9600 1.2761 0.4342
1.9800 1.2893 0.4306
2.0000 1.3027 0.4231
2.0200 1.3160 0.4323
2.0400 1.3293 0.4248
2.0600 1.3427 0.4192
2.0800 1.3560 0.4298
2.1000 1.3694 0.4204
2.1200 1.3828 0.4180
2.1400 1.3961 0.4234
2.1600 1.4094 0.4160
2.1800 1.4228 0.4162
2.2000 1.4361 0.4233
2.2200 1.4494 0.4108
2.2400 1.4627 0.4236
2.2600 1.4760 0.4153
2.2800 1.4893 0.4122
2.3000 1.5027 0.4208
2.3200 1.5160 0.4082
2.3400 1.5294 0.4156
2.3600 1.5427 0.4144
2.3800 1.5561 0.4074
2.4000 1.5694 0.4180
2.4200 1.5827 0.4103
2.4400 1.5961 0.4055
2.4600 1.6094 0.4158
2.4800 1.6227 0.4073
2.5000 1.6360 0.4066
2.5200 1.6493 0.4204
2.5400 1.6627 0.4061
2.5600 1.6760 0.4025
2.5800 1.6894 0.4153
2.6000 1.7028 0.3994
2.6200 1.7161 0.4031
2.6400 1.7294 0.4127
2.6600 1.7428 0.3948
2.6800 1.7561 0.4065
2.7000 1.7694 0.4101
2.7200 1.7827 0.3924
2.7400 1.7960 0.4040
2.7600 1.8094 0.4058
2.7800 1.8227 0.3891
2.8000 1.8360 0.4017
2.8200 1.8493 0.4063
2.8400 1.8627 0.3867
2.8600 1.8761 0.4043
2.8800 1.8894 0.3968
2.9000 1.9027 0.3866
2.9200 1.9161 0.4019
2.9400 1.9294 0.3971
2.9600 1.9428 0.3903
2.9800 1.9561 0.3963
3.0000 1.9694 0.3909
3.0200 1.9828 0.3915
3.0400 1.9961 0.3946
3.0600 2.0094 0.3895
3.0800 2.0227 0.3925
3.1000 2.0360 0.3891
3.1200 2.0494 0.3873
3.1400 2.0627 0.3941
3.1600 2.0760 0.3823
3.1800 2.0894 0.3870
3.2000 2.1028 0.3922
3.2200 2.1161 0.3803
3.2400 2.1295 0.3831
3.2600 2.1428 0.3907
3.2800 2.1561 0.3772
3.3000 2.1695 0.3874
3.3200 2.1828 0.3877
3.3400 2.1961 0.3792
3.3600 2.2094 0.3871
3.3800 2.2227 0.3845
3.4000 2.2360 0.3795
3.4200 2.2493 0.3905
3.4400 2.2627 0.3777
3.4600 2.2760 0.3752
3.4800 2.2894 0.3870
3.5000 2.3027 0.3779
3.5200 2.3160 0.3738
3.5400 2.3294 0.3830
3.5600 2.3427 0.3738
3.5800 2.3561 0.3713
3.6000 2.3694 0.3783
3.6200 2.3828 0.3690
3.6400 2.3961 0.3766
3.6600 2.4095 0.3723
3.6800 2.4228 0.3695
3.7000 2.4361 0.3762
3.7200 2.4494 0.3708
3.7400 2.4627 0.3653
3.7600 2.4761 0.3801
3.7800 2.4893 0.3667
3.8000 2.5026 0.3645
3.8200 2.5160 0.3732
3.8400 2.5293 0.3599
3.8600 2.5427 0.3662
3.8800 2.5560 0.3835
3.9000 2.5694 0.3549
3.9200 2.5828 0.3592
3.9400 2.5961 0.3820
3.9600 2.6095 0.3501
3.9800 2.6227 0.3602
4.0000 2.6361 0.3734
4.0200 2.6494 0.3579
4.0400 2.6628 0.3600
4.0600 2.6761 0.3726
4.0800 2.6894 0.3489
4.1000 2.7027 0.3652
4.1200 2.7161 0.3678
4.1400 2.7294 0.3481
4.1600 2.7427 0.3660
4.1800 2.7560 0.3568
4.2000 2.7694 0.3448
4.2200 2.7827 0.3665
4.2400 2.7960 0.3506
4.2600 2.8094 0.3493
4.2800 2.8227 0.3626
4.3000 2.8361 0.3450
4.3200 2.8494 0.3484
4.3400 2.8628 0.3635
4.3600 2.8761 0.3441
4.3800 2.8895 0.3472
4.4000 2.9028 0.3592
4.4200 2.9161 0.3451
4.4400 2.9294 0.3512
4.4600 2.9427 0.3546
4.4800 2.9560 0.3429
4.5000 2.9694 0.3526
4.5200 2.9827 0.3514
4.5400 2.9960 0.3405
4.5600 3.0094 0.3501
4.5800 3.0227 0.3469
4.6000 3.0360 0.3424
4.6200 3.0494 0.3499
4.6400 3.0627 0.3460
4.6600 3.0761 0.3436
4.6800 3.0894 0.3431
4.7000 3.1027 0.3449
4.7200 3.1161 0.3389
4.7400 3.1294 0.3456
4.7600 3.1428 0.3446
4.7800 3.1561 0.3390
4.8000 3.1694 0.3413
4.8200 3.1828 0.3411
4.8400 3.1961 0.3403
4.8600 3.2094 0.3382
4.8800 3.2227 0.3433
4.9000 3.2359 0.3322
4.9200 3.2493 0.3420
4.9400 3.2626 0.3461
4.9600 3.2760 0.3294
4.9800 3.2893 0.3368
5.0000 3.3028 0.3422
5.0200 3.3162 0.3262
5.0400 3.3295 0.3314
5.0600 3.3428 0.3374
5.0800 3.3561 0.3312
5.1000 3.3695 0.3273
5.1200 3.3828 0.3378
5.1400 3.3961 0.3251
5.1600 3.4094 0.3258
5.1800 3.4227 0.3339
5.2000 3.4360 0.3251
5.2200 3.4494 0.3265
5.2400 3.4627 0.3329
5.2600 3.4760 0.3247
5.2800 3.4893 0.3185
5.3000 3.5027 0.3292
5.3200 3.5160 0.3240
5.3400 3.5294 0.3167
5.3600 3.5428 0.3286
5.3800 3.5561 0.3205
5.4000 3.5695 0.3134
5.4200 3.5828 0.3263
5.4400 3.5961 0.3191
5.4600 3.6095 0.3147
5.4800 3.6228 0.3261
5.5000 3.6361 0.3165
5.5200 3.6494 0.3137
5.5400 3.6627 0.3279
5.5600 3.6761 0.3166
5.5800 3.6894 0.3086
5.6000 3.7027 0.3248
5.6200 3.7160 0.3185
