Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.2434
0.0200 0.0001 0.2477
0.0400 0.0022 0.3201
0.0600 0.0101 0.3233
0.0800 0.0220 0.2230
0.1000 0.0345 0.2401
0.1200 0.0472 0.2796
0.1400 0.0606 0.2309
0.1600 0.0747 0.2507
0.1800 0.0888 0.2563
0.2000 0.1027 0.2304
0.2200 0.1163 0.2509
0.2400 0.1296 0.2540
0.2600 0.1429 0.2372
0.2800 0.1563 0.2613
0.3000 0.1697 0.2542
0.3200 0.1830 0.2396
0.3400 0.1964 0.2600
0.3600 0.2097 0.2517
0.3800 0.2231 0.2528
0.4000 0.2364 0.2623
0.4200 0.2497 0.2452
0.4400 0.2630 0.2604
0.4600 0.2763 0.2544
0.4800 0.2897 0.2479
0.5000 0.3030 0.2634
0.5200 0.3164 0.2478
0.5400 0.3297 0.2545
0.5600 0.3430 0.2623
0.5800 0.3564 0.2428
0.6000 0.3697 0.2566
0.6200 0.3830 0.2608
0.6400 0.3964 0.2500
0.6600 0.4097 0.2478
0.6800 0.4231 0.2601
0.7000 0.4364 0.2433
0.7200 0.4498 0.2478
0.7400 0.4631 0.2571
0.7600 0.4765 0.2444
0.7800 0.4898 0.2542
0.8000 0.5031 0.2531
0.8200 0.5164 0.2439
0.8400 0.5297 0.2537
0.8600 0.5431 0.2496
0.8800 0.5563 0.2495
0.9000 0.5696 0.2533
0.9200 0.5830 0.2505
0.9400 0.5963 0.2450
0.9600 0.6097 0.2526
0.9800 0.6230 0.2462
1.0000 0.6364 0.2503
1.0200 0.6497 0.2556
1.0400 0.6631 0.2454
1.0600 0.6764 0.2468
1.0800 0.6897 0.2513
1.1000 0.7030 0.2490
1.1200 0.7164 0.2505
1.1400 0.7297 0.2470
1.1600 0.7431 0.2480
1.1800 0.7564 0.2506
1.2000 0.7697 0.2487
1.2200 0.7831 0.2508
1.2400 0.7964 0.2435
1.2600 0.8097 0.2502
1.2800 0.8230 0.2479
1.3000 0.8364 0.2495
1.3200 0.8497 0.2440
1.3400 0.8630 0.2466
1.3600 0.8764 0.2488
1.3800 0.8897 0.2444
1.4000 0.9031 0.2450
1.4200 0.9164 0.2440
1.4400 0.9297 0.2468
1.4600 0.9431 0.2414
1.4800 0.9564 0.2428
1.5000 0.9698 0.2463
1.5200 0.9831 0.2381
1.5400 0.9964 0.2419
1.5600 1.0097 0.2432
1.5800 1.0230 0.2410
1.6000 1.0364 0.2398
1.6200 1.0497 0.2385
1.6400 1.0630 0.2408
1.6600 1.0764 0.2402
1.6800 1.0897 0.2384
1.7000 1.1030 0.2404
1.7200 1.1164 0.2438
1.7400 1.1298 0.2357
1.7600 1.1431 0.2408
1.7800 1.1565 0.2436
1.8000 1.1698 0.2307
1.8200 1.1831 0.2420
1.8400 1.1965 0.2392
1.8600 1.2098 0.2268
1.8800 1.2231 0.2420
1.9000 1.2364 0.2413
1.9200 1.2497 0.2293
1.9400 1.2631 0.2424
1.9600 1.2764 0.2357
1.9800 1.2897 0.2285
2.0000 1.3030 0.2456
2.0200 1.3164 0.2332
2.0400 1.3297 0.2319
2.0600 1.3430 0.2442
2.0800 1.3564 0.2349
2.1000 1.3698 0.2312
2.1200 1.3831 0.2388
2.1400 1.3965 0.2315
2.1600 1.4098 0.2336
2.1800 1.4231 0.2362
2.2000 1.4364 0.2373
2.2200 1.4498 0.2303
2.2400 1.4630 0.2358
2.2600 1.4763 0.2341
2.2800 1.4897 0.2300
2.3000 1.5030 0.2327
2.3200 1.5163 0.2332
2.3400 1.5297 0.2276
2.3600 1.5430 0.2376
2.3800 1.5564 0.2286
2.4000 1.5698 0.2272
2.4200 1.5831 0.2378
2.4400 1.5964 0.2318
2.4600 1.6098 0.2293
2.4800 1.6231 0.2328
2.5000 1.6364 0.2322
2.5200 1.6497 0.2228
2.5400 1.6630 0.2343
2.5600 1.6764 0.2352
2.5800 1.6898 0.2213
2.6000 1.7031 0.2296
2.6200 1.7164 0.2319
2.6400 1.7297 0.2248
2.6600 1.7431 0.2328
2.6800 1.7564 0.2290
2.7000 1.7697 0.2232
2.7200 1.7830 0.2321
2.7400 1.7964 0.2309
2.7600 1.8097 0.2184
2.7800 1.8230 0.2314
2.8000 1.8363 0.2285
2.8200 1.8497 0.2189
2.8400 1.8631 0.2307
2.8600 1.8764 0.2269
2.8800 1.8898 0.2221
2.9000 1.9031 0.2306
2.9200 1.9164 0.2238
2.9400 1.9298 0.2258
2.9600 1.9431 0.2260
2.9800 1.9564 0.2182
3.0000 1.9698 0.2247
3.0200 1.9831 0.2290
3.0400 1.9964 0.2159
3.0600 2.0097 0.2223
3.0800 2.0230 0.2295
3.1000 2.0363 0.2213
3.1200 2.0497 0.2200
3.1400 2.0630 0.2253
3.1600 2.0764 0.2253
3.1800 2.0897 0.2217
3.2000 2.1031 0.2224
3.2200 2.1165 0.2241
3.2400 2.1298 0.2126
3.2600 2.1431 0.2180
3.2800 2.1565 0.2299
3.3000 2.1698 0.2116
3.3200 2.1831 0.2184
3.3400 2.1964 0.2253
3.3600 2.2097 0.2112
3.3800 2.2231 0.2194
3.4000 2.2364 0.2253
3.4200 2.2497 0.2042
3.4400 2.2630 0.2214
3.4600 2.2764 0.2201
3.4800 2.2897 0.2027
3.5000 2.3031 0.2261
3.5200 2.3164 0.2166
3.5400 2.3297 0.2010
3.5600 2.3431 0.2225
3.5800 2.3564 0.2170
3.6000 2.3698 0.2081
3.6200 2.3831 0.2191
3.6400 2.3965 0.2131
3.6600 2.4098 0.2065
3.6800 2.4231 0.2193
3.7000 2.4364 0.2118
3.7200 2.4497 0.2141
3.7400 2.4631 0.2203
3.7600 2.4764 0.2102
3.7800 2.4897 0.2135
3.8000 2.5030 0.2159
3.8200 2.5163 0.2111
3.8400 2.5297 0.2109
3.8600 2.5430 0.2133
3.8800 2.5564 0.2125
3.9000 2.5697 0.2127
3.9200 2.5831 0.2108
3.9400 2.5965 0.2082
3.9600 2.6098 0.2130
3.9800 2.6231 0.2088
4.0000 2.6364 0.2091
4.0200 2.6498 0.2090
4.0400 2.6631 0.2107
4.0600 2.6764 0.2126
4.0800 2.6897 0.2027
4.1000 2.7031 0.2124
4.1200 2.7164 0.2130
4.1400 2.7297 0.2041
4.1600 2.7430 0.2126
4.1800 2.7563 0.2099
4.2000 2.7697 0.2011
4.2200 2.7830 0.2148
4.2400 2.7963 0.2107
4.2600 2.8097 0.2002
4.2800 2.8231 0.2084
4.3000 2.8364 0.2128
4.3200 2.8498 0.1987
4.3400 2.8631 0.2111
4.3600 2.8764 0.2091
4.3800 2.8898 0.1995
4.4000 2.9031 0.2077
4.4200 2.9164 0.2069
4.4400 2.9297 0.2044
4.4600 2.9430 0.2065
4.4800 2.9564 0.2120
4.5000 2.9697 0.2012
4.5200 2.9830 0.2063
4.5400 2.9964 0.2098
4.5600 3.0097 0.1985
4.5800 3.0231 0.2044
4.6000 3.0364 0.2095
4.6200 3.0497 0.2012
4.6400 3.0630 0.2040
4.6600 3.0764 0.2095
4.6800 3.0897 0.1994
4.7000 3.1030 0.2051
4.7200 3.1164 0.2113
4.7400 3.1298 0.1942
4.7600 3.1431 0.2071
4.7800 3.1564 0.2052
4.8000 3.1698 0.1963
4.8200 3.1831 0.2055
4.8400 3.1964 0.2021
4.8600 3.2097 0.1985
4.8800 3.2230 0.2082
4.9000 3.2363 0.2015
4.9200 3.2497 0.1969
4.9400 3.2630 0.2069
4.9600 3.2763 0.1986
4.9800 3.2897 0.1956
5.0000 3.3031 0.2079
5.0200 3.3165 0.1963
5.0400 3.3298 0.1985
5.0600 3.3431 0.2087
5.0800 3.3565 0.1947
5.1000 3.3698 0.1934
5.1200 3.3831 0.2056
5.1400 3.3964 0.1971
5.1600 3.4097 0.1964
5.1800 3.4230 0.2060
5.2000 3.4364 0.1964
5.2200 3.4497 0.1953
5.2400 3.4630 0.2047
5.2600 3.4763 0.1910
5.2800 3.4897 0.1940
5.3000 3.5030 0.2020
5.3200 3.5164 0.1878
5.3400 3.5297 0.1940
5.3600 3.5431 0.2006
5.3800 3.5565 0.1820
5.4000 3.5698 0.1971
5.4200 3.5831 0.1976
5.4400 3.5965 0.1832
5.4600 3.6098 0.1982
5.4800 3.6231 0.1931
5.5000 3.6364 0.1872
5.5200 3.6497 0.1959
5.5400 3.6630 0.1940
5.5600 3.6764 0.1843
5.5800 3.6897 0.1953
5.6000 3.7030 0.1927
5.6200 3.7163 0.1880
