Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.2038
0.0200 0.0001 0.2168
0.0400 0.0022 0.2817
0.0600 0.0101 0.2773
0.0800 0.0220 0.1869
0.1000 0.0345 0.1995
0.1200 0.0472 0.2385
0.1400 0.0607 0.1950
0.1600 0.0747 0.2082
0.1800 0.0889 0.2184
0.2000 0.1028 0.1850
0.2200 0.1163 0.2038
0.2400 0.1297 0.2156
0.2600 0.1430 0.1875
0.2800 0.1563 0.2072
0.3000 0.1697 0.2119
0.3200 0.1831 0.1868
0.3400 0.1964 0.2064
0.3600 0.2098 0.2046
0.3800 0.2231 0.1879
0.4000 0.2364 0.2008
0.4200 0.2498 0.1965
0.4400 0.2631 0.1897
0.4600 0.2764 0.1896
0.4800 0.2897 0.1916
0.5000 0.3031 0.1813
0.5200 0.3164 0.1814
0.5400 0.3297 0.1829
0.5600 0.3431 0.1733
0.5800 0.3564 0.1786
0.6000 0.3698 0.1771
0.6200 0.3831 0.1656
0.6400 0.3964 0.1726
0.6600 0.4098 0.1723
0.6800 0.4232 0.1614
0.7000 0.4365 0.1632
0.7200 0.4498 0.1686
0.7400 0.4631 0.1523
0.7600 0.4765 0.1625
0.7800 0.4898 0.1594
0.8000 0.5031 0.1490
0.8200 0.5164 0.1538
0.8400 0.5298 0.1485
0.8600 0.5431 0.1392
0.8800 0.5564 0.1511
0.9000 0.5697 0.1413
0.9200 0.5830 0.1389
0.9400 0.5964 0.1420
0.9600 0.6097 0.1318
0.9800 0.6231 0.1327
1.0000 0.6364 0.1388
1.0200 0.6498 0.1296
1.0400 0.6632 0.1280
1.0600 0.6765 0.1321
1.0800 0.6898 0.1263
1.1000 0.7031 0.1245
1.1200 0.7165 0.1265
1.1400 0.7298 0.1204
1.1600 0.7431 0.1218
1.1800 0.7564 0.1269
1.2000 0.7698 0.1165
1.2200 0.7831 0.1188
1.2400 0.7964 0.1204
1.2600 0.8097 0.1175
1.2800 0.8230 0.1137
1.3000 0.8364 0.1187
1.3200 0.8498 0.1131
1.3400 0.8631 0.1116
1.3600 0.8764 0.1179
1.3800 0.8898 0.1041
1.4000 0.9031 0.1060
1.4200 0.9165 0.1097
1.4400 0.9298 0.0957
1.4600 0.9431 0.1018
1.4800 0.9565 0.0958
1.5000 0.9698 0.0920
1.5200 0.9831 0.0941
1.5400 0.9964 0.0904
1.5600 1.0097 0.0883
1.5800 1.0231 0.0925
1.6000 1.0364 0.0876
1.6200 1.0497 0.0847
1.6400 1.0630 0.0848
1.6600 1.0764 0.0817
1.6800 1.0897 0.0817
1.7000 1.1031 0.0794
1.7200 1.1164 0.0775
1.7400 1.1298 0.0747
1.7600 1.1432 0.0743
1.7800 1.1565 0.0682
1.8000 1.1698 0.0742
1.8200 1.1831 0.0715
1.8400 1.1965 0.0679
1.8600 1.2098 0.0690
1.8800 1.2231 0.0619
1.9000 1.2364 0.0643
1.9200 1.2498 0.0665
1.9400 1.2631 0.0597
1.9600 1.2764 0.0615
1.9800 1.2897 0.0613
2.0000 1.3031 0.0626
2.0200 1.3164 0.0563
2.0400 1.3297 0.0570
2.0600 1.3431 0.0576
2.0800 1.3564 0.0539
2.1000 1.3698 0.0472
2.1200 1.3832 0.0516
2.1400 1.3965 0.0479
2.1600 1.4098 0.0433
2.1800 1.4231 0.0510
2.2000 1.4365 0.0452
2.2200 1.4498 0.0395
2.2400 1.4631 0.0454
2.2600 1.4764 0.0380
2.2800 1.4897 0.0380
2.3000 1.5031 0.0365
2.3200 1.5164 0.0371
2.3400 1.5297 0.0341
2.3600 1.5431 0.0385
2.3800 1.5564 0.0365
2.4000 1.5698 0.0261
2.4200 1.5831 0.0330
2.4400 1.5965 0.0279
2.4600 1.6098 0.0234
2.4800 1.6231 0.0293
2.5000 1.6365 0.0210
2.5200 1.6498 0.0253
2.5400 1.6631 0.0280
2.5600 1.6764 0.0186
2.5800 1.6898 0.0215
2.6000 1.7032 0.0193
2.6200 1.7165 0.0206
2.6400 1.7298 0.0170
2.6600 1.7432 0.0160
2.6800 1.7565 0.0111
2.7000 1.7698 0.0133
2.7200 1.7831 0.0130
2.7400 1.7964 0.0110
2.7600 1.8098 -0.0001
2.7800 1.8231 0.0070
2.8000 1.8364 0.0043
2.8200 1.8497 -0.0016
2.8400 1.8631 0.0051
2.8600 1.8765 0.0009
2.8800 1.8898 -0.0078
2.9000 1.9031 0.0068
2.9200 1.9165 -0.0012
2.9400 1.9298 -0.0091
2.9600 1.9431 0.0051
2.9800 1.9565 -0.0055
3.0000 1.9698 -0.0091
3.0200 1.9831 0.0022
3.0400 1.9965 -0.0115
3.0600 2.0098 -0.0133
3.0800 2.0231 0.0005
3.1000 2.0364 -0.0184
3.1200 2.0497 -0.0181
3.1400 2.0631 -0.0021
3.1600 2.0764 -0.0243
3.1800 2.0898 -0.0194
3.2000 2.1032 -0.0095
3.2200 2.1165 -0.0293
3.2400 2.1298 -0.0275
3.2600 2.1432 -0.0129
3.2800 2.1565 -0.0228
3.3000 2.1698 -0.0308
3.3200 2.1831 -0.0182
3.3400 2.1964 -0.0296
3.3600 2.2098 -0.0288
3.3800 2.2231 -0.0232
3.4000 2.2364 -0.0388
3.4200 2.2497 -0.0340
3.4400 2.2630 -0.0299
3.4600 2.2764 -0.0381
3.4800 2.2898 -0.0389
3.5000 2.3031 -0.0376
3.5200 2.3164 -0.0408
3.5400 2.3298 -0.0447
3.5600 2.3431 -0.0396
3.5800 2.3565 -0.0492
3.6000 2.3698 -0.0442
3.6200 2.3831 -0.0429
3.6400 2.3965 -0.0534
3.6600 2.4099 -0.0512
3.6800 2.4232 -0.0462
3.7000 2.4365 -0.0529
3.7200 2.4498 -0.0543
3.7400 2.4631 -0.0512
3.7600 2.4764 -0.0611
3.7800 2.4897 -0.0643
3.8000 2.5030 -0.0537
3.8200 2.5164 -0.0623
3.8400 2.5297 -0.0678
3.8600 2.5431 -0.0591
3.8800 2.5564 -0.0655
3.9000 2.5698 -0.0671
3.9200 2.5832 -0.0594
3.9400 2.5965 -0.0690
3.9600 2.6098 -0.0650
3.9800 2.6231 -0.0625
4.0000 2.6365 -0.0727
4.0200 2.6498 -0.0698
4.0400 2.6631 -0.0716
4.0600 2.6764 -0.0704
4.0800 2.6898 -0.0720
4.1000 2.7031 -0.0727
4.1200 2.7164 -0.0748
4.1400 2.7298 -0.0771
4.1600 2.7431 -0.0759
4.1800 2.7564 -0.0791
4.2000 2.7697 -0.0856
4.2200 2.7831 -0.0773
4.2400 2.7964 -0.0799
4.2600 2.8097 -0.0855
4.2800 2.8231 -0.0811
4.3000 2.8365 -0.0869
4.3200 2.8498 -0.0911
4.3400 2.8631 -0.0823
4.3600 2.8765 -0.0911
4.3800 2.8898 -0.0957
4.4000 2.9032 -0.0895
4.4200 2.9164 -0.0950
4.4400 2.9297 -0.0926
4.4600 2.9431 -0.0891
4.4800 2.9564 -0.0994
4.5000 2.9697 -0.0991
4.5200 2.9831 -0.0934
4.5400 2.9964 -0.1028
4.5600 3.0098 -0.1002
4.5800 3.0231 -0.0999
4.6000 3.0364 -0.1063
4.6200 3.0498 -0.1050
4.6400 3.0631 -0.0984
4.6600 3.0764 -0.1075
4.6800 3.0898 -0.1069
4.7000 3.1031 -0.1031
4.7200 3.1164 -0.1073
4.7400 3.1298 -0.1138
4.7600 3.1432 -0.1022
4.7800 3.1565 -0.1065
4.8000 3.1698 -0.1141
4.8200 3.1832 -0.1074
4.8400 3.1965 -0.1122
4.8600 3.2098 -0.1178
4.8800 3.2231 -0.1055
4.9000 3.2364 -0.1139
4.9200 3.2497 -0.1227
4.9400 3.2630 -0.1101
4.9600 3.2764 -0.1188
4.9800 3.2897 -0.1252
5.0000 3.3032 -0.1153
5.0200 3.3165 -0.1244
5.0400 3.3299 -0.1303
5.0600 3.3432 -0.1225
5.0800 3.3565 -0.1225
5.1000 3.3699 -0.1300
5.1200 3.3832 -0.1264
5.1400 3.3965 -0.1284
5.1600 3.4098 -0.1319
5.1800 3.4231 -0.1312
5.2000 3.4364 -0.1322
5.2200 3.4497 -0.1317
5.2400 3.4630 -0.1377
5.2600 3.4764 -0.1371
5.2800 3.4897 -0.1387
5.3000 3.5031 -0.1369
5.3200 3.5164 -0.1367
5.3400 3.5298 -0.1432
5.3600 3.5431 -0.1477
5.3800 3.5565 -0.1404
5.4000 3.5698 -0.1503
5.4200 3.5832 -0.1466
5.4400 3.5965 -0.1437
5.4600 3.6098 -0.1529
