Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 -105.5550 -0.0417
0.0200 -105.5549 -0.0235
0.0400 -105.5530 0.0355
0.0600 -105.5455 0.0326
0.0800 -105.5338 -0.0451
0.1000 -105.5214 -0.0451
0.1200 -105.5088 -0.0109
0.1400 -105.4954 -0.0380
0.1600 -105.4813 -0.0377
0.1800 -105.4671 -0.0379
0.2000 -105.4531 -0.0502
0.2200 -105.4394 -0.0382
0.2400 -105.4261 -0.0338
0.2600 -105.4128 -0.0442
0.2800 -105.3995 -0.0327
0.3000 -105.3861 -0.0339
0.3200 -105.3727 -0.0431
0.3400 -105.3594 -0.0265
0.3600 -105.3461 -0.0398
0.3800 -105.3328 -0.0413
0.4000 -105.3194 -0.0252
0.4200 -105.3061 -0.0444
0.4400 -105.2928 -0.0396
0.4600 -105.2795 -0.0301
0.4800 -105.2661 -0.0386
0.5000 -105.2528 -0.0406
0.5200 -105.2395 -0.0303
0.5400 -105.2261 -0.0379
0.5600 -105.2128 -0.0333
0.5800 -105.1994 -0.0287
0.6000 -105.1860 -0.0356
0.6200 -105.1727 -0.0382
0.6400 -105.1594 -0.0301
0.6600 -105.1460 -0.0355
0.6800 -105.1327 -0.0360
0.7000 -105.1194 -0.0293
0.7200 -105.1061 -0.0373
0.7400 -105.0928 -0.0369
0.7600 -105.0794 -0.0251
0.7800 -105.0661 -0.0375
0.8000 -105.0528 -0.0367
0.8200 -105.0395 -0.0248
0.8400 -105.0261 -0.0375
0.8600 -105.0127 -0.0326
0.8800 -104.9994 -0.0254
0.9000 -104.9861 -0.0380
0.9200 -104.9727 -0.0334
0.9400 -104.9593 -0.0274
0.9600 -104.9460 -0.0379
0.9800 -104.9327 -0.0291
1.0000 -104.9194 -0.0244
1.0200 -104.9060 -0.0390
1.0400 -104.8927 -0.0315
1.0600 -104.8794 -0.0237
1.0800 -104.8661 -0.0359
1.1000 -104.8528 -0.0258
1.1200 -104.8394 -0.0258
1.1400 -104.8261 -0.0388
1.1600 -104.8128 -0.0289
1.1800 -104.7995 -0.0232
1.2000 -104.7861 -0.0374
1.2200 -104.7728 -0.0274
1.2400 -104.7595 -0.0275
1.2600 -104.7461 -0.0369
1.2800 -104.7328 -0.0256
1.3000 -104.7194 -0.0214
1.3200 -104.7060 -0.0409
1.3400 -104.6927 -0.0256
1.3600 -104.6794 -0.0248
1.3800 -104.6660 -0.0383
1.4000 -104.6527 -0.0239
1.4200 -104.6394 -0.0294
1.4400 -104.6261 -0.0349
1.4600 -104.6128 -0.0248
1.4800 -104.5994 -0.0313
1.5000 -104.5861 -0.0297
1.5200 -104.5728 -0.0233
1.5400 -104.5595 -0.0317
1.5600 -104.5461 -0.0297
1.5800 -104.5327 -0.0241
1.6000 -104.5194 -0.0246
1.6200 -104.5061 -0.0303
1.6400 -104.4927 -0.0281
1.6600 -104.4794 -0.0247
1.6800 -104.4661 -0.0285
1.7000 -104.4528 -0.0279
1.7200 -104.4394 -0.0227
1.7400 -104.4261 -0.0276
1.7600 -104.4127 -0.0272
1.7800 -104.3994 -0.0222
1.8000 -104.3861 -0.0252
1.8200 -104.3727 -0.0219
1.8400 -104.3594 -0.0220
1.8600 -104.3460 -0.0305
1.8800 -104.3327 -0.0231
1.9000 -104.3194 -0.0186
1.9200 -104.3061 -0.0264
1.9400 -104.2928 -0.0216
1.9600 -104.2794 -0.0152
1.9800 -104.2661 -0.0268
2.0000 -104.2528 -0.0168
2.0200 -104.2394 -0.0163
2.0400 -104.2260 -0.0263
2.0600 -104.2127 -0.0142
2.0800 -104.1994 -0.0170
2.1000 -104.1860 -0.0236
2.1200 -104.1727 -0.0105
2.1400 -104.1594 -0.0197
2.1600 -104.1460 -0.0170
2.1800 -104.1327 -0.0129
2.2000 -104.1194 -0.0117
2.2200 -104.1060 -0.0166
2.2400 -104.0928 -0.0130
2.2600 -104.0794 -0.0057
2.2800 -104.0661 -0.0133
2.3000 -104.0528 -0.0068
2.3200 -104.0394 -0.0047
2.3400 -104.0260 -0.0092
2.3600 -104.0127 -0.0040
2.3800 -103.9993 -0.0051
2.4000 -103.9860 0.0016
2.4200 -103.9727 0.0029
2.4400 -103.9594 -0.0028
2.4600 -103.9460 0.0024
2.4800 -103.9327 0.0040
2.5000 -103.9194 0.0051
2.5200 -103.9062 0.0065
2.5400 -103.8928 0.0104
2.5600 -103.8795 0.0110
2.5800 -103.8661 0.0110
2.6000 -103.8528 0.0092
2.6200 -103.8395 0.0199
2.6400 -103.8261 0.0152
2.6600 -103.8127 0.0091
2.6800 -103.7994 0.0278
2.7000 -103.7861 0.0179
2.7200 -103.7728 0.0194
2.7400 -103.7594 0.0333
2.7600 -103.7460 0.0207
2.7800 -103.7327 0.0247
2.8000 -103.7194 0.0340
2.8200 -103.7060 0.0238
2.8400 -103.6927 0.0261
2.8600 -103.6793 0.0393
2.8800 -103.6660 0.0273
2.9000 -103.6527 0.0320
2.9200 -103.6394 0.0402
2.9400 -103.6261 0.0320
2.9600 -103.6128 0.0353
2.9800 -103.5995 0.0442
3.0000 -103.5862 0.0349
3.0200 -103.5728 0.0393
3.0400 -103.5594 0.0513
3.0600 -103.5461 0.0428
3.0800 -103.5328 0.0397
3.1000 -103.5194 0.0543
3.1200 -103.5060 0.0417
3.1400 -103.4927 0.0458
3.1600 -103.4794 0.0587
3.1800 -103.4660 0.0436
3.2000 -103.4527 0.0446
3.2200 -103.4394 0.0644
3.2400 -103.4261 0.0513
3.2600 -103.4128 0.0548
3.2800 -103.3994 0.0665
3.3000 -103.3861 0.0539
3.3200 -103.3727 0.0567
3.3400 -103.3594 0.0651
3.3600 -103.3461 0.0577
3.3800 -103.3328 0.0640
3.4000 -103.3194 0.0701
3.4200 -103.3061 0.0611
3.4400 -103.2928 0.0658
3.4600 -103.2794 0.0690
3.4800 -103.2660 0.0639
3.5000 -103.2527 0.0665
3.5200 -103.2394 0.0752
3.5400 -103.2260 0.0652
3.5600 -103.2127 0.0736
3.5800 -103.1994 0.0728
3.6000 -103.1861 0.0685
3.6200 -103.1728 0.0816
3.6400 -103.1594 0.0766
3.6600 -103.1461 0.0714
3.6800 -103.1328 0.0825
3.7000 -103.1195 0.0829
3.7200 -103.1061 0.0756
3.7400 -103.0928 0.0860
3.7600 -103.0794 0.0848
3.7800 -103.0661 0.0772
3.8000 -103.0528 0.0919
3.8200 -103.0394 0.0799
3.8400 -103.0260 0.0832
3.8600 -103.0127 0.0945
3.8800 -102.9994 0.0834
3.9000 -102.9861 0.0852
3.9200 -102.9727 0.0993
3.9400 -102.9594 0.0847
3.9600 -102.9460 0.0913
3.9800 -102.9327 0.1019
4.0000 -102.9194 0.0900
4.0200 -102.9060 0.0940
4.0400 -102.8927 0.1025
4.0600 -102.8795 0.0883
4.0800 -102.8662 0.0988
4.1000 -102.8528 0.1090
4.1200 -102.8395 0.0950
4.1400 -102.8262 0.1041
4.1600 -102.8128 0.1068
4.1800 -102.7994 0.1012
4.2000 -102.7860 0.1031
4.2200 -102.7727 0.1087
4.2400 -102.7593 0.1018
4.2600 -102.7460 0.1087
4.2800 -102.7326 0.1097
4.3000 -102.7193 0.1059
4.3200 -102.7060 0.1150
4.3400 -102.6927 0.1155
4.3600 -102.6794 0.1099
4.3800 -102.6661 0.1130
4.4000 -102.6528 0.1175
4.4200 -102.6395 0.1121
4.4400 -102.6262 0.1145
4.4600 -102.6128 0.1217
4.4800 -102.5995 0.1160
4.5000 -102.5861 0.1204
4.5200 -102.5728 0.1251
4.5400 -102.5594 0.1189
4.5600 -102.5460 0.1197
4.5800 -102.5327 0.1263
4.6000 -102.5193 0.1160
4.6200 -102.5060 0.1262
4.6400 -102.4927 0.1275
4.6600 -102.4793 0.1218
4.6800 -102.4660 0.1282
4.7000 -102.4528 0.1289
4.7200 -102.4394 0.1297
4.7400 -102.4261 0.1303
4.7600 -102.4127 0.1308
4.7800 -102.3994 0.1290
4.8000 -102.3861 0.1347
4.8200 -102.3728 0.1365
4.8400 -102.3594 0.1300
4.8600 -102.3461 0.1364
4.8800 -102.3328 0.1384
4.9000 -102.3195 0.1337
4.9200 -102.3061 0.1385
4.9400 -102.2928 0.1407
4.9600 -102.2794 0.1356
4.9800 -102.2661 0.1406
5.0000 -102.2527 0.1411
5.0200 -102.2394 0.1357
5.0400 -102.2260 0.1416
5.0600 -102.2127 0.1436
5.0800 -102.1994 0.1386
5.1000 -102.1860 0.1455
5.1200 -102.1727 0.1489
