Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0094
0.0200 0.0001 0.0191
0.0400 0.0020 0.0750
0.0600 0.0094 0.0672
0.0800 0.0211 -0.0031
0.1000 0.0335 -0.0097
0.1200 0.0461 0.0289
0.1400 0.0596 0.0048
0.1600 0.0737 -0.0066
0.1800 0.0880 0.0096
0.2000 0.1019 -0.0093
0.2200 0.1155 -0.0123
0.2400 0.1288 0.0127
0.2600 0.1421 -0.0061
0.2800 0.1554 0.0024
0.3000 0.1688 0.0061
0.3200 0.1822 -0.0069
0.3400 0.1955 0.0079
0.3600 0.2089 0.0018
0.3800 0.2223 -0.0042
0.4000 0.2356 0.0120
0.4200 0.2489 0.0047
0.4400 0.2623 -0.0044
0.4600 0.2756 0.0079
0.4800 0.2889 0.0049
0.5000 0.3023 -0.0023
0.5200 0.3156 0.0097
0.5400 0.3289 0.0029
0.5600 0.3422 -0.0001
0.5800 0.3556 0.0104
0.6000 0.3689 -0.0013
0.6200 0.3822 0.0046
0.6400 0.3956 0.0102
0.6600 0.4089 -0.0025
0.6800 0.4222 0.0035
0.7000 0.4355 0.0067
0.7200 0.4488 0.0048
0.7400 0.4622 0.0092
0.7600 0.4756 0.0025
0.7800 0.4889 0.0053
0.8000 0.5023 0.0074
0.8200 0.5156 0.0056
0.8400 0.5290 0.0022
0.8600 0.5424 0.0089
0.8800 0.5556 0.0049
0.9000 0.5689 0.0078
0.9200 0.5822 0.0085
0.9400 0.5956 0.0047
0.9600 0.6089 0.0043
0.9800 0.6222 0.0083
1.0000 0.6355 0.0054
1.0200 0.6488 0.0107
1.0400 0.6622 0.0061
1.0600 0.6756 0.0026
1.0800 0.6889 0.0144
1.1000 0.7023 0.0052
1.1200 0.7157 0.0007
1.1400 0.7290 0.0141
1.1600 0.7423 0.0066
1.1800 0.7556 0.0052
1.2000 0.7690 0.0172
1.2200 0.7823 0.0041
1.2400 0.7956 0.0060
1.2600 0.8089 0.0195
1.2800 0.8222 0.0028
1.3000 0.8356 0.0065
1.3200 0.8489 0.0199
1.3400 0.8622 0.0077
1.3600 0.8755 0.0095
1.3800 0.8889 0.0158
1.4000 0.9022 0.0070
1.4200 0.9155 0.0129
1.4400 0.9289 0.0155
1.4600 0.9423 0.0073
1.4800 0.9556 0.0152
1.5000 0.9690 0.0151
1.5200 0.9823 0.0076
1.5400 0.9956 0.0149
1.5600 1.0089 0.0149
1.5800 1.0223 0.0108
1.6000 1.0356 0.0131
1.6200 1.0489 0.0169
1.6400 1.0622 0.0160
1.6600 1.0755 0.0095
1.6800 1.0889 0.0202
1.7000 1.1022 0.0176
1.7200 1.1156 0.0099
1.7400 1.1289 0.0163
1.7600 1.1423 0.0184
1.7800 1.1556 0.0076
1.8000 1.1689 0.0201
1.8200 1.1823 0.0178
1.8400 1.1956 0.0133
1.8600 1.2090 0.0257
1.8800 1.2223 0.0181
1.9000 1.2356 0.0190
1.9200 1.2489 0.0249
1.9400 1.2623 0.0167
1.9600 1.2756 0.0209
1.9800 1.2889 0.0308
2.0000 1.3023 0.0167
2.0200 1.3156 0.0231
2.0400 1.3289 0.0294
2.0600 1.3422 0.0157
2.0800 1.3556 0.0335
2.1000 1.3689 0.0293
2.1200 1.3822 0.0229
2.1400 1.3955 0.0380
2.1600 1.4089 0.0317
2.1800 1.4222 0.0251
2.2000 1.4356 0.0382
2.2200 1.4489 0.0293
2.2400 1.4623 0.0308
2.2600 1.4756 0.0416
2.2800 1.4890 0.0332
2.3000 1.5023 0.0372
2.3200 1.5157 0.0431
2.3400 1.5290 0.0412
2.3600 1.5423 0.0485
2.3800 1.5556 0.0477
2.4000 1.5689 0.0482
2.4200 1.5822 0.0585
2.4400 1.5955 0.0527
2.4600 1.6089 0.0499
2.4800 1.6222 0.0632
2.5000 1.6355 0.0619
2.5200 1.6488 0.0589
2.5400 1.6622 0.0740
2.5600 1.6756 0.0635
2.5800 1.6890 0.0709
2.6000 1.7023 0.0788
2.6200 1.7156 0.0694
2.6400 1.7290 0.0851
2.6600 1.7423 0.0823
2.6800 1.7556 0.0816
2.7000 1.7689 0.0936
2.7200 1.7822 0.0914
2.7400 1.7956 0.0931
2.7600 1.8089 0.1008
2.7800 1.8222 0.1030
2.8000 1.8355 0.1002
2.8200 1.8489 0.1119
2.8400 1.8623 0.1110
2.8600 1.8756 0.1105
2.8800 1.8889 0.1232
2.9000 1.9022 0.1192
2.9200 1.9156 0.1250
2.9400 1.9289 0.1294
2.9600 1.9423 0.1308
2.9800 1.9556 0.1337
3.0000 1.9690 0.1381
3.0200 1.9823 0.1398
3.0400 1.9956 0.1386
3.0600 2.0089 0.1477
3.0800 2.0223 0.1521
3.1000 2.0356 0.1471
3.1200 2.0489 0.1576
3.1400 2.0622 0.1575
3.1600 2.0755 0.1576
3.1800 2.0889 0.1688
3.2000 2.1022 0.1663
3.2200 2.1156 0.1662
3.2400 2.1289 0.1779
3.2600 2.1423 0.1759
3.2800 2.1556 0.1713
3.3000 2.1690 0.1834
3.3200 2.1823 0.1862
3.3400 2.1956 0.1782
3.3600 2.2090 0.1957
3.3800 2.2223 0.1887
3.4000 2.2356 0.1935
3.4200 2.2489 0.1998
3.4400 2.2622 0.1965
3.4600 2.2756 0.2034
3.4800 2.2889 0.2099
3.5000 2.3022 0.2039
3.5200 2.3156 0.2100
3.5400 2.3289 0.2183
3.5600 2.3422 0.2086
3.5800 2.3556 0.2151
3.6000 2.3689 0.2258
3.6200 2.3823 0.2196
3.6400 2.3956 0.2257
3.6600 2.4090 0.2290
3.6800 2.4223 0.2271
3.7000 2.4356 0.2311
3.7200 2.4490 0.2367
3.7400 2.4623 0.2344
3.7600 2.4756 0.2386
3.7800 2.4889 0.2487
3.8000 2.5022 0.2427
3.8200 2.5156 0.2486
3.8400 2.5289 0.2523
3.8600 2.5422 0.2526
3.8800 2.5555 0.2541
3.9000 2.5689 0.2544
3.9200 2.5822 0.2620
3.9400 2.5956 0.2618
3.9600 2.6089 0.2578
3.9800 2.6222 0.2703
4.0000 2.6356 0.2686
4.0200 2.6490 0.2709
4.0400 2.6623 0.2734
4.0600 2.6756 0.2734
4.0800 2.6889 0.2753
4.1000 2.7023 0.2807
4.1200 2.7156 0.2795
4.1400 2.7290 0.2836
4.1600 2.7423 0.2915
4.1800 2.7556 0.2824
4.2000 2.7690 0.2887
4.2200 2.7822 0.2975
4.2400 2.7955 0.2892
4.2600 2.8088 0.2996
4.2800 2.8222 0.2989
4.3000 2.8355 0.2947
4.3200 2.8488 0.3064
4.3400 2.8622 0.3054
4.3600 2.8756 0.3040
4.3800 2.8890 0.3111
4.4000 2.9023 0.3099
4.4200 2.9156 0.3110
4.4400 2.9290 0.3175
4.4600 2.9423 0.3155
4.4800 2.9556 0.3142
4.5000 2.9689 0.3290
4.5200 2.9822 0.3199
4.5400 2.9956 0.3228
4.5600 3.0089 0.3337
4.5800 3.0222 0.3207
4.6000 3.0355 0.3315
4.6200 3.0488 0.3360
4.6400 3.0622 0.3279
4.6600 3.0755 0.3361
4.6800 3.0889 0.3438
4.7000 3.1022 0.3318
4.7200 3.1156 0.3398
4.7400 3.1290 0.3449
4.7600 3.1423 0.3387
4.7800 3.1557 0.3510
4.8000 3.1690 0.3484
4.8200 3.1824 0.3461
4.8400 3.1957 0.3555
4.8600 3.2089 0.3482
4.8800 3.2222 0.3536
4.9000 3.2355 0.3564
4.9200 3.2489 0.3576
4.9400 3.2622 0.3600
4.9600 3.2755 0.3651
4.9800 3.2888 0.3616
5.0000 3.3022 0.3631
5.0200 3.3156 0.3659
5.0400 3.3289 0.3640
5.0600 3.3422 0.3745
5.0800 3.3556 0.3684
5.1000 3.3690 0.3671
5.1200 3.3823 0.3821
5.1400 3.3956 0.3737
5.1600 3.4089 0.3788
5.1800 3.4223 0.3820
5.2000 3.4356 0.3774
5.2200 3.4490 0.3858
5.2400 3.4623 0.3858
5.2600 3.4756 0.3866
5.2800 3.4889 0.3852
5.3000 3.5022 0.3921
5.3200 3.5155 0.3909
5.3400 3.5288 0.3933
5.3600 3.5422 0.3968
5.3800 3.5556 0.3965
5.4000 3.5689 0.3991
5.4200 3.5823 0.4013
5.4400 3.5956 0.4041
5.4600 3.6090 0.4031
5.4800 3.6223 0.4044
5.5000 3.6356 0.4100
5.5200 3.6490 0.4072
5.5400 3.6623 0.4114
5.5600 3.6756 0.4136
5.5800 3.6889 0.4158
5.6000 3.7022 0.4181
