Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0092
0.0200 0.0001 -0.0059
0.0400 0.0014 0.0524
0.0600 0.0067 0.0475
0.0800 0.0154 -0.0177
0.1000 0.0245 -0.0091
0.1200 0.0338 0.0084
0.1400 0.0438 -0.0058
0.1600 0.0545 -0.0011
0.1800 0.0653 -0.0064
0.2000 0.0759 -0.0194
0.2200 0.0861 -0.0046
0.2400 0.0961 -0.0019
0.2600 0.1061 -0.0170
0.2800 0.1161 0.0045
0.3000 0.1262 -0.0008
0.3200 0.1362 -0.0177
0.3400 0.1462 0.0074
0.3600 0.1562 -0.0054
0.3800 0.1662 -0.0114
0.4000 0.1763 0.0021
0.4200 0.1863 -0.0037
0.4400 0.1962 -0.0114
0.4600 0.2062 0.0037
0.4800 0.2162 -0.0024
0.5000 0.2262 -0.0085
0.5200 0.2363 0.0052
0.5400 0.2463 -0.0030
0.5600 0.2562 -0.0089
0.5800 0.2662 0.0031
0.6000 0.2762 -0.0018
0.6200 0.2862 -0.0055
0.6400 0.2962 0.0003
0.6600 0.3062 0.0025
0.6800 0.3162 -0.0095
0.7000 0.3261 0.0031
0.7200 0.3361 0.0033
0.7400 0.3461 -0.0102
0.7600 0.3562 0.0035
0.7800 0.3662 -0.0023
0.8000 0.3762 -0.0154
0.8200 0.3862 0.0019
0.8400 0.3962 -0.0036
0.8600 0.4062 -0.0128
0.8800 0.4163 0.0049
0.9000 0.4263 -0.0015
0.9200 0.4363 -0.0143
0.9400 0.4462 0.0026
0.9600 0.4562 0.0045
0.9800 0.4663 -0.0135
1.0000 0.4763 0.0025
1.0200 0.4863 0.0020
1.0400 0.4962 -0.0142
1.0600 0.5062 0.0039
1.0800 0.5162 0.0004
1.1000 0.5262 -0.0092
1.1200 0.5362 0.0080
1.1400 0.5462 -0.0017
1.1600 0.5562 -0.0069
1.1800 0.5661 0.0044
1.2000 0.5761 0.0036
1.2200 0.5862 -0.0098
1.2400 0.5962 0.0003
1.2600 0.6062 -0.0020
1.2800 0.6162 -0.0087
1.3000 0.6261 -0.0018
1.3200 0.6361 -0.0030
1.3400 0.6462 -0.0075
1.3600 0.6562 -0.0027
1.3800 0.6662 -0.0019
1.4000 0.6762 -0.0090
1.4200 0.6862 -0.0021
1.4400 0.6962 0.0009
1.4600 0.7062 -0.0095
1.4800 0.7163 0.0012
1.5000 0.7263 -0.0001
1.5200 0.7363 -0.0151
1.5400 0.7463 0.0023
1.5600 0.7562 0.0074
1.5800 0.7662 -0.0103
1.6000 0.7762 0.0064
1.6200 0.7863 0.0016
1.6400 0.7962 -0.0157
1.6600 0.8062 0.0059
1.6800 0.8161 0.0058
1.7000 0.8261 -0.0117
1.7200 0.8362 0.0105
1.7400 0.8462 0.0003
1.7600 0.8562 -0.0151
1.7800 0.8662 0.0087
1.8000 0.8762 0.0035
1.8200 0.8863 -0.0109
1.8400 0.8963 0.0034
1.8600 0.9063 -0.0015
1.8800 0.9163 -0.0089
1.9000 0.9262 0.0079
1.9200 0.9362 -0.0021
1.9400 0.9462 0.0011
1.9600 0.9563 0.0047
1.9800 0.9663 -0.0011
2.0000 0.9762 0.0042
2.0200 0.9862 0.0057
2.0400 0.9962 0.0028
2.0600 1.0062 -0.0004
2.0800 1.0162 0.0017
2.1000 1.0263 0.0057
2.1200 1.0362 0.0008
2.1400 1.0462 0.0058
2.1600 1.0561 0.0073
2.1800 1.0661 0.0038
2.2000 1.0762 0.0083
2.2200 1.0862 0.0050
2.2400 1.0962 0.0011
2.2600 1.1062 0.0086
2.2800 1.1162 0.0056
2.3000 1.1262 0.0038
2.3200 1.1363 0.0119
2.3400 1.1463 0.0100
2.3600 1.1563 0.0046
2.3800 1.1663 0.0121
2.4000 1.1762 0.0129
2.4200 1.1863 0.0082
2.4400 1.1963 0.0048
2.4600 1.2063 0.0179
2.4800 1.2163 0.0094
2.5000 1.2262 0.0090
2.5200 1.2362 0.0224
2.5400 1.2462 0.0093
2.5600 1.2562 0.0116
2.5800 1.2662 0.0241
2.6000 1.2762 0.0136
2.6200 1.2861 0.0134
2.6400 1.2961 0.0282
2.6600 1.3062 0.0099
2.6800 1.3162 0.0106
2.7000 1.3263 0.0255
2.7200 1.3363 0.0093
2.7400 1.3462 0.0127
2.7600 1.3562 0.0325
2.7800 1.3662 0.0136
2.8000 1.3763 0.0160
2.8200 1.3863 0.0265
2.8400 1.3963 0.0129
2.8600 1.4062 0.0203
2.8800 1.4162 0.0372
2.9000 1.4262 0.0125
2.9200 1.4362 0.0226
2.9400 1.4463 0.0347
2.9600 1.4563 0.0161
2.9800 1.4663 0.0353
3.0000 1.4762 0.0390
3.0200 1.4862 0.0204
3.0400 1.4962 0.0403
3.0600 1.5063 0.0405
3.0800 1.5163 0.0233
3.1000 1.5262 0.0457
3.1200 1.5362 0.0430
3.1400 1.5462 0.0272
3.1600 1.5562 0.0484
3.1800 1.5663 0.0390
3.2000 1.5762 0.0352
3.2200 1.5862 0.0532
3.2400 1.5962 0.0462
3.2600 1.6062 0.0396
3.2800 1.6162 0.0517
3.3000 1.6262 0.0463
3.3200 1.6362 0.0503
3.3400 1.6462 0.0552
3.3600 1.6562 0.0507
3.3800 1.6662 0.0525
3.4000 1.6763 0.0550
3.4200 1.6863 0.0518
3.4400 1.6963 0.0543
3.4600 1.7062 0.0548
3.4800 1.7162 0.0571
3.5000 1.7262 0.0585
3.5200 1.7363 0.0570
3.5400 1.7463 0.0613
3.5600 1.7563 0.0639
3.5800 1.7662 0.0622
3.6000 1.7762 0.0665
3.6200 1.7862 0.0679
3.6400 1.7962 0.0611
3.6600 1.8062 0.0693
3.6800 1.8162 0.0683
3.7000 1.8262 0.0681
3.7200 1.8362 0.0766
3.7400 1.8462 0.0712
3.7600 1.8562 0.0678
3.7800 1.8663 0.0843
3.8000 1.8763 0.0761
3.8200 1.8862 0.0732
3.8400 1.8962 0.0875
3.8600 1.9062 0.0835
3.8800 1.9163 0.0753
3.9000 1.9263 0.0899
3.9200 1.9363 0.0819
3.9400 1.9462 0.0781
3.9600 1.9562 0.0936
3.9800 1.9662 0.0838
4.0000 1.9762 0.0812
4.0200 1.9863 0.0968
4.0400 1.9963 0.0810
4.0600 2.0062 0.0900
4.0800 2.0161 0.1046
4.1000 2.0262 0.0860
4.1200 2.0362 0.0907
4.1400 2.0463 0.1027
4.1600 2.0563 0.0868
4.1800 2.0662 0.0967
4.2000 2.0762 0.1028
4.2200 2.0862 0.0931
4.2400 2.0962 0.1024
4.2600 2.1063 0.1034
4.2800 2.1163 0.0995
4.3000 2.1263 0.1015
4.3200 2.1362 0.1023
4.3400 2.1463 0.1018
4.3600 2.1563 0.1035
4.3800 2.1663 0.1000
4.4000 2.1763 0.0997
4.4200 2.1863 0.1094
4.4400 2.1962 0.1059
4.4600 2.2062 0.1063
4.4800 2.2162 0.1135
4.5000 2.2262 0.1024
4.5200 2.2362 0.1110
4.5400 2.2462 0.1178
4.5600 2.2561 0.1080
4.5800 2.2661 0.1164
4.6000 2.2762 0.1222
4.6200 2.2862 0.1106
4.6400 2.2962 0.1193
4.6600 2.3062 0.1228
4.6800 2.3162 0.1162
4.7000 2.3262 0.1274
4.7200 2.3362 0.1200
4.7400 2.3463 0.1116
4.7600 2.3563 0.1257
4.7800 2.3663 0.1237
4.8000 2.3762 0.1210
4.8200 2.3862 0.1304
4.8400 2.3962 0.1255
4.8600 2.4063 0.1226
4.8800 2.4163 0.1352
4.9000 2.4262 0.1276
4.9200 2.4362 0.1273
4.9400 2.4462 0.1389
4.9600 2.4562 0.1272
4.9800 2.4662 0.1257
5.0000 2.4763 0.1392
5.0200 2.4862 0.1321
5.0400 2.4962 0.1322
5.0600 2.5062 0.1409
5.0800 2.5162 0.1396
5.1000 2.5262 0.1328
5.1200 2.5362 0.1472
5.1400 2.5462 0.1406
5.1600 2.5562 0.1365
5.1800 2.5662 0.1484
5.2000 2.5763 0.1395
5.2200 2.5863 0.1416
5.2400 2.5963 0.1528
5.2600 2.6063 0.1479
5.2800 2.6162 0.1425
5.3000 2.6262 0.1515
5.3200 2.6363 0.1525
5.3400 2.6463 0.1447
5.3600 2.6563 0.1565
5.3800 2.6662 0.1502
5.4000 2.6762 0.1481
5.4200 2.6862 0.1525
5.4400 2.6962 0.1522
5.4600 2.7062 0.1533
5.4800 2.7162 0.1515
5.5000 2.7262 0.1531
5.5200 2.7362 0.1498
5.5400 2.7462 0.1596
