Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0213
0.0200 0.0001 -0.0217
0.0400 0.0018 -0.0080
0.0600 0.0089 -0.0141
0.0800 0.0204 -0.0211
0.1000 0.0327 -0.0227
0.1200 0.0453 -0.0211
0.1400 0.0587 -0.0203
0.1600 0.0728 -0.0223
0.1800 0.0871 -0.0224
0.2000 0.1011 -0.0228
0.2200 0.1147 -0.0214
0.2400 0.1281 -0.0218
0.2600 0.1414 -0.0189
0.2800 0.1547 -0.0199
0.3000 0.1680 -0.0179
0.3200 0.1814 -0.0177
0.3400 0.1948 -0.0153
0.3600 0.2081 -0.0157
0.3800 0.2214 -0.0129
0.4000 0.2347 -0.0117
0.4200 0.2481 -0.0109
0.4400 0.2614 -0.0104
0.4600 0.2747 -0.0064
0.4800 0.2881 -0.0080
0.5000 0.3014 -0.0038
0.5200 0.3148 -0.0042
0.5400 0.3282 -0.0006
0.5600 0.3415 0.0006
0.5800 0.3548 0.0031
0.6000 0.3682 0.0046
0.6200 0.3815 0.0060
0.6400 0.3948 0.0083
0.6600 0.4081 0.0080
0.6800 0.4214 0.0123
0.7000 0.4347 0.0129
0.7200 0.4481 0.0170
0.7400 0.4614 0.0166
0.7600 0.4747 0.0226
0.7800 0.4881 0.0202
0.8000 0.5014 0.0272
0.8200 0.5148 0.0249
0.8400 0.5281 0.0297
0.8600 0.5415 0.0305
0.8800 0.5549 0.0337
0.9000 0.5682 0.0354
0.9200 0.5815 0.0370
0.9400 0.5948 0.0407
0.9600 0.6082 0.0402
0.9800 0.6215 0.0453
1.0000 0.6348 0.0455
1.0200 0.6481 0.0487
1.0400 0.6614 0.0494
1.0600 0.6747 0.0535
1.0800 0.6881 0.0536
1.1000 0.7014 0.0584
1.1200 0.7147 0.0578
1.1400 0.7281 0.0615
1.1600 0.7414 0.0620
1.1800 0.7547 0.0660
1.2000 0.7681 0.0671
1.2200 0.7814 0.0688
1.2400 0.7948 0.0719
1.2600 0.8081 0.0729
1.2800 0.8214 0.0758
1.3000 0.8348 0.0779
1.3200 0.8481 0.0801
1.3400 0.8615 0.0817
1.3600 0.8748 0.0840
1.3800 0.8881 0.0856
1.4000 0.9015 0.0883
1.4200 0.9148 0.0899
1.4400 0.9282 0.0925
1.4600 0.9414 0.0938
1.4800 0.9547 0.0971
1.5000 0.9680 0.0978
1.5200 0.9814 0.1003
1.5400 0.9947 0.1019
1.5600 1.0080 0.1044
1.5800 1.0214 0.1057
1.6000 1.0348 0.1082
1.6200 1.0482 0.1094
1.6400 1.0615 0.1119
1.6600 1.0748 0.1148
1.6800 1.0882 0.1148
1.7000 1.1015 0.1189
1.7200 1.1148 0.1190
1.7400 1.1281 0.1230
1.7600 1.1414 0.1228
1.7800 1.1548 0.1272
1.8000 1.1681 0.1265
1.8200 1.1814 0.1302
1.8400 1.1947 0.1311
1.8600 1.2080 0.1333
1.8800 1.2214 0.1356
1.9000 1.2347 0.1365
1.9200 1.2481 0.1392
1.9400 1.2614 0.1394
1.9600 1.2748 0.1436
1.9800 1.2882 0.1434
2.0000 1.3015 0.1469
2.0200 1.3148 0.1472
2.0400 1.3282 0.1510
2.0600 1.3415 0.1502
2.0800 1.3548 0.1555
2.1000 1.3681 0.1540
2.1200 1.3814 0.1582
2.1400 1.3948 0.1578
2.1600 1.4081 0.1611
2.1800 1.4214 0.1627
2.2000 1.4347 0.1644
2.2200 1.4480 0.1661
2.2400 1.4614 0.1677
2.2600 1.4748 0.1701
2.2800 1.4881 0.1710
2.3000 1.5014 0.1739
2.3200 1.5148 0.1748
2.3400 1.5282 0.1774
2.3600 1.5415 0.1774
2.3800 1.5548 0.1815
2.4000 1.5682 0.1806
2.4200 1.5815 0.1843
2.4400 1.5948 0.1846
2.4600 1.6081 0.1882
2.4800 1.6214 0.1873
2.5000 1.6347 0.1918
2.5200 1.6481 0.1917
2.5400 1.6613 0.1941
2.5600 1.6747 0.1955
2.5800 1.6880 0.1970
2.6000 1.7014 0.1987
2.6200 1.7147 0.1998
2.6400 1.7281 0.2031
2.6600 1.7414 0.2025
2.6800 1.7548 0.2074
2.7000 1.7682 0.2050
2.7200 1.7815 0.2108
2.7400 1.7948 0.2085
2.7600 1.8082 0.2141
2.7800 1.8215 0.2118
2.8000 1.8348 0.2174
2.8200 1.8481 0.2160
2.8400 1.8614 0.2189
2.8600 1.8748 0.2203
2.8800 1.8881 0.2212
2.9000 1.9014 0.2245
2.9200 1.9147 0.2240
2.9400 1.9281 0.2285
2.9600 1.9415 0.2266
2.9800 1.9548 0.2322
3.0000 1.9681 0.2298
3.0200 1.9814 0.2350
3.0400 1.9948 0.2327
3.0600 2.0082 0.2387
3.0800 2.0214 0.2361
3.1000 2.0347 0.2420
3.1200 2.0481 0.2407
3.1400 2.0615 0.2436
3.1600 2.0748 0.2451
3.1800 2.0881 0.2463
3.2000 2.1014 0.2488
3.2200 2.1148 0.2491
3.2400 2.1281 0.2516
3.2600 2.1415 0.2518
3.2800 2.1548 0.2544
3.3000 2.1681 0.2558
3.3200 2.1814 0.2577
3.3400 2.1948 0.2581
3.3600 2.2081 0.2607
3.3800 2.2214 0.2603
3.4000 2.2348 0.2642
3.4200 2.2481 0.2636
3.4400 2.2615 0.2670
3.4600 2.2748 0.2671
3.4800 2.2881 0.2701
3.5000 2.3015 0.2695
3.5200 2.3148 0.2735
3.5400 2.3281 0.2733
3.5600 2.3414 0.2764
3.5800 2.3548 0.2759
3.6000 2.3681 0.2796
3.6200 2.3814 0.2792
3.6400 2.3947 0.2819
3.6600 2.4080 0.2831
3.6800 2.4214 0.2836
3.7000 2.4347 0.2872
3.7200 2.4480 0.2861
3.7400 2.4614 0.2897
3.7600 2.4748 0.2893
3.7800 2.4882 0.2926
3.8000 2.5015 0.2926
3.8200 2.5149 0.2952
3.8400 2.5282 0.2964
3.8600 2.5415 0.2968
3.8800 2.5548 0.2998
3.9000 2.5681 0.3003
3.9200 2.5814 0.3026
3.9400 2.5947 0.3023
3.9600 2.6081 0.3050
3.9800 2.6214 0.3043
4.0000 2.6347 0.3086
4.0200 2.6481 0.3077
4.0400 2.6614 0.3105
4.0600 2.6748 0.3108
4.0800 2.6881 0.3133
4.1000 2.7014 0.3140
4.1200 2.7148 0.3157
4.1400 2.7282 0.3170
4.1600 2.7415 0.3186
4.1800 2.7548 0.3196
4.2000 2.7681 0.3223
4.2200 2.7815 0.3212
4.2400 2.7948 0.3250
4.2600 2.8081 0.3247
4.2800 2.8214 0.3278
4.3000 2.8348 0.3280
4.3200 2.8481 0.3301
4.3400 2.8614 0.3309
4.3600 2.8747 0.3323
4.3800 2.8880 0.3349
4.4000 2.9014 0.3346
4.4200 2.9148 0.3372
4.4400 2.9281 0.3374
4.4600 2.9414 0.3404
4.4800 2.9548 0.3396
4.5000 2.9682 0.3433
4.5200 2.9815 0.3420
4.5400 2.9948 0.3458
4.5600 3.0081 0.3458
4.5800 3.0215 0.3474
4.6000 3.0348 0.3489
4.6200 3.0481 0.3504
4.6400 3.0614 0.3516
4.6600 3.0748 0.3520
4.6800 3.0881 0.3554
4.7000 3.1014 0.3538
4.7200 3.1147 0.3584
4.7400 3.1281 0.3573
4.7600 3.1414 0.3599
4.7800 3.1548 0.3597
4.8000 3.1681 0.3627
4.8200 3.1814 0.3626
4.8400 3.1948 0.3646
4.8600 3.2082 0.3662
4.8800 3.2215 0.3666
4.9000 3.2348 0.3688
4.9200 3.2481 0.3699
4.9400 3.2614 0.3716
4.9600 3.2748 0.3718
4.9800 3.2881 0.3753
5.0000 3.3014 0.3738
5.0200 3.3147 0.3775
5.0400 3.3281 0.3762
5.0600 3.3414 0.3793
5.0800 3.3547 0.3782
5.1000 3.3681 0.3818
5.1200 3.3814 0.3808
5.1400 3.3948 0.3839
5.1600 3.4081 0.3851
5.1800 3.4214 0.3863
5.2000 3.4348 0.3863
5.2200 3.4482 0.3896
5.2400 3.4615 0.3890
5.2600 3.4748 0.3920
5.2800 3.4881 0.3924
5.3000 3.5015 0.3935
5.3200 3.5148 0.3950
5.3400 3.5282 0.3959
5.3600 3.5415 0.3982
5.3800 3.5548 0.3974
5.4000 3.5681 0.4007
5.4200 3.5814 0.4002
5.4400 3.5947 0.4029
5.4600 3.6081 0.4036
5.4800 3.6214 0.4052
5.5000 3.6347 0.4050
5.5200 3.6480 0.4087
5.5400 3.6614 0.4076
5.5600 3.6748 0.4103
5.5800 3.6882 0.4113
